Brown University Keck/NASA Relab Spectrum PO-RGB-043/C1PO43,
W,R
0.3,0.03412
0.305,0.02694
0.31,0.03036
0.315,0.03324
0.32,0.03373
0.325,0.0339
0.33,0.03365
0.335,0.03688
0.34,0.03667
0.345,0.03943
0.35,0.03887
0.355,0.04106
0.36,0.04173
0.365,0.04236
0.37,0.04346
0.375,0.04417
0.38,0.04504
0.385,0.04635
0.39,0.04781
0.395,0.04876
0.4,0.05334
0.405,0.05329
0.41,0.05458
0.415,0.05636
0.42,0.05878
0.425,0.06061
0.43,0.06269
0.435,0.06428
0.44,0.06532
0.445,0.0682
0.45,0.07179
0.455,0.07482
0.46,0.07775
0.465,0.08027
0.47,0.08265
0.475,0.08565
0.48,0.08997
0.485,0.09491
0.49,0.10116
0.495,0.10703
0.5,0.11226
0.505,0.11701
0.51,0.12144
0.515,0.12491
0.52,0.12905
0.525,0.13323
0.53,0.1378
0.535,0.14275
0.54,0.14904
0.545,0.15608
0.55,0.16371
0.555,0.1732
0.56,0.18324
0.565,0.19366
0.57,0.20407
0.575,0.21335
0.58,0.22242
0.585,0.22991
0.59,0.23687
0.595,0.24363
0.6,0.24944
0.605,0.25391
0.61,0.25845
0.615,0.26333
0.62,0.26705
0.625,0.27131
0.63,0.27602
0.635,0.27885
0.64,0.2838
0.645,0.28817
0.65,0.29315
0.655,0.29748
0.66,0.30195
0.665,0.30662
0.67,0.31138
0.675,0.31617
0.68,0.32154
0.685,0.32545
0.69,0.33007
0.695,0.33494
0.7,0.33904
0.705,0.34344
0.71,0.34696
0.715,0.35213
0.72,0.3565
0.725,0.36068
0.73,0.36468
0.735,0.36941
0.74,0.3729
0.745,0.37778
0.75,0.38254
0.755,0.38612
0.76,0.39162
0.765,0.39655
0.77,0.40031
0.775,0.40528
0.78,0.40988
0.785,0.41408
0.79,0.41922
0.795,0.42316
0.8,0.42768
0.805,0.4312
0.81,0.43494
0.815,0.4388
0.82,0.44226
0.825,0.44498
0.83,0.44881
0.835,0.45226
0.84,0.45531
0.845,0.45634
0.85,0.4614
0.855,0.46395
0.86,0.46637
0.865,0.46874
0.87,0.46894
0.875,0.47182
0.88,0.47354
0.885,0.47572
0.89,0.47706
0.895,0.47756
0.9,0.47877
0.905,0.48167
0.91,0.48195
0.915,0.48502
0.92,0.48604
0.925,0.4888
0.93,0.4881
0.935,0.49096
0.94,0.49281
0.945,0.49337
0.95,0.49244
0.955,0.49501
0.96,0.4954
0.965,0.49649
0.97,0.49834
0.975,0.49892
0.98,0.49915
0.985,0.50035
0.99,0.50116
0.995,0.50228
1,0.50111
1.005,0.50265
1.01,0.50338
1.015,0.50295
1.02,0.50366
1.025,0.50294
1.03,0.50429
1.035,0.50504
1.04,0.50672
1.045,0.5073
1.05,0.50952
1.055,0.50911
1.06,0.51057
1.065,0.51101
1.07,0.51351
1.075,0.51439
1.08,0.51625
1.085,0.5196
1.09,0.52091
1.095,0.52203
1.1,0.5252
1.105,0.52762
1.11,0.52901
1.115,0.52985
1.12,0.53376
1.125,0.53584
1.13,0.53867
1.135,0.54123
1.14,0.54275
1.145,0.54402
1.15,0.54598
1.155,0.54828
1.16,0.55215
1.165,0.55363
1.17,0.55499
1.175,0.55743
1.18,0.55947
1.185,0.56078
1.19,0.56162
1.195,0.56377
1.2,0.56618
1.205,0.56952
1.21,0.57079
1.215,0.57526
1.22,0.57727
1.225,0.58007
1.23,0.58108
1.235,0.58388
1.24,0.58748
1.245,0.58999
1.25,0.59294
1.255,0.59496
1.26,0.59802
1.265,0.60009
1.27,0.60447
1.275,0.60825
1.28,0.60961
1.285,0.61369
1.29,0.61716
1.295,0.61923
1.3,0.62417
1.305,0.62611
1.31,0.62973
1.315,0.63255
1.32,0.63729
1.325,0.64097
1.33,0.64337
1.335,0.64591
1.34,0.64929
1.345,0.65176
1.35,0.6569
1.355,0.65715
1.36,0.66047
1.365,0.66842
