Brown University Keck/NASA Relab Spectrum OC-TXH-002-A/C1OC02A,,
W,R,Standard Deviation
0.3,0.11422,0.32272
0.305,0.11807,0.21466
0.31,0.12195,0.15596
0.315,0.12313,0.11702
0.32,0.12555,0.08986
0.325,0.12824,0.0707
0.33,0.13201,0.05656
0.335,0.13559,0.04623
0.34,0.13756,0.03823
0.345,0.14048,0.03145
0.35,0.14349,0.02627
0.355,0.14741,0.02227
0.36,0.15119,0.0187
0.365,0.15534,0.01591
0.37,0.15813,0.01363
0.375,0.16165,0.0124
0.38,0.16518,0.01161
0.385,0.16796,0.01138
0.39,0.17086,0.01214
0.395,0.17387,0.01465
0.4,0.17406,0.00785
0.405,0.17674,0.00671
0.41,0.17881,0.00618
0.415,0.18066,0.00587
0.42,0.18468,0.00574
0.425,0.18499,0.00562
0.43,0.18685,0.00558
0.435,0.18922,0.00536
0.44,0.19079,0.00546
0.445,0.19225,0.00522
0.45,0.19382,0.00532
0.455,0.19505,0.0055
0.46,0.19638,0.00535
0.465,0.19785,0.00533
0.47,0.19905,0.00528
0.475,0.20037,0.00538
0.48,0.20156,0.00541
0.485,0.20275,0.00537
0.49,0.20369,0.00532
0.495,0.20491,0.00552
0.5,0.20643,0.0054
0.505,0.20757,0.00551
0.51,0.20907,0.00545
0.515,0.21041,0.00549
0.52,0.21159,0.00555
0.525,0.21283,0.00549
0.53,0.21442,0.00566
0.535,0.21575,0.00555
0.54,0.21696,0.00562
0.545,0.21804,0.0056
0.55,0.21885,0.00551
0.555,0.21927,0.00569
0.56,0.2202,0.00552
0.565,0.22068,0.00561
0.57,0.22114,0.0057
0.575,0.2216,0.0055
0.58,0.22207,0.00564
0.585,0.22207,0.00559
0.59,0.22256,0.00565
0.595,0.22268,0.00563
0.6,0.22285,0.00554
0.605,0.22333,0.00558
0.61,0.22354,0.00561
0.615,0.22395,0.00568
0.62,0.22425,0.00588
0.625,0.22459,0.0055
0.63,0.22674,0.00562
0.635,0.22553,0.00572
0.64,0.22611,0.00573
0.645,0.22599,0.00558
0.65,0.22629,0.00558
0.655,0.22653,0.00571
0.66,0.22633,0.0056
0.665,0.22648,0.00567
0.67,0.2266,0.00569
0.675,0.22665,0.00565
0.68,0.22658,0.00575
0.685,0.22631,0.00562
0.69,0.22635,0.00559
0.695,0.22625,0.00572
0.7,0.22632,0.00576
0.705,0.22628,0.00578
0.71,0.22639,0.00569
0.715,0.22655,0.00569
0.72,0.22619,0.00575
0.725,0.22714,0.00565
0.73,0.22697,0.00567
0.735,0.22662,0.00571
0.74,0.22644,0.00566
0.745,0.22593,0.00568
0.75,0.22581,0.00571
0.755,0.22531,0.00573
0.76,0.22478,0.00582
0.765,0.22406,0.00564
0.77,0.22336,0.00585
0.775,0.22247,0.0059
0.78,0.22211,0.00581
0.785,0.22109,0.00578
0.79,0.22029,0.00581
0.795,0.2195,0.00586
0.8,0.21894,0.00692
0.805,0.21798,0.00664
0.81,0.21649,0.00666
0.815,0.21559,0.00692
