OC-LP-B4_3,
W,R
0.25,0.119751502
0.255,0.123032319
0.26,0.126593661
0.265,0.130189845
0.27,0.133443451
0.275,0.136892497
0.28,0.140450279
0.285,0.14374717
0.29,0.147912364
0.295,0.152175286
0.3,0.156985599
0.305,0.161985543
0.31,0.168462789
0.315,0.175054087
0.32,0.182261583
0.325,0.189300594
0.33,0.196499144
0.335,0.203501558
0.34,0.211430398
0.345,0.218312486
0.35,0.225089639
0.355,0.231514697
0.36,0.237447389
0.365,0.243683497
0.37,0.248752313
0.375,0.253593586
0.38,0.258821187
0.385,0.263497839
0.39,0.267369186
0.395,0.271214521
0.4,0.278576975
0.405,0.280799511
0.41,0.283022047
0.415,0.286005732
0.42,0.289516535
0.425,0.292496263
0.43,0.295702885
0.435,0.299139807
0.44,0.301743551
0.445,0.304164322
0.45,0.30618048
0.455,0.308590718
0.46,0.310794343
0.465,0.313122995
0.47,0.315004335
0.475,0.31683979
0.48,0.31850129
0.485,0.320529254
0.49,0.322633872
0.495,0.324247876
0.5,0.326455634
0.505,0.328808213
0.51,0.331436878
0.515,0.333314228
0.52,0.335609346
0.525,0.337551089
0.53,0.339479115
0.535,0.34138294
0.54,0.34282284
0.545,0.344460265
0.55,0.345925134
0.555,0.347291383
0.56,0.348076272
0.565,0.348877322
0.57,0.349539467
0.575,0.350057853
0.58,0.350576841
0.585,0.35090523
0.59,0.35134445
0.595,0.351749429
0.6,0.351770341
0.605,0.351940974
0.61,0.352309926
0.615,0.352762377
0.62,0.353121917
0.625,0.353377198
0.63,0.353896222
0.635,0.354242227
0.64,0.354671678
0.645,0.355063383
0.65,0.355262655
0.655,0.355449008
0.66,0.355588158
0.665,0.355694845
0.67,0.355944338
0.675,0.35623353
0.68,0.356205582
0.685,0.356238818
0.69,0.356118356
0.695,0.356200246
0.7,0.356359614
0.705,0.356405418
0.71,0.356196443
0.715,0.356054032
0.72,0.355760756
0.725,0.355431434
0.73,0.354913533
0.735,0.353870202
0.74,0.353825386
0.745,0.353062677
0.75,0.352100432
0.755,0.35124484
0.76,0.350042946
0.765,0.34877719
0.77,0.347459513
0.775,0.345958081
0.78,0.344237696
0.785,0.342500593
0.79,0.34056863
0.795,0.338566257
0.8,0.336347153
0.805,0.334226652
0.81,0.331887622
0.815,0.329521878
0.82,0.327099981
0.825,0.324522601
0.83,0.322134935
0.835,0.319729947
0.84,0.317255854
0.845,0.314832514
0.85,0.312673849
0.855,0.304845522
0.86,0.302586379
0.865,0.300639769
0.87,0.298845397
0.875,0.297106753
0.88,0.295695558
0.885,0.294502751
0.89,0.293573107
0.895,0.292860619
0.9,0.292369679
0.905,0.292288677
0.91,0.292534384
0.915,0.292502189
0.92,0.29227864
0.925,0.292201947
0.93,0.291964509
0.935,0.291848961
0.94,0.291884004
0.945,0.29215289
0.95,0.292361875
0.955,0.292470184
0.96,0.293262886
0.965,0.293427968
0.97,0.29403699
0.975,0.29450455
0.98,0.294871616
0.985,0.295127039
0.99,0.29540617
0.995,0.295640936
1,0.295864803
1.005,0.296162536
1.01,0.296376729
1.015,0.296518446
1.02,0.296685927
1.025,0.296792006
1.03,0.296818088
1.035,0.296759295
1.04,0.296823498
1.045,0.296988666
1.05,0.297221755
1.055,0.297647305
1.06,0.297730382
1.065,0.298032571
1.07,0.298589991
1.075,0.299256904
1.08,0.299637428
1.085,0.300243668
1.09,0.300862227
1.095,0.300741946
1.1,0.30140572
1.11,0.303825379
1.12,0.304915909
1.13,0.30507854
1.14,0.305929865
1.15,0.306711601
1.16,0.307640529
1.17,0.308061668
1.18,0.308321181
1.19,0.308570461
1.2,0.308607578
1.21,0.308699083
1.22,0.308896232
1.23,0.309074429
1.24,0.309289174
1.25,0.309571746
1.26,0.309857066
1.27,0.310059215
1.28,0.310146915
1.29,0.310264862
1.3,0.310484574
1.31,0.310808545
1.32,0.311146677
1.33,0.31149032
1.34,0.311699239
1.35,0.311821637
1.36,0.312056321
1.37,0.312448715
1.38,0.312957138
1.39,0.313398932
1.4,0.313849119
1.41,0.314193761
1.42,0.314538912
1.43,0.314739264
1.44,0.314960359
1.45,0.31506157
1.46,0.314959072
1.47,0.314691069
1.48,0.314226807
1.49,0.313812715
1.5,0.313371462
1.51,0.312799229
1.52,0.311893193
1.53,0.311221505
1.54,0.31045517
1.55,0.309873092
1.56,0.308905855
1.57,0.307984773
1.58,0.307004752
1.59,0.3061212
1.6,0.305112784
1.61,0.304104196
1.62,0.302863052
1.63,0.301623724
1.64,0.300633128
1.65,0.299408068
1.66,0.298182498
1.67,0.296629143
1.68,0.295239531
1.69,0.293769851
1.7,0.292323292
1.71,0.290914596
1.72,0.289576496
1.73,0.288153951
1.74,0.286743841
1.75,0.285292407
1.76,0.283922133
1.77,0.282659202
1.78,0.281487094
1.79,0.280296716
1.8,0.278982882
1.81,0.277582955
1.82,0.27638928
1.83,0.275002565
1.84,0.273796937
1.85,0.272505309
1.86,0.271588621
1.87,0.270742989
1.88,0.269692891
1.89,0.269068523
1.9,0.268502592
1.91,0.268376202
1.92,0.26799737
1.93,0.267718782
1.94,0.267489988
1.95,0.267381142
1.96,0.267398855
1.97,0.26753317
1.98,0.267716587
1.99,0.267922078
2,0.268008128
2.01,0.268113776
2.02,0.268066277
2.03,0.268076122
2.04,0.267978739
2.05,0.267979836
2.06,0.2681043
2.07,0.268340891
2.08,0.268605763
2.09,0.268739781
2.1,0.268849364
2.11,0.26873997
2.12,0.268250595
2.13,0.26744977
2.14,0.266616509
2.15,0.266132123
2.16,0.265890092
2.17,0.266168175
2.18,0.266207196
2.19,0.266140567
2.2,0.265956636
2.21,0.266125039
2.22,0.266457848
2.23,0.266576536
2.24,0.266821403
2.25,0.26705344
2.26,0.267455204
2.27,0.26763274
2.28,0.267786198
2.29,0.267644246
2.3,0.267407861
2.31,0.267232215
2.32,0.267154923
2.33,0.267126253
2.34,0.267105116
2.35,0.267100917
2.36,0.267041975
2.37,0.266872487
2.38,0.266574354
2.39,0.266194623
2.4,0.266069195
2.41,0.266109289
2.42,0.266252678
2.43,0.266183323
2.44,0.266052114
2.45,0.266048177
2.46,0.26608333
2.47,0.26633899
2.48,0.266721919
2.49,0.267313987
2.5,0.26799938
