KC-OPX-lm_2,
W,R
0.57005,0.31743
0.5703,0.31534
0.57056,0.31566
0.57081,0.31783
0.57106,0.31808
0.57131,0.3152
0.57156,0.31526
0.57181,0.31811
0.57207,0.3179
0.57232,0.31822
0.57257,0.31766
0.57282,0.31621
0.57308,0.3176
0.57333,0.31581
0.57358,0.31385
0.57384,0.31603
0.57409,0.31819
0.57435,0.31969
0.5746,0.31829
0.57486,0.31585
0.57511,0.3166
0.57537,0.31832
0.57562,0.31873
0.57588,0.31967
0.57613,0.31963
0.57639,0.31742
0.57665,0.31868
0.5769,0.3218
0.57716,0.32445
0.57742,0.3257
0.57767,0.32306
0.57793,0.32077
0.57819,0.31975
0.57845,0.32042
0.57871,0.32301
0.57896,0.32544
0.57922,0.32579
0.57948,0.32347
0.57974,0.32188
0.58,0.32024
0.58026,0.31975
0.58052,0.32036
0.58078,0.31947
0.58104,0.32072
0.5813,0.32284
0.58156,0.32241
0.58182,0.32219
0.58208,0.32388
0.58235,0.32309
0.58261,0.3212
0.58287,0.32206
0.58313,0.32326
0.58339,0.32535
0.58366,0.32569
0.58392,0.32378
0.58418,0.32462
0.58445,0.32564
0.58471,0.32435
0.58497,0.3228
0.58524,0.32279
0.5855,0.3235
0.58577,0.32363
0.58603,0.32445
0.5863,0.32646
0.58656,0.32799
0.58683,0.32844
0.58709,0.32767
0.58736,0.32708
0.58763,0.32826
0.58789,0.32893
0.58816,0.32809
0.58843,0.32678
0.58869,0.32575
0.58896,0.32557
0.58923,0.32598
0.5895,0.32652
0.58976,0.32683
0.59003,0.32715
0.5903,0.32634
0.59057,0.32598
0.59084,0.32684
0.59111,0.32634
0.59138,0.32599
0.59165,0.32641
0.59192,0.3272
0.59219,0.3276
0.59246,0.32733
0.59273,0.32783
0.593,0.32858
0.59327,0.32978
0.59354,0.32961
0.59382,0.32753
0.59409,0.3268
0.59436,0.32679
0.59463,0.32579
0.59491,0.32683
0.59518,0.33056
0.59545,0.33182
0.59573,0.33102
0.596,0.32982
0.59627,0.32761
0.59655,0.32661
0.59682,0.32715
0.5971,0.32906
0.59737,0.33029
0.59765,0.32971
0.59792,0.32954
0.5982,0.32873
0.59848,0.32738
0.59875,0.32716
0.59903,0.32854
0.59931,0.3307
0.59958,0.33146
0.59986,0.33085
0.60014,0.32963
0.60042,0.32958
0.6007,0.33166
0.60097,0.33326
0.60125,0.33165
0.60153,0.3292
0.60181,0.33051
0.60209,0.3313
0.60237,0.33012
0.60265,0.33144
0.60293,0.33241
0.60321,0.33181
0.60349,0.33136
0.60377,0.33171
0.60405,0.33227
0.60434,0.33173
0.60462,0.33171
0.6049,0.33242
0.60518,0.33326
0.60547,0.33288
0.60575,0.33202
0.60603,0.33287
0.60631,0.33313
0.6066,0.33233
0.60688,0.3325
0.60717,0.33365
0.60745,0.33374
0.60774,0.33317
0.60802,0.33357
0.60831,0.33474
0.60859,0.33591
0.60888,0.33584
0.60916,0.33504
0.60945,0.33412
0.60974,0.33443
0.61002,0.33569
0.61031,0.33568
0.6106,0.3351
0.61089,0.3354
0.61117,0.33702
0.61146,0.33779
0.61175,0.3376
0.61204,0.3382
0.61233,0.3387
0.61262,0.33769
0.61291,0.33578
0.6132,0.33511
0.61349,0.33501
0.61378,0.33583
0.61407,0.33706
0.61436,0.33678
0.61465,0.33655
0.61494,0.33677
0.61524,0.33675
0.61553,0.33684
0.61582,0.33748
0.61611,0.3381
