Brown University Keck/NASA Relab Spectrum OC-TXH-019-P05/C1OC19P05,
W,R
0.25,0.129542
0.255,0.132393
0.26,0.132802
0.265,0.131224
0.27,0.133246
0.275,0.13618
0.28,0.138916
0.285,0.141159
0.29,0.143159
0.295,0.145708
0.3,0.14866
0.305,0.151972
0.31,0.155907
0.315,0.1605
0.32,0.164399
0.325,0.168965
0.33,0.173754
0.335,0.178531
0.34,0.183157
0.345,0.187465
0.35,0.191729
0.355,0.196007
0.36,0.199871
0.365,0.203457
0.37,0.206808
0.375,0.209793
0.38,0.212601
0.385,0.215078
0.39,0.216758
0.395,0.218915
0.4,0.220622
0.405,0.222441
0.41,0.224507
0.415,0.226153
0.42,0.22813
0.425,0.229574
0.43,0.231082
0.435,0.232574
0.44,0.233796
0.445,0.234945
0.45,0.235925
0.455,0.237005
0.46,0.238229
0.465,0.239351
0.47,0.240242
0.475,0.241289
0.48,0.242297
0.485,0.24298
0.49,0.243711
0.495,0.244402
0.5,0.245299
0.505,0.245863
0.51,0.24685
0.515,0.247384
0.52,0.248446
0.525,0.2493
0.53,0.249719
0.535,0.250309
0.54,0.25096
0.545,0.251487
0.55,0.251934
0.555,0.252513
0.56,0.252818
0.565,0.253005
0.57,0.253305
0.575,0.253446
0.58,0.253578
0.585,0.253645
0.59,0.253843
0.595,0.254074
0.6,0.254247
0.605,0.254209
0.61,0.254425
0.615,0.254547
0.62,0.254841
0.625,0.255138
0.63,0.255339
0.635,0.25552
0.64,0.255709
0.645,0.256105
0.65,0.256147
0.655,0.256315
0.66,0.256424
0.665,0.256742
0.67,0.256897
0.675,0.256955
0.68,0.257048
0.685,0.257361
0.69,0.257465
0.695,0.257408
0.7,0.257345
0.705,0.257379
0.71,0.257637
0.715,0.2575
0.72,0.257487
0.725,0.257423
0.73,0.25726
0.735,0.257023
0.74,0.256833
0.745,0.256541
0.75,0.256248
0.755,0.255952
0.76,0.255252
0.765,0.254252
0.77,0.253565
0.775,0.252872
0.78,0.252115
0.785,0.251484
0.79,0.250655
0.795,0.24962
0.8,0.248586
0.805,0.24749
0.81,0.246104
0.815,0.244981
0.82,0.243696
0.825,0.242288
0.83,0.240963
0.835,0.239508
0.84,0.237943
0.845,0.236547
0.85,0.235123
0.855,0.233885
0.86,0.232602
0.865,0.231533
0.87,0.230321
0.875,0.228746
0.88,0.228373
0.885,0.227092
0.89,0.226038
0.895,0.225608
0.9,0.225178
