KC-OPX-hevn_3,
W,R
0.54088,0.29999
0.54133,0.30073
0.54179,0.30058
0.54224,0.3009
0.54269,0.30071
0.54314,0.30073
0.54359,0.30072
0.54404,0.30073
0.54449,0.30038
0.54494,0.29981
0.54539,0.30006
0.54584,0.30042
0.54629,0.30051
0.54675,0.30115
0.5472,0.30158
0.54765,0.30227
0.5481,0.30297
0.54855,0.30359
0.549,0.30378
0.54945,0.3041
0.5499,0.30439
0.55035,0.30465
0.5508,0.30456
0.55125,0.30454
0.5517,0.30489
0.55215,0.30478
0.5526,0.30488
0.55305,0.30493
0.5535,0.30534
0.55395,0.30501
0.5544,0.30523
0.55485,0.30531
0.5553,0.3056
0.55575,0.30577
0.5562,0.30566
0.55665,0.30572
0.5571,0.30614
0.55755,0.30604
0.558,0.30611
0.55845,0.30607
0.5589,0.30611
0.55935,0.30628
0.5598,0.30632
0.56025,0.30632
0.5607,0.30666
0.56115,0.30675
0.5616,0.30726
0.56205,0.30745
0.5625,0.3076
0.56295,0.30761
0.5634,0.30762
0.56385,0.30783
0.5643,0.30817
0.56475,0.30755
0.5652,0.30762
0.56565,0.30757
0.5661,0.30757
0.56655,0.30735
0.567,0.30774
0.56745,0.30734
0.56789,0.30767
0.56834,0.30797
0.56879,0.30791
0.56924,0.30791
0.56969,0.30831
0.57014,0.30876
0.57059,0.30913
0.57104,0.30931
0.57149,0.30968
0.57194,0.30972
0.57239,0.30982
0.57284,0.30968
0.57328,0.30961
0.57373,0.30944
0.57418,0.30954
0.57463,0.3097
0.57508,0.30954
0.57553,0.30948
0.57598,0.30964
0.57643,0.30961
0.57688,0.3099
0.57732,0.30987
0.57777,0.30991
0.57822,0.31009
0.57867,0.31037
0.57912,0.31054
0.57957,0.31046
0.58002,0.31073
0.58046,0.31069
0.58091,0.31095
0.58136,0.31101
0.58181,0.31148
0.58226,0.31158
0.58271,0.31163
0.58316,0.31174
0.5836,0.31189
0.58405,0.31208
0.5845,0.3122
0.58495,0.31242
0.5854,0.3126
0.58584,0.31244
0.58629,0.31278
0.58674,0.3127
0.58719,0.31319
0.58764,0.31311
0.58809,0.31344
0.58853,0.31336
0.58898,0.31379
0.58943,0.31402
0.58988,0.31431
0.59032,0.3144
0.59077,0.31472
0.59122,0.31501
0.59167,0.31529
0.59212,0.31509
0.59256,0.31489
0.59301,0.31483
0.59346,0.31482
0.59391,0.31466
0.59435,0.31482
0.5948,0.31503
0.59525,0.31487
0.5957,0.31501
0.59615,0.3153
0.59659,0.3157
0.59704,0.31586
0.59749,0.31607
0.59793,0.31628
0.59838,0.3164
0.59883,0.31665
0.59928,0.31657
0.59972,0.31681
0.60017,0.31657
0.60062,0.31642
0.60107,0.31669
0.60151,0.31654
0.60196,0.31665
0.60241,0.31666
0.60285,0.31657
0.6033,0.3165
0.60375,0.31673
0.6042,0.31702
0.60464,0.31692
0.60509,0.31713
0.60554,0.3176
0.60598,0.31775
0.60643,0.31778
0.60688,0.31791
0.60732,0.31807
0.60777,0.31807
0.60822,0.31794
0.60866,0.31832
0.60911,0.31805
0.60956,0.31867
0.61,0.3188
0.61045,0.31913
0.6109,0.31955
0.61134,0.31992
0.61179,0.32038
0.61224,0.32093
0.61268,0.32123
0.61313,0.32151
0.61358,0.3219
0.61402,0.32162
0.61447,0.32212
0.61492,0.32207
0.61536,0.32229
0.61581,0.3226
0.61625,0.32279
0.6167,0.3229
0.61715,0.32337
0.61759,0.32352
0.61804,0.3231
0.61848,0.3236
0.61893,0.32375
0.61938,0.32438
0.61982,0.32435
0.62027,0.32476
0.62071,0.32519
0.62116,0.32526
0.62161,0.3257
0.62205,0.32589
0.6225,0.32578
0.62294,0.3258
0.62339,0.32584
0.62384,0.32605
0.62428,0.32607
0.62473,0.32645
0.62517,0.32668
0.62562,0.32686
0.62606,0.32703
0.62651,0.32721
0.62696,0.32736
0.6274,0.32731
0.62785,0.32719
0.62829,0.32695
0.62874,0.32717
0.62918,0.32752
0.62963,0.32818
0.63007,0.32845
0.63052,0.32848
0.63096,0.32889
0.63141,0.32892
0.63185,0.32927
0.6323,0.32912
0.63274,0.3295
0.63319,0.32945
0.63364,0.32994
0.63408,0.33031
0.63453,0.33048
0.63497,0.3307
0.63542,0.331
0.63586,0.33177
0.63631,0.33191
0.63675,0.33229
0.6372,0.33267
0.63764,0.33275
0.63809,0.33282
0.63853,0.33304
0.63897,0.33301
0.63942,0.33271
0.63986,0.33234
0.64031,0.33231
0.64075,0.3324
0.6412,0.33213
0.64164,0.33221
0.64209,0.33216
0.64253,0.33214
0.64298,0.33241
0.64342,0.33278
0.64387,0.33273
0.64431,0.33283
0.64475,0.33279
0.6452,0.33289
0.64564,0.33323
0.64609,0.3335
0.64653,0.33411
0.64698,0.33498
0.64742,0.33519
0.64786,0.33578
0.64831,0.33649
0.64875,0.33659
0.6492,0.33718
0.64964,0.33716
0.65009,0.33744
0.65053,0.33761
0.65097,0.33735
0.65142,0.33792
0.65186,0.33795
0.65231,0.33791
0.65275,0.33792
0.65319,0.33821
0.65364,0.3384
0.65408,0.33835
0.65452,0.33844
0.65497,0.33855
0.65541,0.33822
0.65586,0.33875
0.6563,0.33864
0.65674,0.33879
0.65719,0.3387
0.65763,0.33866
0.65807,0.33886
0.65852,0.33877
0.65896,0.33902
0.6594,0.33928
0.65985,0.33951
0.66029,0.33973
0.66073,0.33972
0.66118,0.33974
0.66162,0.34016
0.66207,0.34053
0.66251,0.34072
0.66295,0.34121
0.66339,0.34152
0.66384,0.34203
0.66428,0.34239
0.66472,0.34274
0.66517,0.34301
0.66561,0.34332
0.66605,0.34303
0.6665,0.34318
0.66694,0.34311
0.66738,0.34292
0.66783,0.343
0.66827,0.34294
0.66871,0.34259
0.66915,0.3423
0.6696,0.34221
0.67004,0.34226
0.67048,0.34224
0.67093,0.34226
0.67137,0.34265
0.67181,0.34295
0.67225,0.34358
0.6727,0.3436
0.67314,0.34407
0.67358,0.3444
0.67402,0.34468
0.67447,0.34504
0.67491,0.34578
0.67535,0.34598
0.67579,0.34643
0.67624,0.34655
0.67668,0.34645
0.67712,0.34635
0.67756,0.34632
0.67801,0.34613
0.67845,0.34625
0.67889,0.34635
0.67933,0.34669
0.67978,0.34663
0.68022,0.34711
0.68066,0.34766
0.6811,0.34824
0.68154,0.34829
0.68199,0.34854
0.68243,0.34827
0.68287,0.34844
0.68331,0.34826
0.68375,0.3482
0.6842,0.34824
