Brown University Keck/NASA Relab Spectrum MS-CMP-043-A/CAMS43,
W,R
2.06,0.58912
2.065,0.58794
2.07,0.58614
2.075,0.58593
2.08,0.58445
2.085,0.58296
2.09,0.58123
2.095,0.57938
2.1,0.57729
2.105,0.57586
2.11,0.5747
2.115,0.57307
2.12,0.57221
2.125,0.57071
2.13,0.56803
2.135,0.56652
2.14,0.56501
2.145,0.56351
2.15,0.56276
2.155,0.56109
2.16,0.55939
2.165,0.55837
2.17,0.55623
2.175,0.55429
2.18,0.5527
2.185,0.55159
2.19,0.55041
2.195,0.54834
2.2,0.54667
2.205,0.54392
2.21,0.54308
2.215,0.54063
2.22,0.53885
2.225,0.53663
2.23,0.5329
2.235,0.52967
2.24,0.52615
2.245,0.52329
2.25,0.52153
2.255,0.52053
2.26,0.52137
2.265,0.52023
2.27,0.52081
2.275,0.52041
2.28,0.51845
2.285,0.5149
2.29,0.51156
2.295,0.50901
2.3,0.50615
2.305,0.50376
2.31,0.50002
2.315,0.49764
2.32,0.49698
2.325,0.497
2.33,0.49752
2.335,0.49828
2.34,0.49843
2.345,0.49946
2.35,0.50025
2.355,0.50148
2.36,0.50283
2.365,0.50348
2.37,0.50483
2.375,0.50488
2.38,0.50522
2.385,0.50631
2.39,0.50631
2.395,0.50651
2.4,0.50842
2.405,0.51046
2.41,0.51197
2.415,0.51366
2.42,0.51462
2.425,0.51489
2.43,0.51532
2.435,0.51649
2.44,0.5167
2.445,0.51688
2.45,0.5171
2.455,0.51724
2.46,0.5182
2.465,0.51943
2.47,0.51961
2.475,0.51988
2.48,0.52225
2.485,0.52438
2.49,0.52553
2.495,0.527
2.5,0.5276
