KC-OPX-arvn_2,
W,R
0.54088,0.3117
0.54133,0.31183
0.54179,0.31183
0.54224,0.31177
0.54269,0.31166
0.54314,0.31149
0.54359,0.31169
0.54404,0.3115
0.54449,0.31181
0.54494,0.3118
0.54539,0.31184
0.54584,0.31195
0.54629,0.31247
0.54675,0.31246
0.5472,0.31283
0.54765,0.313
0.5481,0.31341
0.54855,0.31357
0.549,0.31368
0.54945,0.31368
0.5499,0.31404
0.55035,0.31429
0.5508,0.3141
0.55125,0.31412
0.5517,0.31409
0.55215,0.31414
0.5526,0.31417
0.55305,0.31433
0.5535,0.31457
0.55395,0.31421
0.5544,0.31428
0.55485,0.3143
0.5553,0.31434
0.55575,0.31472
0.5562,0.31486
0.55665,0.31497
0.5571,0.31535
0.55755,0.31526
0.558,0.31542
0.55845,0.31552
0.5589,0.31608
0.55935,0.31644
0.5598,0.31631
0.56025,0.31678
0.5607,0.3167
0.56115,0.31733
0.5616,0.31721
0.56205,0.31737
0.5625,0.31768
0.56295,0.31768
0.5634,0.3179
0.56385,0.31832
0.5643,0.31858
0.56475,0.3185
0.5652,0.31915
0.56565,0.31902
0.5661,0.31899
0.56655,0.31891
0.567,0.31882
0.56745,0.31872
0.56789,0.31872
0.56834,0.31913
0.56879,0.31911
0.56924,0.31925
0.56969,0.31915
0.57014,0.31894
0.57059,0.31927
0.57104,0.31949
0.57149,0.31951
0.57194,0.3198
0.57239,0.31969
0.57284,0.32023
0.57328,0.32025
0.57373,0.32039
0.57418,0.32079
0.57463,0.32127
0.57508,0.32138
0.57553,0.32091
0.57598,0.32134
0.57643,0.32164
0.57688,0.32168
0.57732,0.32174
0.57777,0.32159
0.57822,0.32148
0.57867,0.32181
0.57912,0.32171
0.57957,0.32237
0.58002,0.32215
0.58046,0.3226
0.58091,0.32266
0.58136,0.32327
0.58181,0.32307
0.58226,0.32306
0.58271,0.32373
0.58316,0.32363
0.5836,0.32369
0.58405,0.32387
0.5845,0.3241
0.58495,0.32431
0.5854,0.32449
0.58584,0.32469
0.58629,0.32504
0.58674,0.32539
0.58719,0.32563
0.58764,0.32561
0.58809,0.32545
0.58853,0.32592
0.58898,0.32582
0.58943,0.32591
0.58988,0.32603
0.59032,0.32593
0.59077,0.32643
0.59122,0.32653
0.59167,0.32623
0.59212,0.32644
0.59256,0.32672
0.59301,0.32653
0.59346,0.3267
0.59391,0.32705
0.59435,0.32728
0.5948,0.32747
0.59525,0.32809
0.5957,0.32841
0.59615,0.32845
0.59659,0.32857
0.59704,0.32879
0.59749,0.32915
0.59793,0.32893
0.59838,0.32873
0.59883,0.32861
0.59928,0.32854
0.59972,0.3283
0.60017,0.32841
0.60062,0.32833
0.60107,0.32851
0.60151,0.32797
0.60196,0.32822
0.60241,0.32793
0.60285,0.32791
0.6033,0.32794
0.60375,0.32753
0.6042,0.32786
0.60464,0.32785
0.60509,0.32803
0.60554,0.32823
0.60598,0.3281
0.60643,0.32885
0.60688,0.32921
0.60732,0.32926
0.60777,0.32992
0.60822,0.33003
0.60866,0.33046
0.60911,0.33055
0.60956,0.33084
0.61,0.33079
0.61045,0.33108
0.6109,0.33168
0.61134,0.3317
0.61179,0.3322
0.61224,0.33246
0.61268,0.33291
0.61313,0.3333
0.61358,0.33352
0.61402,0.33378
0.61447,0.33434
0.61492,0.33446
0.61536,0.33442
0.61581,0.33491
0.61625,0.33523
0.6167,0.33568
0.61715,0.33576
0.61759,0.33575
0.61804,0.33599
0.61848,0.33569
0.61893,0.33549
0.61938,0.33571
0.61982,0.33578
0.62027,0.33579
0.62071,0.33564
0.62116,0.336
0.62161,0.33592
0.62205,0.33602
0.6225,0.33625
0.62294,0.3359
0.62339,0.33611
0.62384,0.33659
0.62428,0.33664
0.62473,0.3371
0.62517,0.33703
0.62562,0.33722
0.62606,0.33736
0.62651,0.33722
0.62696,0.33787
0.6274,0.33729
0.62785,0.33754
0.62829,0.33719
0.62874,0.33686
0.62918,0.3368
0.62963,0.33659
0.63007,0.33683
0.63052,0.33691
0.63096,0.33698
0.63141,0.33704
0.63185,0.3371
0.6323,0.33716
0.63274,0.33717
0.63319,0.33782
0.63364,0.33794
0.63408,0.33846
0.63453,0.33907
0.63497,0.33945
0.63542,0.33978
0.63586,0.33996
0.63631,0.34063
0.63675,0.34035
0.6372,0.3408
0.63764,0.34107
0.63809,0.34085
0.63853,0.341
0.63897,0.34109
0.63942,0.34127
0.63986,0.34118
0.64031,0.34122
0.64075,0.34112
0.6412,0.34119
0.64164,0.34111
0.64209,0.34099
0.64253,0.34171
0.64298,0.34174
