Brown University Keck/NASA Relab Spectrum OC-TXH-018-P05/C1OC18P05,
W,R
0.25,0.223904
0.255,0.224105
0.26,0.224882
0.265,0.224328
0.27,0.22669
0.275,0.229497
0.28,0.231607
0.285,0.232281
0.29,0.231929
0.295,0.232853
0.3,0.235003
0.305,0.237798
0.31,0.241682
0.315,0.246437
0.32,0.250766
0.325,0.256997
0.33,0.263633
0.335,0.270771
0.34,0.277769
0.345,0.284828
0.35,0.292042
0.355,0.299319
0.36,0.305822
0.365,0.311576
0.37,0.317197
0.375,0.321993
0.38,0.325835
0.385,0.329242
0.39,0.333746
0.395,0.335805
0.4,0.338347
0.405,0.341377
0.41,0.344472
0.415,0.347058
0.42,0.349334
0.425,0.351006
0.43,0.352872
0.435,0.355964
0.44,0.357485
0.445,0.358776
0.45,0.359799
0.455,0.361074
0.46,0.362834
0.465,0.364323
0.47,0.365785
0.475,0.367481
0.48,0.369507
0.485,0.370654
0.49,0.37173
0.495,0.373129
0.5,0.374721
0.505,0.375818
0.51,0.377928
0.515,0.379794
0.52,0.381264
0.525,0.382584
0.53,0.384087
0.535,0.385475
0.54,0.386784
0.545,0.387705
0.55,0.388721
0.555,0.389581
0.56,0.390613
0.565,0.391172
0.57,0.391807
0.575,0.392311
0.58,0.392873
0.585,0.393347
0.59,0.393829
0.595,0.394163
0.6,0.394628
0.605,0.395014
0.61,0.395298
0.615,0.395559
0.62,0.39592
0.625,0.396304
0.63,0.396639
0.635,0.396926
0.64,0.397477
0.645,0.398124
0.65,0.3986
0.655,0.398994
0.66,0.399405
0.665,0.399974
0.67,0.400366
0.675,0.400637
0.68,0.40107
0.685,0.40095
0.69,0.400916
0.695,0.401064
0.7,0.401239
0.705,0.401248
0.71,0.401542
0.715,0.401549
0.72,0.401349
0.725,0.401125
0.73,0.400953
0.735,0.400663
0.74,0.399831
0.745,0.397944
0.75,0.397944
0.755,0.396013
0.76,0.394921
0.765,0.393811
0.77,0.392253
0.775,0.39046
0.78,0.388629
0.785,0.386658
0.79,0.384369
0.795,0.381933
0.8,0.379527
0.805,0.376797
0.81,0.373803
0.815,0.370858
0.82,0.367805
0.825,0.364678
0.83,0.361326
0.835,0.358099
0.84,0.355218
0.845,0.352095
0.85,0.34949
0.855,0.346604
0.86,0.344085
0.865,0.341447
0.87,0.339268
0.875,0.337176
0.88,0.335023
0.885,0.333417
0.89,0.331783
0.895,0.33042
0.9,0.329056
0.905,0.327905
0.91,0.326617
0.915,0.326026
0.92,0.325253
0.925,0.324714
0.93,0.324293
0.935,0.324077
0.94,0.324504
0.945,0.324825
0.95,0.325264
0.955,0.325943
0.96,0.326873
0.965,0.327998
0.97,0.329142
0.975,0.330264
0.98,0.331391
0.985,0.332458
0.99,0.333633
0.995,0.334798
1,0.335691
1.005,0.336677
1.01,0.337731
1.015,0.338871
1.02,0.339733
1.025,0.340599
1.03,0.34151
1.035,0.342315
1.04,0.343098
1.045,0.343762
1.05,0.344674
1.055,0.345471
1.06,0.346724
1.065,0.347387
1.07,0.348309
1.075,0.34928
1.08,0.350368
1.085,0.351408
1.09,0.352571
1.095,0.353971
1.1,0.355186
1.105,0.356247
1.11,0.357457
1.115,0.358774
1.12,0.360129
1.125,0.361058
1.13,0.36168
1.135,0.362836
1.14,0.363799
1.145,0.364483
1.15,0.364968
1.155,0.365752
1.16,0.366406
1.165,0.366722
1.17,0.367371
1.175,0.367793
1.18,0.368163
1.185,0.368412
1.19,0.368941
1.195,0.369521
1.2,0.369889
1.205,0.369827
1.21,0.369953
1.215,0.370602
1.22,0.370817
1.225,0.371065
1.23,0.371264
1.235,0.371314
1.24,0.371535
1.245,0.371728
1.25,0.371989
1.255,0.372463
1.26,0.373129
1.265,0.372974
1.27,0.373039
1.275,0.37315
1.28,0.373273
1.285,0.373512
1.29,0.3741
1.295,0.374206
1.3,0.374561
1.305,0.375007
1.31,0.375423
1.315,0.375812
1.32,0.377027
1.325,0.377572
1.33,0.377197
1.335,0.377309
1.34,0.377782
1.345,0.377668
1.35,0.377804
1.355,0.378169
1.36,0.378539
1.365,0.379354
1.37,0.3797
1.375,0.379758
1.38,0.379527
1.385,0.380673
1.39,0.381081
1.395,0.381411
1.4,0.381746
1.405,0.381967
1.41,0.382582
1.415,0.382871
1.42,0.383381
1.425,0.383681
1.43,0.383834
1.435,0.38414
1.44,0.384264
1.445,0.384347
1.45,0.384884
1.455,0.384899
1.46,0.384833
1.465,0.384305
1.47,0.383917
1.475,0.383952
1.48,0.383765
1.485,0.383559
1.49,0.383363
1.495,0.38321
1.5,0.383259
1.505,0.383033
1.51,0.382457
1.515,0.38193
1.52,0.381299
1.525,0.381273
1.53,0.381211
1.535,0.38088
1.54,0.380429
1.545,0.379832
1.55,0.379165
1.555,0.378527
1.56,0.37797
1.565,0.377516
1.57,0.376805
1.575,0.375852
1.58,0.37538
1.585,0.375186
1.59,0.374364
1.595,0.373681
1.6,0.373087
1.605,0.372461
1.61,0.371772
1.615,0.371344
1.62,0.370375
1.625,0.36921
1.63,0.368161
1.635,0.36738
1.64,0.366673
1.645,0.365739
1.65,0.36456
1.655,0.363601
1.66,0.363234
1.665,0.362432
1.67,0.361601
1.675,0.360839
1.68,0.360475
1.685,0.359394
1.69,0.358727
1.695,0.357879
1.7,0.357376
1.705,0.356599
1.71,0.356142
1.715,0.355588
1.72,0.35445
1.725,0.353798
1.73,0.352906
1.735,0.352236
1.74,0.351115
1.745,0.350165
1.75,0.349407
1.755,0.348119
1.76,0.347074
1.765,0.345979
1.77,0.345643
1.775,0.344887
1.78,0.34371
1.785,0.343057
1.79,0.342657
1.795,0.341955
1.8,0.341252
1.805,0.340757
1.81,0.340228
1.815,0.339845
1.82,0.339391
1.825,0.339125
1.83,0.338319
1.835,0.337078
1.84,0.336752
1.845,0.336092
1.85,0.33582
1.855,0.335393
1.86,0.335428
1.865,0.334674
1.87,0.334262
1.875,0.333837
1.88,0.332978
1.885,0.332532
1.89,0.332207
1.895,0.331478
1.9,0.331158
1.905,0.330823
1.91,0.33014
1.915,0.330161
1.92,0.329638
1.925,0.329814
1.93,0.329266
1.935,0.328637
1.94,0.329188
1.945,0.329028
1.95,0.328751
1.955,0.328697
1.96,0.329177
1.965,0.329204
1.97,0.328781
1.975,0.328558
1.98,0.328909
1.985,0.328623
1.99,0.328846
1.995,0.329139
2,0.329059
2.005,0.328943
2.01,0.328644
2.015,0.328483
2.02,0.329002
2.025,0.329206
2.03,0.329455
2.035,0.329714
2.04,0.3301
2.045,0.329834
2.05,0.329922
2.055,0.330017
2.06,0.330212
2.065,0.330368
2.07,0.330167
2.075,0.330073
2.08,0.330425
2.085,0.330376
2.09,0.330543
2.095,0.331098
2.1,0.331294
2.105,0.331712
2.11,0.332189
2.115,0.3324
2.12,0.332297
2.125,0.332332
2.13,0.33268
2.135,0.332806
2.14,0.333154
2.145,0.333196
2.15,0.333603
2.155,0.333213
2.16,0.333067
2.165,0.332135
2.17,0.331942
2.175,0.332528
2.18,0.332953
2.185,0.333156
2.19,0.333951
2.195,0.334395
2.2,0.334889
2.205,0.334712
2.21,0.334419
2.215,0.334341
2.22,0.334001
2.225,0.334253
2.23,0.334634
2.235,0.33452
2.24,0.334859
2.245,0.335045
2.25,0.335328
2.255,0.336154
2.26,0.336382
2.265,0.336055
2.27,0.337233
2.275,0.337364
2.28,0.338009
2.285,0.337966
2.29,0.338668
2.295,0.338739
2.3,0.339439
2.305,0.33977
2.31,0.339231
2.315,0.338716
2.32,0.338414
2.325,0.337672
2.33,0.336784
2.335,0.336428
2.34,0.337152
2.345,0.337954
2.35,0.337162
2.355,0.336772
2.36,0.336337
2.365,0.336449
2.37,0.336589
2.375,0.336117
2.38,0.335726
2.385,0.336374
2.39,0.336348
2.395,0.336322
2.4,0.336275
2.405,0.336348
2.41,0.336254
2.415,0.335466
2.42,0.336
2.425,0.335944
2.43,0.336192
2.435,0.336048
2.44,0.336093
2.445,0.335993
2.45,0.33614
2.455,0.335561
2.46,0.335988
2.465,0.335789
2.47,0.334349
2.475,0.334999
2.48,0.334374
2.485,0.333385
2.49,0.333513
2.495,0.333229
2.5,0.333829
