YY_OL_5,
W,R
0.5,0.212148011
0.503,0.214386083
0.506,0.216229398
0.509,0.217678425
0.512,0.217779531
0.515,0.219106127
0.518,0.221177913
0.521,0.223048005
0.524,0.223863834
0.527,0.224920871
0.53,0.226252254
0.533,0.22729375
0.536,0.228620665
0.539,0.230507573
0.542,0.23026855
0.545,0.230637809
0.548,0.231167417
0.551,0.230869785
0.554,0.232611614
0.557,0.234062798
0.56,0.235746851
0.563,0.23749047
0.566,0.239120351
0.569,0.240463192
0.572,0.241836036
0.575,0.24229871
0.578,0.242347844
0.581,0.243010098
0.584,0.243544857
0.587,0.245014973
0.59,0.246020988
0.593,0.246332658
0.596,0.247588602
0.599,0.248515106
0.602,0.249437601
0.605,0.25040244
0.608,0.25095719
0.611,0.251822532
0.614,0.252815924
0.617,0.254115118
0.62,0.254680026
0.623,0.255493905
0.626,0.256423721
0.629,0.257248662
0.632,0.257630698
0.635,0.258408228
0.638,0.259340241
0.641,0.260246253
0.644,0.261312118
0.647,0.262599797
0.65,0.262686556
0.653,0.263939805
0.656,0.264424882
0.659,0.265400774
0.662,0.266352724
0.665,0.266871967
0.668,0.267773807
0.671,0.26881455
0.674,0.270093556
0.677,0.270308706
0.68,0.270703159
0.683,0.272026088
0.686,0.27297453
0.689,0.273302577
0.692,0.273977928
0.695,0.274884781
0.698,0.275377859
0.701,0.276680215
0.704,0.277077455
0.707,0.277840029
0.71,0.278338135
0.713,0.279344269
0.716,0.279973549
0.719,0.28073483
0.722,0.281641115
0.725,0.281770279
0.728,0.282762303
0.731,0.283755642
0.734,0.283878302
0.737,0.284775472
0.74,0.285722724
0.743,0.286228867
0.746,0.286099825
0.749,0.286932897
0.752,0.287885156
0.755,0.288436099
0.758,0.288857763
0.761,0.289902741
0.764,0.289991326
0.767,0.290730726
0.77,0.291028087
0.773,0.292016511
0.776,0.292945842
0.779,0.292917528
0.782,0.293199865
0.785,0.294233421
0.788,0.294784366
0.791,0.295224829
0.794,0.295366328
0.797,0.296356038
0.8,0.297324528
0.803,0.297500655
0.806,0.297568448
0.809,0.298433223
0.812,0.298803468
0.815,0.299572431
0.818,0.300511159
0.821,0.300646962
0.824,0.301327303
0.827,0.301438998
0.83,0.302323192
0.833,0.302804317
0.836,0.303310239
0.839,0.303470897
0.842,0.304141294
0.845,0.304273897
0.848,0.305085096
0.851,0.305239835
0.854,0.306370476
0.857,0.306505474
0.86,0.307321934
0.863,0.307474774
0.866,0.308087779
0.869,0.308522352
0.872,0.309550611
0.875,0.309650675
0.878,0.310348207
0.881,0.310769205
0.884,0.311067635
0.887,0.311848913
0.89,0.312604235
0.893,0.312900688
0.896,0.313426336
0.899,0.313291539
0.902,0.314123932
0.905,0.31431165
0.908,0.314849689
0.911,0.315456482
0.914,0.315601557
0.917,0.316441254
0.92,0.316279409
0.923,0.316848655
0.926,0.317161585
0.929,0.317150645
0.932,0.317962978
0.935,0.317781636
0.938,0.318436787
0.941,0.318642072
0.944,0.318627828
0.947,0.318727022
0.95,0.319265094
0.953,0.319400635
0.956,0.319387567
0.959,0.319350541
0.962,0.31971355
0.965,0.320197959
0.968,0.32013745
0.971,0.32014176
0.974,0.320141465
0.977,0.320149952
0.98,0.320115345
0.983,0.320502029
0.986,0.320920021
0.989,0.320889671
0.992,0.320899015
0.995,0.32089802
0.998,0.320898545
