SS_OL_1,
W,R
0.261057679,0.104803474
0.265758935,0.109324209
0.267652723,0.112715313
0.27141183,0.116105785
0.273312736,0.120344823
0.276136811,0.123452967
0.279429588,0.126843597
0.281789706,0.130234543
0.286493334,0.135037922
0.28838475,0.138146382
0.290747241,0.141819973
0.295919571,0.146905839
0.298282062,0.15057943
0.301586702,0.155383283
0.304417894,0.159339361
0.307244342,0.162730149
0.308662311,0.164990833
0.311488758,0.168381621
0.314308088,0.170924475
0.316201877,0.174315579
0.318561995,0.177706525
0.321388442,0.181097313
0.32423387,0.186749259
0.325673191,0.191553746
0.328504384,0.195509823
0.329475003,0.200031823
0.330900089,0.203140441
0.331858846,0.206249217
0.33283421,0.211336506
0.334268787,0.215575703
0.335703363,0.2198149
0.337159292,0.2265979
0.338122794,0.230271965
0.339559743,0.234793807
0.341465394,0.239598135
0.3433663,0.243837174
0.345269578,0.248358857
0.347163366,0.251749962
0.348124496,0.255141382
0.349092742,0.259380738
0.351448115,0.262206394
0.352918279,0.270685262
0.354281681,0.266445117
0.354812068,0.274076367
0.355780315,0.278315722
0.357678848,0.282272116
0.358644722,0.286228826
0.361019075,0.291315641
0.361061781,0.296403247
0.361558953,0.30007747
0.363452741,0.303468575
0.366281561,0.307142008
0.368177722,0.310815757
0.369138851,0.314207178
0.370571055,0.31816373
0.372471961,0.322402768
0.374843942,0.327206938
0.377670389,0.330597726
0.378629146,0.333706502
0.379599765,0.338228502
0.380563267,0.341902568
0.382457056,0.345293672
0.384353216,0.348967421
0.384376942,0.351793869
0.38628022,0.356315552
0.387698189,0.358576236
0.390060679,0.362249827
0.390096267,0.366489498
0.391530843,0.370728695
0.393888589,0.373836997
0.396258197,0.378358522
0.400481261,0.381466191
0.403310081,0.385139624
0.40706207,0.387682161
0.410364337,0.39220337
0.411320721,0.395029501
0.413697447,0.400398961
0.415648175,0.41057354
0.4160718,0.405485776
0.416618795,0.415095539
0.416647265,0.418487276
0.418086586,0.423291763
0.41998512,0.427248157
0.421419696,0.431487354
0.425188293,0.436008404
0.428038465,0.44222564
0.432263902,0.445615954
0.436027753,0.449571715
0.441195339,0.454092291
0.447281349,0.456916683
0.45151153,0.460872286
0.455270637,0.464262757
0.459029743,0.467653229
0.460918787,0.470479044
0.464221054,0.475000253
0.467987278,0.479238659
0.472676672,0.48234617
0.476440523,0.486301931
0.479278834,0.491105943
0.4807229,0.496475719
0.481222445,0.500432587
0.482654648,0.504389139
0.484548437,0.507780244
0.485516684,0.512019599
0.488350249,0.516258321
0.490267762,0.522475873
0.492156806,0.525301688
0.494999861,0.530670989
0.499696372,0.534626434
0.502518074,0.537451933
0.505813224,0.541125208
0.510966574,0.543949915
0.51380014,0.548188638
0.516643195,0.553557939
0.51947676,0.557796662
0.523235866,0.561187133
0.529788206,0.564011367
0.538681683,0.567965388
0.542445535,0.571921149
0.545274355,0.575594582
0.547163398,0.578420397
0.549525889,0.582093988
0.552354709,0.585767421
0.555183529,0.589440854
0.559906137,0.596505391
0.562732585,0.599896179
0.566501182,0.60441723
0.568380735,0.606112466
0.571207183,0.609503254
0.574028885,0.612328752
0.577773757,0.614023356
0.582465523,0.617413511
0.585287225,0.62023901
0.589041587,0.623064192
0.594199682,0.626454189
0.601208861,0.628147685
0.608670135,0.628145154
0.614737164,0.628708388
0.618491526,0.63153357
0.625498332,0.632944421
0.63063033,0.633225326
0.635781308,0.635767389
0.63953567,0.638592571
0.643282914,0.640569819
0.646568573,0.643112515
0.650777402,0.644524315
0.655471541,0.648197116
0.662485464,0.650455901
0.668100399,0.652715161
0.674172174,0.653843684
0.679306544,0.654407234
0.686303861,0.654687506
0.693767506,0.65496762
0.699361089,0.654683077
0.707764511,0.655810809
0.714290753,0.65552595
0.719881963,0.654958763
0.727338491,0.654390942
0.733379423,0.651845083
0.737086335,0.649017371
0.74219698,0.646754473
0.746834178,0.643643799
0.753346185,0.641663071
0.757988128,0.639117687
0.762637189,0.637420236
0.771476098,0.634873428
0.778447317,0.632044608
0.783557962,0.62978171
0.790519691,0.625822311
0.795164007,0.623559571
0.800729119,0.619883292
0.807236381,0.617337274
0.812349398,0.615357021
0.817462416,0.613376768
0.823515211,0.612244133
0.828625856,0.609981235
0.834202831,0.607718179
0.840250881,0.606020254
0.848159503,0.603756407
0.856075244,0.602340495
0.864928388,0.601489555
0.870039034,0.599226657
0.876553413,0.597528574
0.881195356,0.59498319
0.888164202,0.591871725
0.894207506,0.589608511
0.901188215,0.58791027
0.908625763,0.585081292
0.914200366,0.582535591
0.919784458,0.581120469
0.923962444,0.578857887
0.928135686,0.576030016
0.931830735,0.57178908
0.935535274,0.568678722
0.940179589,0.566415982
0.944823905,0.564153242
0.951333539,0.56188987
0.955035706,0.558496868
0.958264425,0.554256089
0.961036305,0.551146048
0.964274515,0.548035848
0.967046394,0.544925807
0.968426403,0.542664174
0.973989143,0.53870525
0.976301811,0.536443301
0.980003977,0.533050298
0.984177219,0.530222427
0.988345715,0.526829267
0.992987658,0.524283882
0.995769028,0.52230442
0.998557515,0.521172892
1.002273917,0.519475758
1.00411551,0.516648678
1.007829539,0.514668899
1.011998035,0.511275739
1.014779405,0.509296276
1.019423721,0.507033537
1.022669048,0.504771271
1.029171565,0.501659965
1.031950562,0.499397858
1.036599623,0.497700407
1.041710268,0.495437509
1.046371191,0.495153283
1.048695722,0.494304558
1.056149878,0.493454093
1.062678492,0.493451879
1.068274447,0.493449981
1.074341476,0.494013214
1.080413251,0.495141737
1.085561856,0.497401155
1.091640748,0.499377612
1.097258056,0.501919517
1.101937959,0.503896449
1.105682831,0.505591052
1.107564757,0.507568932
1.112247033,0.509828509
1.116467724,0.512653533
1.118356767,0.515479348
1.121640055,0.517739399
1.125863118,0.520847068
1.129612735,0.52310696
1.134297383,0.525649181
1.137587788,0.528757167
1.140404746,0.531017376
1.146024426,0.533841925
1.149769297,0.535536528
1.154434966,0.535817591
1.160504368,0.53666347
1.165650601,0.538640243
1.168933888,0.540900294
1.174077748,0.542594423
1.176426004,0.544572145
1.184846034,0.54767839
1.192331032,0.550502307
1.198402807,0.55163083
1.204943283,0.55304184
1.211022175,0.555018297
1.217565025,0.556711951
1.225042905,0.558687934
1.232056829,0.560946719
1.23673436,0.562641006
1.241421381,0.565465872
1.247038689,0.568007777
1.252196784,0.571397774
1.258746751,0.573939362
1.26296507,0.576481742
1.269046334,0.578740844
1.275137089,0.582130525
1.282626832,0.585519731
1.288248885,0.588626925
1.291532172,0.590886976
1.297156597,0.594276815
1.302771532,0.596536075
1.308862287,0.599925756
1.314486712,0.603315595
1.321039051,0.606139829
1.325723699,0.60868205
1.333213443,0.612071256
1.337905209,0.615461412
1.34165957,0.618286594
1.348216654,0.621676117
1.35384108,0.625065956
1.358523355,0.627325532
1.361811388,0.630150873
1.366969483,0.63354087
1.372134696,0.637778801
1.375889058,0.640603984
1.381982185,0.644276309
1.387145025,0.648231596
1.394170812,0.651903605
1.397922801,0.654446143
1.401679535,0.65755397
1.406368929,0.66066148
1.410149388,0.666595755
1.414843526,0.670268555
1.418612123,0.674789606
1.419585115,0.679594251
1.425202422,0.682136155
1.430831592,0.686091284
1.435999178,0.69061186
1.441171508,0.695697726
1.446334349,0.699653013
1.45056453,0.703608616
1.45666003,0.707563586
1.459952807,0.710954216
1.464190106,0.715757754
1.468877127,0.71858262
1.472638606,0.722255736
1.47686167,0.725363405
1.481096596,0.729884298
1.484862821,0.734122704
1.488160343,0.738078623
1.490998653,0.742882635
1.496159121,0.746555277
1.500879357,0.753337169
1.505575868,0.757292614
1.510726846,0.759834677
1.516363133,0.76463774
1.521987558,0.768027579
1.526679324,0.771417735
1.532765334,0.774242126
1.536050994,0.776784822
1.543543109,0.780456673
1.548234875,0.783846828
1.553397716,0.787802115
1.558548694,0.790344178
1.563233342,0.792886399
1.566992449,0.796276871
1.570751556,0.799667343
1.573578003,0.803058131
1.576866035,0.805883471
1.581562546,0.809838916
1.585783238,0.81266394
1.589551834,0.817184991
1.591907207,0.820010648
1.597067675,0.82368329
1.601757069,0.8267908
1.60831178,0.829897678
1.612061397,0.832157571
1.619072948,0.834133712
1.626082127,0.835827208
1.63169469,0.837803823
1.641042634,0.840344463
1.649460291,0.843168063
1.655070481,0.844862034
1.659752757,0.84712161
1.666769054,0.849663041
1.672847946,0.851639498
1.679393167,0.853615797
1.685008102,0.855875057
1.694356047,0.858415696
1.699499907,0.860109825
1.706973043,0.861520518
1.712592723,0.864345068
1.720541678,0.866886182
1.728021932,0.869144809
1.734564781,0.870838463
1.744371937,0.87253101
1.757907357,0.873939647
1.766303662,0.874219445
1.77425499,0.877043204
1.777533532,0.878737965
1.78593221,0.879300408
1.793402973,0.880428456
1.800866619,0.88070857
1.809260552,0.880705723
1.814854134,0.88042118
1.822781737,0.880418491
1.828372947,0.879851304
1.837233209,0.879848299
1.842824419,0.879281111
1.85215101,0.879277948
1.856814306,0.879276366
1.86427558,0.879273835
1.869852554,0.877010779
1.875443764,0.876443592
1.883350015,0.8738971
1.889883374,0.874460175
1.893573678,0.869653949
1.898187151,0.863716828
1.903295424,0.861171285
1.91307411,0.859472095
1.920996968,0.858904117
1.926592923,0.858902219
1.931260964,0.859465926
