OWN_OL1/EN4_0,
W,R
0.499509759,0.558616169
0.501220058,0.559956171
0.503121206,0.561930912
0.504642787,0.563905653
0.505974704,0.56595092
0.506737507,0.56813724
0.507689975,0.570253034
0.50921203,0.572509881
0.5103544,0.574696201
0.511877284,0.577446732
0.512450896,0.579985685
0.513401943,0.581255161
0.514922696,0.582736217
0.517393075,0.584640431
0.519293158,0.585980434
0.52138326,0.587461489
0.523283461,0.588872018
0.526322125,0.590141494
0.529740592,0.591552023
0.532779019,0.592680447
0.535057958,0.593597291
0.538286168,0.594725714
0.540565225,0.595713084
0.542654262,0.596559402
0.545502787,0.597617299
0.548351549,0.598816248
0.550440941,0.599874145
0.553289467,0.600932042
0.55632813,0.602201518
0.559366439,0.603259415
0.562403919,0.603823627
0.565631419,0.604528891
0.569807598,0.605093103
0.572845433,0.605868894
0.577400943,0.606292053
0.581387221,0.606785738
0.584235036,0.607420476
0.58727216,0.607773108
0.591827906,0.60833732
0.595244834,0.608831005
0.599041447,0.609395217
0.601699242,0.609888902
0.604546347,0.610100481
0.60929164,0.61052364
0.613657721,0.611158378
0.618023092,0.611369957
0.621060216,0.61172259
0.624096986,0.611863643
0.627513204,0.611934169
0.631309225,0.612145748
0.635485759,0.612921539
0.637764816,0.61390891
0.640423558,0.614966807
0.643082064,0.615883651
0.644601396,0.616518389
0.647639112,0.617223653
0.651056395,0.617928918
0.654094467,0.618845762
0.656562952,0.619621553
0.659600906,0.62046787
0.662638622,0.621173135
0.665676813,0.622160505
0.667765494,0.622795243
0.669474373,0.623288928
0.671942976,0.624135246
0.675170476,0.62484051
0.677449296,0.625686828
0.680487368,0.626603672
0.683145637,0.627379463
0.686373137,0.628084727
0.6896004,0.628648939
0.692638116,0.629354204
0.695675478,0.629847889
0.698902386,0.630200521
0.702129886,0.630905786
0.704598016,0.631469997
0.708204845,0.632034209
0.710862877,0.632668947
0.713521145,0.633444738
0.717317758,0.63400895
0.719975672,0.634573161
0.723772048,0.63499632
0.727188739,0.635348952
0.729087401,0.635842637
0.733262752,0.635913164
0.736108554,0.635348952
0.739333331,0.634432108
0.741419882,0.63379737
0.743506195,0.633021579
0.745782056,0.632104735
0.749006714,0.631117365
0.751093028,0.630341574
0.753748337,0.629354204
0.755265183,0.628507886
0.757731181,0.627802622
0.759627475,0.626885778
0.760954182,0.625827881
0.762850713,0.62505209
0.764747007,0.624135246
0.765694147,0.623077349
0.766641406,0.622089979
0.767209099,0.621102608
0.768346378,0.620256291
0.769293518,0.619198394
0.770809654,0.617928918
0.772326263,0.616941547
0.774221491,0.615389965
0.775548198,0.614332069
0.776875024,0.613344698
0.777632499,0.612357328
0.779148871,0.611228905
0.7797168,0.610382587
