OWN_OL1/EN4_0,
W,R
1.195976324,0.648960558
1.200912347,0.649947929
1.20603839,0.651076352
1.209266246,0.651993196
1.214581835,0.652980566
1.218948864,0.654179516
1.22293597,0.655166886
1.228441107,0.656013204
1.234706323,0.657423733
1.240022031,0.65848163
1.242870438,0.659469
1.245718253,0.660103738
1.248945516,0.66066795
1.252173727,0.661796373
1.256350143,0.662501638
1.260906599,0.663489008
1.264893233,0.664194273
1.268500773,0.665181643
1.272677189,0.665886907
1.277992779,0.666874278
1.282169195,0.667579542
1.287484548,0.66842586
1.292040768,0.669272177
1.298115727,0.670400601
1.302102361,0.671105865
1.30589921,0.67181113
1.310455667,0.6727985
1.315391216,0.673503765
1.319567396,0.674067976
1.322794541,0.674561662
1.32621135,0.67498482
1.328869145,0.675478505
1.332665522,0.675901664
1.33684182,0.676536402
1.340448531,0.677030087
1.344245025,0.677523773
1.349180693,0.678299564
1.35297707,0.678722722
1.357532461,0.679075355
1.360948678,0.679145881
1.365503951,0.679427987
1.36929938,0.679286934
1.373284356,0.679004828
1.377458523,0.67837009
1.378973119,0.67618377
1.378974776,0.67717114
1.379540338,0.674914294
1.380676906,0.673644818
1.382004205,0.672939553
1.385229456,0.672304815
1.388644845,0.671881656
1.392440747,0.672022709
1.395289154,0.673010079
1.398897523,0.674491135
1.40098656,0.675337453
1.404593745,0.676113244
1.408580023,0.676606929
1.412186379,0.676889035
1.4159824,0.677100614
1.420537436,0.677241667
1.42566123,0.677030087
1.430595477,0.676959561
1.434960729,0.677100614
1.438755803,0.676747982
1.442171192,0.676324823
1.445966266,0.675972191
1.450140788,0.675549032
1.454504739,0.674914294
1.458679024,0.674350082
1.462663407,0.673715344
1.466457889,0.673010079
1.470252727,0.672516394
1.474236755,0.671670077
1.478410922,0.671035339
1.482015502,0.670259548
1.486948447,0.66941323
1.490932949,0.668849019
1.494347154,0.667720595
1.497571813,0.666733225
1.501935408,0.665886907
1.504970756,0.665181643
1.508575455,0.664476378
1.511800706,0.66384164
1.514646153,0.663065849
1.51787093,0.662149005
1.520905686,0.661091109
1.52488936,0.660033212
1.5292526,0.658975315
1.532856469,0.657776365
1.538358291,0.656647942
1.541772614,0.655590045
1.545376958,0.654673201
1.548791044,0.653474251
1.552205486,0.652486881
1.555999258,0.651358458
1.559793621,0.650582667
1.562828023,0.64931319
1.5660528,0.648396347
1.569656906,0.64733845
1.5726919,0.646421606
1.575347327,0.645504762
1.578382084,0.644446865
1.58255554,0.643388968
1.585590534,0.642472124
1.587866158,0.641414227
1.591280718,0.640497384
1.595074963,0.639651066
1.598109601,0.638522643
1.600765028,0.637605799
1.604369372,0.636688955
1.607973242,0.635490005
1.610628905,0.634714214
1.614043347,0.633726844
1.616698774,0.63281
1.620302881,0.631752103
1.624476456,0.630764733
1.628269872,0.62942473
1.631874571,0.628719465
1.63528925,0.627873148
1.638134341,0.626885778
1.641359118,0.625968934
1.645342555,0.624769984
1.648947135,0.623994193
1.653120473,0.62286577
1.657104383,0.621948926
1.660518825,0.620961555
1.664123169,0.620044711
1.668676073,0.618916288
1.672470555,0.618211024
1.676264919,0.617435233
1.679679716,0.616659442
1.683853764,0.615954177
1.68764801,0.61510786
1.692960521,0.614261542
1.696375318,0.613485751
1.699980017,0.612780487
1.705292291,0.611793116
1.710225355,0.611017325
1.714779207,0.610453114
1.719332822,0.609747849
1.724266122,0.609113111
1.728060722,0.608478373
1.732234889,0.607843635
1.737168189,0.607208897
1.742670958,0.606644685
1.747604258,0.606009947
1.751968326,0.605445735
1.75595342,0.605234156
1.759748613,0.60495205
1.764682505,0.604669944
1.768288624,0.604810997
1.772083816,0.604528891
1.776258694,0.604317312
1.780813256,0.604176259
1.784988488,0.604176259
1.789163721,0.604176259
1.792959387,0.604176259
1.796945191,0.604387838
1.800930877,0.604528891
1.804537351,0.604881524
1.808902959,0.605234156
1.813458469,0.605657315
1.818393545,0.606080473
1.82389797,0.606503632
1.829213205,0.607279423
1.834908125,0.608125741
1.839463989,0.608760479
1.844589559,0.609606796
1.84876562,0.610100481
1.853891071,0.610876272
1.858257271,0.611581537
1.863382604,0.612286801
1.867749395,0.613344698
1.872116187,0.614402595
1.87686148,0.614825754
1.88141616,0.614755227
1.88521301,0.615460492
1.889958421,0.615954177
1.895842532,0.616447862
1.902295638,0.616729968
1.907800892,0.617646812
1.912168513,0.619198394
1.916915463,0.620608923
1.921093182,0.622089979
1.925460684,0.623571034
1.928689367,0.624981563
1.932677184,0.626392092
1.936664765,0.627661569
1.940842128,0.628931045
1.943880792,0.630200521
1.946918982,0.631187891
1.949957172,0.632175262
1.953185619,0.633444738
1.956793278,0.634502635
1.95907269,0.635701585
1.962491394,0.637253167
1.965150491,0.638522643
1.968568485,0.639651066
1.971038035,0.641061595
1.975785222,0.642613177
1.97939371,0.644164759
1.982243182,0.645786868
1.984902398,0.64712687
1.987561495,0.648396347
1.99135941,0.649736349
1.994398666,0.651358458
1.997437566,0.652768987
2.000096427,0.65389741
2.002565741,0.655166886
2.005604404,0.656436362
2.008643305,0.657846892
2.011112856,0.659257421
2.014151756,0.66066795
2.016620952,0.6618669
2.019280286,0.663277429
2.021940093,0.664970064
2.024219505,0.666169013
2.026688582,0.667297437
2.029157896,0.668566913
2.03200654,0.669695336
2.035045322,0.671035339
2.037324853,0.672304815
2.040933577,0.67399745
2.044731847,0.675549032
2.048719664,0.676959561
2.051378643,0.678158511
2.054227287,0.679286934
2.05707593,0.680415357
2.060874201,0.681966939
2.064103122,0.683518521
2.066951292,0.684364839
2.070559305,0.685634315
2.074167793,0.687185897
2.077206693,0.688596426
2.080244765,0.68951327
2.083472857,0.690571167
2.086701185,0.691770117
2.089549829,0.69289854
2.092777921,0.693956437
2.095436545,0.694943807
2.098095405,0.69607223
2.101323497,0.697130127
2.104551589,0.698188024
2.107779681,0.699245921
2.111008009,0.700444871
2.114046436,0.701573294
2.11727441,0.702560664
2.120502265,0.703477508
2.124299707,0.704535405
2.127337897,0.705522775
2.130565515,0.706298566
2.13398339,0.707356463
2.137021817,0.708484887
2.140249317,0.709190151
2.142907941,0.710177521
2.146704909,0.710953313
2.150502232,0.711940683
2.153919871,0.712857527
2.157147726,0.713774371
2.160565128,0.714550162
2.164172668,0.715537532
2.167589832,0.71617227
2.171766722,0.717159641
2.175943494,0.718076485
2.178601762,0.718852276
2.18296808,0.719628067
2.188472861,0.720262805
2.193217562,0.720333331
2.197393268,0.720615437
2.200050826,0.720968069
2.204986021,0.721461754
2.208023264,0.721884913
2.211440073,0.722308072
2.217134638,0.72294281
2.221690266,0.723436495
2.226245538,0.723718601
2.230800692,0.72393018
2.23497699,0.724564918
2.2395325,0.724988077
2.244088009,0.725411236
2.249212513,0.725622815
2.253578003,0.725904921
2.257754064,0.726398606
2.262309218,0.726610186
2.265725317,0.726610186
2.270280353,0.726751239
2.274455467,0.726680712
2.279010029,0.726539659
2.283185025,0.726398606
2.287169882,0.726045974
2.289825783,0.725411236
2.294000423,0.725058604
2.298366031,0.725411236
2.301972624,0.725834395
2.306716733,0.725552289
2.309182021,0.724423865
2.311647073,0.723154389
2.313922815,0.722167019
2.316578479,0.721391228
2.320373079,0.72075649
2.323030756,0.721179649
2.326828079,0.722167019
2.329107255,0.723224916
2.332335702,0.724494392
2.334235429,0.725622815
2.335945491,0.726821765
2.338034883,0.727879662
2.340694809,0.729642823
2.342215917,0.731335458
2.344875961,0.733169146
2.347914862,0.734579675
2.350194392,0.735849151
2.352473686,0.736977575
2.357030143,0.737964945
2.360447426,0.738670209
2.365382739,0.739234421
2.369747873,0.739304948
2.373352927,0.738811262
2.377147764,0.738317577
2.380373488,0.737964945
2.383219882,0.737753366
2.387205094,0.737612313
2.391380919,0.737964945
2.394987512,0.738388104
2.399163455,0.738811262
2.402580619,0.739446
2.406187568,0.740080739
2.41036351,0.740503897
2.414159176,0.740503897
2.41871362,0.740292318
2.422888379,0.740010212
2.427252921,0.739728106
2.431807839,0.739798633
2.43617321,0.740010212
2.442056965,0.740292318
2.446612356,0.74064495
2.450598042,0.740786003
2.455153196,0.740997583
2.460845393,0.740221792
2.465209225,0.739516527
2.469193727,0.738952315
2.472988446,0.738388104
2.479060445,0.737753366
2.483235441,0.737612313
2.48779024,0.737612313
2.492724014,0.73725968
2.496899009,0.737118627

