OC-AK-Ko4,
W,R
0.253741546,0.065235902
0.258948252,0.065235902
0.26416368,0.065933836
0.269370386,0.065933836
0.274577092,0.065933836
0.279783799,0.065933836
0.283691009,0.066108319
0.290201572,0.066282803
0.292813646,0.066980737
0.300628067,0.067329704
0.308433765,0.066980737
0.313647013,0.067504188
0.317560764,0.068202122
0.320170658,0.068725572
0.326685582,0.069249023
0.329295476,0.069772473
0.331909731,0.070644891
0.337122978,0.071168342
0.344937398,0.071517309
0.347540751,0.071517309
0.356652487,0.071517309
0.368367576,0.071517309
0.377488034,0.072215243
0.381401785,0.072913177
0.384026942,0.074658012
0.38924891,0.075879397
0.391858805,0.076402848
0.400979262,0.077100782
0.407496366,0.077798716
0.408804584,0.078322166
0.415319508,0.078845617
0.421838792,0.079718035
0.425752543,0.080415969
0.43096143,0.080590452
0.433573505,0.081288386
0.438791113,0.082160804
0.441401007,0.082684255
0.446616435,0.083382189
0.449224148,0.083731156
0.454437396,0.084254606
0.45704511,0.084603573
0.462258357,0.085127024
0.467469424,0.085475991
0.470081498,0.086173925
0.473990889,0.086522892
0.480507993,0.087220826
0.48181403,0.087569793
0.488331135,0.088267728
0.493542202,0.088616695
0.500057126,0.089140145
0.500063667,0.089663596
0.502675741,0.09036153
0.506589492,0.091059464
0.509201567,0.091757398
0.511811461,0.092280849
0.517024708,0.092804299
0.520931918,0.092978783
0.52484785,0.0938512
0.527459924,0.094549135
0.531373676,0.095247069
0.5378886,0.095770519
0.543106208,0.096642937
0.547022139,0.097515355
0.548332537,0.098213289
0.553547965,0.098911223
0.557463896,0.09978364
0.562674963,0.100132608
0.569189887,0.100656058
0.575704811,0.101179509
0.579616382,0.101702959
0.582226276,0.10222641
0.587439523,0.10274986
0.592652771,0.103273311
0.600467191,0.103622278
0.605682618,0.104320212
0.60959637,0.105018146
0.61741079,0.105367113
0.622624037,0.105890564
0.626533427,0.106239531
0.631746675,0.106762982
0.639567636,0.107635399
0.643474846,0.107809883
0.64998977,0.108333333
0.65780637,0.108856784
0.664321294,0.109380235
0.670836218,0.109903685
0.676047285,0.110252652
0.681258352,0.110601619
0.690374449,0.110950586
0.698188869,0.111299553
0.704701612,0.11164852
0.709912679,0.111997487
0.715121566,0.112171971
0.722933805,0.112346455
0.726834474,0.111997487
0.734646714,0.112171971
0.742458954,0.112346455
0.751564149,0.111823004
0.759372028,0.11164852
0.764574373,0.111299553
0.769774538,0.110776103
0.777575876,0.110078169
0.782780402,0.109903685
0.787980567,0.109380235
0.793180732,0.108856784
0.795777544,0.108333333
0.80097771,0.107809883
0.806175694,0.107111949
0.812670995,0.106065048
0.81786898,0.105367113
0.824368641,0.104669179
0.829564446,0.103796762
0.830857401,0.103098828
0.834751528,0.10222641
0.839945153,0.101179509
0.843841461,0.100481575
0.849043806,0.100132608
0.855543468,0.099434673
0.859441956,0.098911223
0.86854279,0.098038805
0.876348489,0.097689838
0.881553015,0.097515355
0.888061398,0.097515355
0.899774306,0.097340871
0.904981013,0.097340871
0.910189899,0.097515355
0.920603312,0.097515355
0.925807837,0.097340871
0.929699785,0.09629397
0.932290056,0.095247069
0.936199446,0.095596036
0.942716551,0.09629397
0.946625941,0.096642937
0.950539692,0.097340871
0.957056796,0.098038805
0.962272224,0.098736739
0.964879938,0.099085706
0.967492012,0.09978364
0.97270526,0.100307091
0.977918507,0.100830542
0.987041145,0.101702959
0.992254392,0.10222641
0.996163783,0.102575377
1.00137921,0.103273311
1.006594638,0.103971245
1.015715095,0.104669179
1.022230019,0.10519263
1.030042259,0.105367113
1.037854499,0.105541597
1.04176825,0.106239531
1.045679821,0.106762982
1.050897429,0.107635399
1.061310841,0.107635399
1.069127442,0.10815885
1.074342869,0.108856784
1.076954944,0.109554718
1.083469868,0.110078169
1.088683115,0.110601619
1.092592505,0.110950586
1.100413467,0.111823004
1.109529563,0.112171971
1.119953877,0.113044389
1.12646226,0.113044389
1.136880033,0.113393356
1.14208892,0.113567839
1.148599483,0.113742323
1.155116587,0.114440257
1.161631511,0.114963707
1.173355322,0.115661642
1.178564208,0.115836125
1.186378629,0.116185092
1.190283658,0.116185092
1.195501266,0.11705751
1.204623904,0.117929927
1.212440504,0.118453378
1.21764503,0.118278895
1.228058443,0.118278895
1.235870683,0.118453378
1.242381246,0.118627862
1.252796839,0.118802345
1.258003545,0.118802345
1.267121822,0.119325796
1.272328528,0.119325796
1.280138587,0.119325796
1.287948647,0.119325796
1.295765247,0.119849246
1.302282351,0.12054718
1.308797275,0.121070631
1.311400628,0.121070631
1.319210688,0.121070631
1.324421755,0.121419598
1.330934498,0.121768565
1.334843889,0.122117532
1.340057136,0.122640983
1.345266023,0.122815466
1.353076082,0.122815466
1.363489494,0.122815466
1.370000058,0.12298995
1.375206764,0.12298995
1.381719507,0.123338917
1.389527386,0.123164433
1.397337446,0.123164433
1.40385237,0.123687884
1.410362933,0.123862367
1.416871316,0.123862367
1.423379698,0.123862367
1.429894622,0.124385818
1.436409546,0.124909269
1.441627154,0.125781686
1.446827319,0.125258236
1.452036206,0.125432719
1.458548949,0.125781686
1.465063873,0.126305137
1.47027058,0.126305137
1.476781143,0.12647962
1.48199439,0.127003071
1.4859016,0.127177554
1.49371384,0.127352038
1.496317193,0.127352038
1.504131613,0.127701005
1.510644356,0.128049972
1.514549386,0.128049972
1.522359446,0.128049972
1.527566152,0.128049972
1.535376211,0.128049972
1.540582917,0.128049972
1.5470913,0.128049972
1.550989789,0.127526522
1.553590962,0.127352038
1.557495991,0.127352038
1.564002194,0.127177554
1.57311393,0.127177554
1.579620132,0.127003071
1.587428011,0.126828587
1.595227169,0.12595617
1.592632537,0.126654104
1.601735551,0.12595617
1.609549971,0.126305137
1.618661707,0.126305137
1.626465226,0.125781686
1.63557042,0.125258236
1.644679976,0.125083752
1.648587186,0.125258236
1.656397245,0.125258236
1.664207305,0.125258236
1.672008643,0.124560302
1.677215349,0.124560302
1.682408973,0.1235134
1.686309642,0.123164433
1.691511987,0.122815466
1.700619363,0.122466499
