KC-OL-hm_4,
W,R
0.5703,0.7352
0.57056,0.736
0.57081,0.73996
0.57106,0.74129
0.57131,0.74257
0.57156,0.74674
0.57181,0.74552
0.57207,0.74185
0.57232,0.73768
0.57257,0.73639
0.57282,0.73946
0.57308,0.74077
0.57333,0.73889
0.57358,0.74081
0.57384,0.74475
0.57409,0.74324
0.57435,0.74392
0.5746,0.74504
0.57486,0.74694
0.57511,0.74917
0.57537,0.74599
0.57562,0.74498
0.57588,0.74455
0.57613,0.7435
0.57639,0.74415
0.57665,0.75066
0.5769,0.75555
0.57716,0.75117
0.57742,0.74862
0.57767,0.74584
0.57793,0.7438
0.57819,0.74296
0.57845,0.74222
0.57871,0.74399
0.57896,0.74526
0.57922,0.74866
0.57948,0.75107
0.57974,0.74995
0.58,0.74657
0.58026,0.7467
0.58052,0.7476
0.58078,0.74377
0.58104,0.7446
0.5813,0.74851
0.58156,0.75066
0.58182,0.7492
0.58208,0.74809
0.58235,0.74994
0.58261,0.7494
0.58287,0.74871
0.58313,0.74657
0.58339,0.74594
0.58366,0.74758
0.58392,0.74547
0.58418,0.743
0.58445,0.74413
0.58471,0.74865
0.58497,0.75092
0.58524,0.74992
0.5855,0.75005
0.58577,0.7483
0.58603,0.74422
0.5863,0.74511
0.58656,0.75014
0.58683,0.75204
0.58709,0.74891
0.58736,0.74476
0.58763,0.74534
0.58789,0.74732
0.58816,0.74649
0.58843,0.74548
0.58869,0.74674
0.58896,0.74994
0.58923,0.75014
0.5895,0.74642
0.58976,0.74359
0.59003,0.74546
0.5903,0.74988
0.59057,0.7518
0.59084,0.75196
0.59111,0.75035
0.59138,0.74751
0.59165,0.74775
0.59192,0.74984
0.59219,0.7501
0.59246,0.74868
0.59273,0.74755
0.593,0.74815
0.59327,0.74931
0.59354,0.75001
0.59382,0.75112
0.59409,0.75169
0.59436,0.75064
0.59463,0.74969
0.59491,0.74926
0.59518,0.74881
0.59545,0.74968
0.59573,0.7499
0.596,0.74768
0.59627,0.74482
0.59655,0.74408
0.59682,0.74796
0.5971,0.75053
0.59737,0.75013
0.59765,0.75284
0.59792,0.75416
0.5982,0.75277
0.59848,0.7521
0.59875,0.75111
0.59903,0.7517
0.59931,0.75354
0.59958,0.75234
0.59986,0.74683
0.60014,0.74446
0.60042,0.74781
0.6007,0.75087
0.60097,0.75116
0.60125,0.74878
0.60153,0.74858
0.60181,0.74842
0.60209,0.74745
0.60237,0.74939
0.60265,0.75019
0.60293,0.74944
0.60321,0.74726
0.60349,0.74778
0.60377,0.74921
0.60405,0.74777
0.60434,0.74763
0.60462,0.74772
0.6049,0.74949
0.60518,0.7513
0.60547,0.75259
0.60575,0.75201
0.60603,0.75077
0.60631,0.75033
0.6066,0.74858
0.60688,0.75121
0.60717,0.75175
0.60745,0.75032
0.60774,0.74908
0.60802,0.74797
0.60831,0.74844
0.60859,0.74811
0.60888,0.75202
0.60916,0.75157
0.60945,0.75158
0.60974,0.75394
0.61002,0.7524
0.61031,0.75032
0.6106,0.74842
0.61089,0.75117
0.61117,0.74928
0.61146,0.74849
0.61175,0.74781
0.61204,0.7469
0.61233,0.75
0.61262,0.74863
0.61291,0.75156
0.6132,0.75111
0.61349,0.75103
0.61378,0.75092
0.61407,0.74887
0.61436,0.75006
0.61465,0.74784
0.61494,0.74955
0.61524,0.74719
0.61553,0.74785
0.61582,0.74753
0.61611,0.74595
0.61641,0.74953
0.6167,0.74711
0.61699,0.74848
0.61729,0.74702
0.61758,0.74934
0.61787,0.74815
0.61817,0.74475
0.61846,0.74918
0.61876,0.74785
0.61905,0.75012
0.61935,0.74835
0.61965,0.7491
0.61994,0.7484
0.62024,0.74627
0.62054,0.7483
0.62083,0.74624
0.62113,0.74958
0.62143,0.74639
0.62173,0.7481
0.62203,0.74783
0.62232,0.74616
0.62262,0.74933
0.62292,0.7457
0.62322,0.74829
0.62352,0.74527
0.62382,0.74543
0.62412,0.7442
0.62442,0.74404
0.62472,0.74781
0.62502,0.74511
0.62533,0.74922
0.62563,0.74735
0.62593,0.74896
0.62623,0.74683
0.62654,0.74505
0.62684,0.74874
0.62714,0.7463
0.62744,0.74799
0.62775,0.74279
0.62805,0.74351
0.62836,0.74306
0.62866,0.74491
0.62897,0.74941
0.62927,0.74701
0.62958,0.75056
0.62988,0.74748
0.63019,0.74821
0.6305,0.74648
0.6308,0.74578
0.63111,0.7476
0.63142,0.7464
0.63173,0.74742
0.63203,0.74697
0.63234,0.735
0.63358,0.73117
0.63389,0.74295
0.6342,0.74624
0.63451,0.7477
0.63482,0.74715
0.63513,0.74794
0.63544,0.75083
0.63575,0.74754
0.63607,0.75041
0.63638,0.74524
0.63669,0.74659
0.637,0.74485
0.63732,0.7455
0.63763,0.74648
0.63794,0.74195
0.63826,0.74608
0.63857,0.74453
0.63889,0.74864
0.6392,0.74728
0.63952,0.74737
0.63983,0.74965
0.64015,0.74742
0.64046,0.75006
0.64078,0.74663
0.6411,0.75038
0.64142,0.74993
0.64173,0.75086
0.64205,0.75291
0.64237,0.7504
0.64269,0.75192
0.64301,0.74839
0.64333,0.75112
0.64364,0.7498
0.64396,0.75031
0.64428,0.75153
0.64461,0.7497
0.64493,0.7521
0.64525,0.74887
0.64557,0.75098
0.64589,0.75095
0.64621,0.7528
0.64653,0.75374
0.64686,0.75111
0.64718,0.75171
0.6475,0.75002
0.64783,0.75337
0.64815,0.75109
0.64847,0.74997
0.6488,0.75059
0.64912,0.75043
0.64945,0.75238
0.64978,0.75022
0.6501,0.75221
0.65043,0.75085
0.65075,0.75101
0.65108,0.75246
0.65141,0.75317
0.65173,0.75487
0.65206,0.75289
0.65239,0.75369
0.65272,0.75244
0.65305,0.75397
0.65338,0.75494
0.65371,0.75421
0.65404,0.75466
0.65437,0.7528
0.6547,0.75461
0.65503,0.75506
0.65536,0.75765
0.65569,0.75943
0.65602,0.75866
0.65635,0.75819
0.65669,0.75564
0.65702,0.7553
0.65735,0.75438
0.65769,0.75538
0.65802,0.75628
0.65836,0.75572
0.65869,0.75544
0.65902,0.75567
0.65936,0.75672
0.6597,0.75542
0.66003,0.7574
0.66037,0.75905
0.6607,0.75849
0.66104,0.75761
0.66138,0.75647
0.66172,0.75757
0.66205,0.75753
0.66239,0.75897
0.66273,0.75927
0.66307,0.75757
0.66341,0.75701
0.66375,0.75649
0.66409,0.75719
0.66443,0.75769
0.66477,0.7584
0.66511,0.75752
0.66545,0.75678
0.66579,0.75856
0.66614,0.75952
0.66648,0.75952
0.66682,0.75883
0.66716,0.75816
0.66751,0.7582
0.66785,0.75936
0.6682,0.75967
0.66854,0.75895
0.66889,0.75937
0.66923,0.76011
0.66958,0.76099
0.66992,0.76071
0.67027,0.76032
0.67062,0.7601
0.67096,0.75848
0.67131,0.7573
0.67166,0.75696
0.67201,0.75771
0.67236,0.75847
0.6727,0.75826
0.67305,0.75911
0.6734,0.76044
0.67375,0.76039
0.6741,0.76001
0.67445,0.76113
0.67481,0.76149
0.67516,0.75986
0.67551,0.75911
0.67586,0.75939
0.67621,0.75935
0.67657,0.7589
0.67692,0.75844
0.67727,0.75796
0.67763,0.75852
0.67798,0.75988
0.67834,0.75953
0.67869,0.75885
0.67905,0.75886
0.6794,0.75857
0.67976,0.75864
0.68012,0.75895
0.68047,0.75855
0.68083,0.75804
0.68119,0.75778
0.68155,0.75799
0.6819,0.7587
0.68226,0.75867
0.68262,0.75824
0.68298,0.75763
0.68334,0.75692
0.6837,0.75697
0.68406,0.75716
0.68443,0.75753
0.68479,0.75777
0.68515,0.75841
0.68551,0.75837
0.68587,0.75616
0.68624,0.755
0.6866,0.75614
0.68696,0.75726
0.68733,0.75699
0.68769,0.75634
0.68806,0.7562
0.68842,0.75641
0.68879,0.75652
0.68916,0.75606
0.68952,0.75648
0.68989,0.75641
0.69026,0.75463
0.69062,0.75393
0.69099,0.75503
0.69136,0.75576
0.69173,0.75511
0.6921,0.75457
0.69247,0.75515
0.69284,0.75575
0.69321,0.75562
0.69358,0.75493
0.69395,0.75427
0.69432,0.7547
0.6947,0.75464
0.69507,0.75347
0.69544,0.75335
0.69581,0.754
0.69619,0.75432
0.69656,0.75378
0.69694,0.75345
0.69731,0.75326
0.69769,0.75195
0.69806,0.75059
0.69844,0.75043
0.69881,0.75158
0.69919,0.75167
0.69957,0.75145
0.69995,0.75195
0.70032,0.75097
0.7007,0.74955
0.70108,0.74906
0.70146,0.74906
0.70184,0.74854
0.70222,0.74872
0.7026,0.74967
0.70298,0.74955
0.70336,0.74909
0.70375,0.74849
0.70413,0.74828
0.70451,0.74804
0.70489,0.74787
0.70528,0.74747
0.70566,0.74652
0.70605,0.74697
0.70643,0.74832
0.70682,0.74869
0.7072,0.7476
0.70759,0.74694
0.70797,0.74602
0.70836,0.74479
0.70875,0.74547
0.70914,0.74653
0.70952,0.74701
0.70991,0.74681
0.7103,0.74687
0.71069,0.74639
0.71108,0.74449
0.71147,0.74359
0.71186,0.74313
0.71225,0.74313
0.71265,0.74376
0.71304,0.74419
0.71343,0.74443
0.71382,0.74399
0.71422,0.74309
0.71461,0.74253
0.715,0.74228
0.7154,0.74203
0.71579,0.74297
0.71619,0.74415
0.71658,0.74378
0.71698,0.74247
0.71738,0.74078
0.71777,0.73954
0.71817,0.73939
