MY_OL_15,
W,R
0.256002565,0.113465948
0.258393116,0.115129375
0.259984385,0.116079423
0.261975296,0.117386161
0.263172395,0.118337051
0.264568403,0.119406697
0.265969882,0.120833874
0.268161524,0.122378544
0.269561179,0.123686544
0.270969952,0.125590429
0.273159771,0.127015922
0.274966361,0.129157319
0.275975493,0.130704514
0.277575881,0.132250447
0.27858866,0.134035996
0.279601439,0.135821545
0.280813126,0.13772585
0.28201752,0.139153448
0.282835037,0.141058595
0.284442719,0.143081235
0.28565623,0.145104717
0.286862447,0.146651492
0.287685435,0.148914169
0.289097855,0.151056407
0.289723758,0.153319505
0.292128898,0.155936347
0.292944592,0.157722317
0.294147162,0.159030738
0.294957385,0.160459177
0.296568714,0.162720171
0.298576036,0.1650995
0.299787724,0.167003806
0.301601609,0.16962191
0.303809663,0.172239172
0.305028645,0.174620185
0.306054189,0.177239972
0.307667342,0.179620143
0.308875382,0.181286094
0.310081599,0.182832869
0.311307875,0.185690589
0.312317007,0.187237784
0.313937454,0.190094663
0.316331652,0.191996443
0.31714917,0.19390159
0.317970334,0.196045091
0.31919114,0.19854528
0.32000501,0.200212073
0.32041924,0.201522177
0.320837116,0.203070635
0.32204151,0.204498233
0.323054289,0.206283782
0.323483107,0.208547301
0.324702089,0.210928314
0.324733089,0.21295432
0.326141862,0.214858205
0.326955733,0.216524998
0.32777325,0.218430145
0.328592591,0.220454468
0.329216671,0.22259839
0.329844397,0.224980665
0.3304703,0.227243763
0.330696562,0.229150172
0.332295126,0.230576928
0.333517755,0.233196295
0.333749488,0.235460235
0.334765914,0.237484138
0.334793268,0.239271791
0.335222086,0.24153531
0.336258571,0.244870159
0.337681932,0.247727458
0.338306012,0.249871379
0.33834066,0.25213574
0.339362556,0.254517174
0.339999401,0.257495333
0.341216559,0.259757169
0.343024973,0.262017742
0.344245779,0.264517932
0.344674597,0.266781451
0.346291396,0.269399976
0.346340632,0.272617751
0.346572365,0.274881691
0.347597909,0.277501479
0.347630733,0.279646663
0.348459192,0.282266871
0.349679998,0.28476706
0.350900803,0.28726725
0.352125256,0.290005793
0.35294642,0.292149294
0.353575971,0.294650746
0.354400782,0.2970326
0.354827777,0.299176942
0.355451856,0.301320864
0.355886145,0.303941913
0.356700015,0.305608706
0.358703691,0.307749682
0.359539444,0.310846598
0.360364255,0.313228452
0.361187244,0.315491129
0.362802219,0.317990477
0.363619737,0.319895624
0.365232889,0.322275795
0.365661707,0.324539314
0.366079584,0.326087772
0.367696383,0.328706297
0.368911718,0.330848956
0.36973653,0.33323081
0.371156244,0.335849756
0.372579605,0.338707055
0.374200052,0.341563934
0.375422681,0.3441833
0.37724386,0.347278112
0.377864292,0.349183679
0.379083274,0.351564692
0.380495694,0.35370693
0.381909937,0.355968345
0.383123449,0.357991827
0.383933672,0.359420266
0.383955555,0.360850389
0.383992026,0.363233927
0.384021203,0.365140757
0.384656224,0.367999739
0.38488978,0.370382856
0.385123337,0.372765973
0.385572214,0.376340438
0.385834947,0.380630385
0.385939031,0.374551943
0.386002855,0.378723134
0.386856844,0.383011818
0.387681656,0.385393672
0.390072207,0.387057099
0.392068588,0.388721367
0.393867884,0.390386056
0.395856971,0.391573616
0.397262097,0.393239147
0.399061393,0.394903836
0.400459224,0.396092659
0.402853423,0.397994439
0.404258548,0.39965997
0.405862583,0.401444256
0.406670982,0.402753519
0.408676481,0.405013671
0.409488528,0.406561288
0.41010896,0.408466855
0.411320648,0.41037116
0.412338898,0.41251424
0.413957521,0.415251942
0.414972123,0.417156668
0.416992211,0.420370235
0.417630879,0.423467572
0.418643658,0.425253121
0.419466646,0.427515798
0.420287811,0.429659299
0.421900963,0.43203947
0.423105356,0.433467068
0.424313397,0.435133019
0.425926549,0.43751319
0.427537878,0.439774184
0.428747742,0.441559312
0.430550685,0.443462355
0.431561641,0.445128727
0.432561655,0.446080038
0.433977722,0.44846063
0.43558358,0.450364094
0.436594535,0.452030466
0.437612785,0.454173546
0.43882812,0.456316205
0.439643814,0.458102174
0.440859149,0.460244833
0.442067189,0.461910785
0.44327523,0.463576736
0.444680356,0.465242267
0.446291684,0.467503261
0.447107378,0.469289231
0.44871506,0.471311871
0.450123833,0.473215756
0.451536253,0.475357994
0.453339196,0.477261036
0.455142139,0.479164079
0.457339252,0.48106628
0.45894511,0.482969744
0.460158621,0.484993226
0.461372133,0.487016708
0.462773611,0.488443885
0.465178751,0.491060726
0.466786433,0.493083366
0.467801035,0.494988092
0.469014547,0.497011574
0.470622228,0.499034215
0.473222629,0.501531459
0.475624122,0.503909946
0.478226347,0.506526367
0.480633311,0.509262385
0.482640633,0.511641715
0.484647955,0.514021044
0.485861467,0.516044526
0.487284828,0.518901826
0.48970638,0.522591259
0.491921729,0.525685229
0.495126151,0.529015448
0.497157179,0.532944077
0.498983829,0.536396419
0.501201001,0.539609566
0.503602494,0.541988054
0.505211999,0.544129871
0.506624419,0.546272109
0.50765361,0.54913025
0.509268586,0.551629598
0.510870797,0.553294708
0.512872649,0.555316507
0.514084336,0.557220812
0.516288744,0.559599721
0.518098981,0.561979471
0.519903748,0.56400169
0.521316168,0.566143928
0.524128243,0.569594166
0.526531559,0.572091831
0.528533411,0.57411363
0.531139283,0.576968404
0.532360089,0.579468594
0.532788907,0.581732113
0.534996961,0.584349375
0.537000637,0.586490351
0.540206882,0.589939747
0.54302078,0.593509162
0.544635756,0.59600851
0.547230687,0.598148223
0.552008142,0.601236722
0.55421255,0.603615631
0.55719618,0.605396972
0.560391484,0.608131307
0.563570376,0.60979305
0.565964574,0.61169483
0.567966426,0.613716629
0.571141671,0.615140019
0.573329666,0.616446335
0.575720218,0.618109762
0.579899124,0.620722816
0.582687492,0.622623754
0.586475875,0.625476004
0.590253317,0.627613192
0.592654809,0.62999168
0.594455929,0.631775546
0.597435912,0.633318533
0.60100168,0.634502727
0.604173277,0.635687762
0.607941601,0.637229066
0.611310283,0.638413681
0.614089534,0.639718735
0.616669877,0.640905033
0.620233821,0.641970051
0.625179184,0.643151299
0.630122724,0.64421337
0.63408631,0.645635076
0.637250613,0.646343404
0.639228758,0.646815904
0.641210551,0.647526757
0.64457741,0.648592195
0.646951549,0.649183029
0.649911473,0.649415071
0.653661561,0.649764606
0.657807643,0.650232476
0.660192724,0.651538372
0.663357027,0.6522467
0.666922795,0.653430894
0.67028783,0.654377155
0.673065258,0.655563032
0.676034299,0.656390958
0.678408439,0.656981793
0.679800799,0.657813085
0.682959632,0.658163883
0.686339256,0.660063559
0.691074769,0.66041099
0.694043811,0.661238915
0.697989161,0.661468853
0.700558562,0.66194009
0.703323224,0.662291729
0.706879874,0.662880038
0.709250366,0.663232519
0.711615387,0.663227469
0.715568031,0.663934114
0.718327223,0.663928223
0.722663096,0.663918964
0.725816457,0.663912231
0.727975276,0.663311718
0.730927906,0.663067052
0.734457202,0.661867708
0.736811282,0.661147597
0.740336932,0.6597099
0.742493927,0.658990209
0.745231235,0.657554195
0.748570741,0.65683198
0.751105494,0.655038856
0.754238797,0.653721177
0.757171367,0.652165565
0.7599105,0.650848728
0.763423384,0.648576793
0.766753772,0.647258693
0.769872486,0.644987599
0.771429108,0.643673287
0.775148196,0.641996815
0.777688419,0.640561222
0.780425728,0.639125208
0.781980526,0.637691718
0.784332783,0.63685243
0.785497058,0.635658137
0.787252588,0.63446258
0.78880921,0.633148268
0.793316638,0.631470113
0.796258326,0.630510385
0.798601465,0.629075213
0.801729297,0.627400004
0.804076083,0.626203185
0.807417412,0.625600147
0.809766021,0.624522505
0.812904795,0.623562357
0.816043568,0.622602208
0.818789995,0.621762079
0.823310188,0.620918162
0.826255523,0.620196788
0.83096733,0.618994919
0.83430866,0.618391881
0.8388325,0.617786318
0.843547954,0.616822803
0.84688746,0.616100588
0.851398535,0.614660786
0.855719819,0.613698113
0.857278264,0.612502978
0.860400625,0.610470237
0.863528457,0.608795028
0.866464675,0.60747777
0.869802357,0.606636378
0.872348052,0.605558315
0.874503223,0.604719448
0.876862774,0.604356867
0.880789888,0.603395036
0.885114819,0.602670717
0.888647762,0.601709727
0.89080111,0.600751683
0.894722753,0.599432321
0.897268448,0.598354258
0.900202842,0.596917823
0.902352543,0.595721425
0.90549314,0.594880454
