KC-OL-hevn_2,
W,R
0.54088,0.73746
0.54133,0.73293
0.54179,0.73243
0.54224,0.73271
0.54269,0.72996
0.54314,0.73314
0.54359,0.73247
0.54404,0.73318
0.54449,0.73425
0.54494,0.73335
0.54539,0.72954
0.54584,0.73154
0.54629,0.73149
0.54675,0.73339
0.5472,0.73698
0.54765,0.73362
0.5481,0.73735
0.54855,0.73327
0.549,0.73277
0.54945,0.7346
0.5499,0.7366
0.55035,0.73375
0.5508,0.7342
0.55125,0.73495
0.5517,0.73617
0.55215,0.7363
0.5526,0.73673
0.55305,0.73567
0.5535,0.7383
0.55395,0.73596
0.5544,0.73491
0.55485,0.73782
0.5553,0.73642
0.55575,0.73634
0.5562,0.73673
0.55665,0.73697
0.5571,0.73611
0.55755,0.739
0.558,0.73934
0.55845,0.73737
0.5589,0.73911
0.55935,0.74229
0.5598,0.73696
0.56025,0.73925
0.5607,0.73966
0.56115,0.74034
0.5616,0.7395
0.56205,0.74025
0.5625,0.73963
0.56295,0.73929
0.5634,0.74079
0.56385,0.74154
0.5643,0.73965
0.56475,0.74052
0.5652,0.73815
0.56565,0.73915
0.5661,0.73967
0.56655,0.73887
0.567,0.74122
0.56745,0.74151
0.56789,0.74072
0.56834,0.7419
0.56879,0.74136
0.56924,0.74094
0.56969,0.74043
0.57014,0.74163
0.57059,0.74237
0.57104,0.74284
0.57149,0.74088
0.57194,0.74295
0.57239,0.74273
0.57284,0.74273
0.57328,0.7422
0.57373,0.74302
0.57418,0.74201
0.57463,0.74282
0.57508,0.74299
0.57553,0.74303
0.57598,0.74262
0.57643,0.74262
0.57688,0.74494
0.57732,0.74394
0.57777,0.74351
0.57822,0.74326
0.57867,0.74267
0.57912,0.74333
0.57957,0.74332
0.58002,0.74402
0.58046,0.74456
0.58091,0.74344
0.58136,0.74341
0.58181,0.74352
0.58226,0.74443
0.58271,0.74443
0.58316,0.74416
0.5836,0.7445
0.58405,0.74361
0.5845,0.74355
0.58495,0.7438
0.5854,0.74439
0.58584,0.74501
0.58629,0.74493
0.58674,0.74425
0.58719,0.74426
0.58764,0.7433
0.58809,0.74426
0.58853,0.74383
0.58898,0.74355
0.58943,0.74395
0.58988,0.74349
