YY_OL_0,
W,R
0.5,0.72342211
0.503,0.725056018
0.506,0.725308023
0.509,0.73184918
0.512,0.733776347
0.515,0.734405498
0.518,0.734819188
0.521,0.735510309
0.524,0.736151405
0.527,0.737383958
0.53,0.737969864
0.533,0.740773277
0.536,0.744345175
0.539,0.744690242
0.542,0.744161158
0.545,0.743510761
0.548,0.74456015
0.551,0.747425622
0.554,0.749764389
0.557,0.750632032
0.56,0.749882805
0.563,0.749836923
0.566,0.750322415
0.569,0.749853677
0.572,0.750852571
0.575,0.752139472
0.578,0.752598313
0.581,0.751863549
0.584,0.75094497
0.587,0.750515709
0.59,0.751186038
0.593,0.752011955
0.596,0.752858504
0.599,0.752418695
0.602,0.75193583
0.605,0.751826739
0.608,0.750809538
0.611,0.750229039
0.614,0.750286585
0.617,0.750882588
0.62,0.750520343
0.623,0.749559356
0.626,0.748723254
0.629,0.749101358
0.632,0.749514265
0.635,0.749886078
0.638,0.749855712
0.641,0.749373809
0.644,0.74912631
0.647,0.750251478
0.65,0.750669469
0.653,0.750232877
0.656,0.750784061
0.659,0.751995367
0.662,0.752595546
0.665,0.752128173
0.668,0.752070501
0.671,0.751789111
0.674,0.752463239
0.677,0.751898427
0.68,0.751361498
0.683,0.75138453
0.686,0.751219342
0.689,0.750724962
0.692,0.750270235
0.695,0.749807624
0.698,0.749389241
0.701,0.748620899
0.704,0.748405125
0.707,0.747228058
0.71,0.746236808
0.713,0.745132182
0.716,0.744424929
0.719,0.744205584
0.722,0.743360549
0.725,0.74195553
0.728,0.74076532
0.731,0.73985297
0.734,0.738977629
0.737,0.737233132
0.74,0.736236961
0.743,0.735068218
0.746,0.73381168
0.749,0.732834467
0.752,0.731047213
0.755,0.729571838
0.758,0.727677822
0.761,0.725854744
0.764,0.724035575
0.767,0.722686855
0.77,0.721268559
0.773,0.720166687
0.776,0.719296442
0.779,0.71698082
0.782,0.714827194
0.785,0.713205345
0.788,0.712232955
0.791,0.710905901
0.794,0.709843607
0.797,0.708023444
0.8,0.707120264
0.803,0.705034358
0.806,0.703620604
0.809,0.702370124
0.812,0.701227809
0.815,0.700178808
0.818,0.698860409
0.821,0.697873934
0.824,0.696639913
0.827,0.695475773
0.83,0.694416719
0.833,0.693481157
0.836,0.692183329
0.839,0.691268442
0.842,0.690668025
0.845,0.689841602
0.848,0.688436248
0.851,0.687355407
0.854,0.686755244
0.857,0.685730455
0.86,0.685661849
0.863,0.68500615
0.866,0.68370834
