Brown University Keck/NASA Relab Spectrum MS-CMP-044-A/CAMS44,,
W,R,Standard Deviation
1.53,0.74454,0.00618
1.535,0.74704,0.00599
1.54,0.7494,0.00628
1.545,0.75185,0.0056
1.55,0.75376,0.0052
1.555,0.75511,0.00617
1.56,0.75625,0.00603
1.565,0.75769,0.00498
1.57,0.76107,0.00494
1.575,0.76286,0.006
1.58,0.76383,0.00564
1.585,0.76528,0.00504
1.59,0.76693,0.00544
1.595,0.7677,0.00606
1.6,0.76854,0.00545
1.605,0.77017,0.00552
1.61,0.77186,0.00581
1.615,0.77263,0.00357
1.62,0.77412,0.00481
1.625,0.77523,0.00614
1.63,0.77399,0.00458
1.635,0.77552,0.00588
1.64,0.77672,0.00582
1.645,0.77647,0.00371
1.65,0.77725,0.00461
1.655,0.77846,0.0051
1.66,0.77914,0.00159
1.665,0.77767,0.00068
1.67,0.77837,0.00127
1.675,0.7798,0.00019
1.68,0.77834,0.00012
1.685,0.77947,0.00126
1.69,0.7796,0
1.695,0.78032,0.00007
1.7,0.78003,0.0035
1.705,0.77919,0.00359
1.71,0.77955,0.00333
1.715,0.77945,0.00371
1.72,0.77916,0.00354
1.725,0.77901,0.00372
1.73,0.77821,0.0045
1.735,0.77762,0.00409
1.74,0.77694,0.00392
1.745,0.77652,0.00382
1.75,0.77614,0.00404
1.755,0.77602,0.00693
1.76,0.77518,0.00736
1.765,0.77479,0.00745
1.77,0.77437,0.0075
1.775,0.77294,0.00741
1.78,0.77239,0.00723
1.785,0.77227,0.00778
1.79,0.77196,0.00762
1.795,0.77131,0.00694
1.8,0.77009,0.00594
1.805,0.76886,0.0063
1.81,0.76768,0.00612
1.815,0.76505,0.00489
1.82,0.76447,0.00524
1.825,0.76418,0.00594
1.83,0.76257,0.00538
1.835,0.76105,0.00462
1.84,0.75933,0.00342
1.845,0.75909,0.00443
1.85,0.75787,0.00486
1.855,0.7563,0.00563
1.86,0.75536,0.00536
1.865,0.75324,0.00532
1.87,0.74993,0.00293
1.875,0.74934,0.00306
1.88,0.74812,0.00669
1.885,0.74424,0.00574
1.89,0.73933,0.00565
1.895,0.73226,0.00465
1.9,0.72392,0.00378
1.905,0.71859,0.00335
1.91,0.71561,0.0028
1.915,0.71363,0.00335
