OC-LP-B3_3,
W,R
0.25,0.081706009
0.255,0.085352088
0.26,0.089219428
0.265,0.09326548
0.27,0.09686247
0.275,0.100658812
0.28,0.104763198
0.285,0.10849687
0.29,0.112602071
0.295,0.116714323
0.3,0.121535203
0.305,0.126869782
0.31,0.132515812
0.315,0.138490859
0.32,0.144921362
0.325,0.151859681
0.33,0.158428943
0.335,0.165061577
0.34,0.171974381
0.345,0.178382209
0.35,0.184938824
0.355,0.190786614
0.36,0.196484295
0.365,0.202269586
0.37,0.207413158
0.375,0.212123504
0.38,0.216790312
0.385,0.221540064
0.39,0.225835258
0.395,0.229828916
0.4,0.236766098
0.405,0.239357712
0.41,0.241949326
0.415,0.245572656
0.42,0.24909905
0.425,0.251635183
0.43,0.254076433
0.435,0.256941605
0.44,0.259577998
0.445,0.263595364
0.45,0.266326162
0.455,0.269233999
0.46,0.272015128
0.465,0.274439087
0.47,0.277158199
0.475,0.279574229
0.48,0.281841897
0.485,0.284224709
0.49,0.286385609
0.495,0.288599759
0.5,0.291105497
0.505,0.293684839
0.51,0.29631972
0.515,0.298558266
0.52,0.301047231
0.525,0.303410982
0.53,0.305552957
0.535,0.307772097
0.54,0.309594454
0.545,0.311679155
0.55,0.313521317
0.555,0.315260883
0.56,0.316539659
0.565,0.317819736
0.57,0.319068476
0.575,0.320182031
0.58,0.32116404
0.585,0.322039266
0.59,0.32310711
0.595,0.323812071
0.6,0.324599602
0.605,0.325376267
0.61,0.326532419
0.615,0.327168452
0.62,0.327952691
0.625,0.328710994
0.63,0.329666484
0.635,0.330428636
0.64,0.331179788
0.645,0.33188396
0.65,0.332502026
0.655,0.333176779
0.66,0.333796561
0.665,0.334311205
0.67,0.334740526
0.675,0.335248126
0.68,0.335606298
0.685,0.335982297
0.69,0.336302079
0.695,0.336707056
0.7,0.337061542
0.705,0.337357644
0.71,0.337439737
0.715,0.33759565
0.72,0.337623184
0.725,0.337507351
0.73,0.33724453
0.735,0.336560023
0.74,0.336708116
0.745,0.336169522
0.75,0.335549623
0.755,0.334805109
0.76,0.333960417
0.765,0.332923128
0.77,0.331812383
0.775,0.330470294
0.78,0.329055519
0.785,0.327603045
0.79,0.325858528
0.795,0.32410423
0.8,0.322171478
0.805,0.320199107
0.81,0.318054093
0.815,0.315905179
0.82,0.313771524
0.825,0.31144484
0.83,0.309146482
0.835,0.306914216
0.84,0.304673995
0.845,0.302452959
0.85,0.300259552
0.855,0.295674869
0.86,0.293881265
0.865,0.292236701
0.87,0.290774955
0.875,0.289523967
0.88,0.288177028
0.885,0.287040418
0.89,0.28595413
0.895,0.285431596
0.9,0.284788558
0.905,0.284976656
0.91,0.285110864
0.915,0.285031318
0.92,0.284935336
0.925,0.284931819
0.93,0.284911388
0.935,0.284865863
0.94,0.284968025
0.945,0.285243119
0.95,0.285511483
0.955,0.285908713
0.96,0.286325562
0.965,0.287195022
0.97,0.287559323
0.975,0.288057006
0.98,0.288529891
0.985,0.288874164
0.99,0.289292002
0.995,0.28952629
1,0.289898928
1.005,0.290269695
1.01,0.290487896
1.015,0.290729086
1.02,0.291035265
1.025,0.29130316
1.03,0.291429581
1.035,0.291461272
1.04,0.291711147
1.045,0.291983971
1.05,0.292218902
1.055,0.292608614
1.06,0.292714551
1.065,0.292859257
1.07,0.293753726
1.075,0.294173645
1.08,0.294716158
1.085,0.295216872
1.09,0.295719376
1.095,0.295584748
1.1,0.296438169
1.11,0.298876419
1.12,0.300050275
1.13,0.300232309
1.14,0.301124383
1.15,0.301824034
1.16,0.302956912
1.17,0.303482058
1.18,0.303959097
1.19,0.304165708
1.2,0.304308158
1.21,0.304475523
1.22,0.304821135
1.23,0.305062431
1.24,0.30526206
1.25,0.305514431
1.26,0.305812255
1.27,0.306041394
1.28,0.306252381
1.29,0.306528391
1.3,0.306997653
1.31,0.30742213
1.32,0.307988255
1.33,0.308376473
1.34,0.30877007
1.35,0.3089249
1.36,0.309290701
1.37,0.309763048
1.38,0.310349463
1.39,0.310803617
1.4,0.311224789
1.41,0.311490646
1.42,0.311821165
1.43,0.311993116
1.44,0.312195504
1.45,0.31207664
1.46,0.312025634
1.47,0.311901945
1.48,0.31175692
1.49,0.31129489
1.5,0.310798943
1.51,0.310322459
1.52,0.309585917
1.53,0.309044207
1.54,0.308356414
1.55,0.307865877
1.56,0.30694851
1.57,0.306037172
1.58,0.30507955
1.59,0.304100543
1.6,0.302991666
1.61,0.301903655
1.62,0.300814385
1.63,0.299629233
1.64,0.298468413
1.65,0.297178469
1.66,0.295972699
1.67,0.29490124
1.68,0.29353526
1.69,0.292107916
1.7,0.290448555
1.71,0.289089751
1.72,0.287797773
1.73,0.286484635
1.74,0.28509155
1.75,0.283717742
1.76,0.28229497
1.77,0.281066496
1.78,0.279868297
1.79,0.278702147
1.8,0.277408972
1.81,0.276030836
1.82,0.274706015
1.83,0.273402678
1.84,0.272258197
1.85,0.27119563
1.86,0.270316584
1.87,0.269561896
1.88,0.268522855
1.89,0.267714926
1.9,0.267075477
1.91,0.266966924
1.92,0.266746931
1.93,0.266522891
1.94,0.266316961
1.95,0.266236602
1.96,0.266238573
1.97,0.26631779
1.98,0.266508312
1.99,0.266684923
2,0.266795955
2.01,0.266876198
2.02,0.266857257
2.03,0.266923972
2.04,0.266922741
2.05,0.266983022
2.06,0.267057845
2.07,0.267166262
2.08,0.267393299
2.09,0.267577303
2.1,0.267768461
2.11,0.267703615
2.12,0.267339719
2.13,0.26670721
2.14,0.266036919
2.15,0.265596245
2.16,0.265353633
2.17,0.265583746
2.18,0.265278657
2.19,0.265175521
2.2,0.264939025
2.21,0.265160984
2.22,0.265458446
2.23,0.265536883
2.24,0.265960905
2.25,0.266177657
2.26,0.266584951
2.27,0.266776968
2.28,0.266966915
2.29,0.266889561
2.3,0.266716829
2.31,0.266551635
2.32,0.266483152
2.33,0.266475399
2.34,0.2665226
2.35,0.266576544
2.36,0.266542854
2.37,0.266405298
2.38,0.266242159
2.39,0.265870343
2.4,0.265745797
2.41,0.265625551
2.42,0.265753257
2.43,0.265679616
2.44,0.265639402
2.45,0.265700461
2.46,0.265735836
2.47,0.265871493
2.48,0.26612203
2.49,0.266683143
2.5,0.267487706
