TJ_OL_2,
W,R
0.510463876,0.156607109
0.513810957,0.157693298
0.51717957,0.158506085
0.520145793,0.159593201
0.523983617,0.16040506
0.525699098,0.161221557
0.530444299,0.162578366
0.536107986,0.164480125
0.540505617,0.165837861
0.54538403,0.166921267
0.550306917,0.168278076
0.554368617,0.169910142
0.561203042,0.171536643
0.566267807,0.172346647
0.570445936,0.173158506
0.576536267,0.174786862
0.582691153,0.176141816
0.587469957,0.176952747
0.592288905,0.178310483
0.597147382,0.17966822
0.601062842,0.180754409
0.606488311,0.182111218
0.611962753,0.183468026
0.617486609,0.184824835
0.623569288,0.186180716
0.632288575,0.187805362
0.637475677,0.189436501
0.644807426,0.190790527
0.652756808,0.192417028
0.658648361,0.193500434
0.664050643,0.194584768
0.670593627,0.196760856
0.677199448,0.198116737
0.686108175,0.199742311
0.692866268,0.200824789
0.701982224,0.202997168
0.708897814,0.204626451
0.715881533,0.206255735
0.723523435,0.207337286
0.731248677,0.209239044
0.738450805,0.210048121
0.746943291,0.211128744
0.75430121,0.212484625
0.760489877,0.214389167
0.768607966,0.215470718
0.776813337,0.216825671
0.784465497,0.218181553
0.790900376,0.219539289
0.798690661,0.220621768
0.806558328,0.221977649
0.813172472,0.222515178
0.819173669,0.223873842
0.826567242,0.224957248
0.835391365,0.226312202
0.842932668,0.227942413
0.851235466,0.229024892
0.858919107,0.2303817
0.865964721,0.231739437
0.875208734,0.232820988
0.883830868,0.234450271
0.891808014,0.235533678
0.897654104,0.236073062
0.903539969,0.237159251
0.913186559,0.238787607
0.92218135,0.239870086
0.932023966,0.240404832
0.942744138,0.242032261
0.95358608,0.243112884
0.962977254,0.243648558
0.972459352,0.243637427
0.98123485,0.244174029
0.990898317,0.244709703
1.001472753,0.244697644
1.011337154,0.245780123
1.021297897,0.246589199
1.031357573,0.247671678
1.039819351,0.249576219
1.050061461,0.250658698
1.060404456,0.251741177
1.065615807,0.252829221
1.07611547,0.255005309
1.084945336,0.257183253
1.092060137,0.258542844
1.101020834,0.260720788
1.108241054,0.262080379
1.117335418,0.264531725
1.127422812,0.266435339
1.133889925,0.267795858
1.144127694,0.269972874
1.152571335,0.271331538
1.163927782,0.273507626
1.173478176,0.27568557
1.185038716,0.277314853
1.192812781,0.279494652
1.200801411,0.281719863
1.211474703,0.282848991
1.220583096,0.284663171
1.229759147,0.286249516
1.239847548,0.287835088
