TJ_OL_1,
W,R
0.501789097,0.308630471
0.503847468,0.309995654
0.505913604,0.310905388
0.50833492,0.312042653
0.510767825,0.313179918
0.512861996,0.313861928
0.515667931,0.314999
0.517076824,0.315681397
0.518843441,0.316591325
0.520615745,0.31727353
0.523464103,0.318410601
0.524178887,0.318865662
0.527046739,0.320002733
0.529929926,0.320912081
0.532102305,0.321366368
0.534284306,0.322276102
0.536841045,0.323185643
0.53941002,0.324095184
0.542729915,0.32454889
0.546071342,0.325685768
0.548310258,0.326367779
0.550934856,0.327732768
0.554326426,0.328641922
0.556599562,0.329551656
0.559644417,0.330461004
0.561556468,0.331370932
0.563474674,0.332053136
0.56617072,0.332734953
0.568104307,0.333189434
0.570433942,0.334099168
0.572773131,0.335008903
0.574338045,0.3356913
0.577480324,0.336828372
0.579454867,0.338649195
0.583022007,0.339558349
0.586611107,0.340467503
0.590222301,0.341376657
0.593855727,0.342285811
0.597511519,0.343194965
0.599553749,0.344560341
0.60201235,0.345470075
0.605304821,0.345923975
0.608201419,0.346833516
0.613198948,0.348197538
0.616553427,0.349106885
0.619503853,0.350016426
0.624167832,0.350925193
0.627583999,0.352745436
0.631017594,0.353882508
0.633174344,0.355247883
0.637506138,0.35592912
0.641431074,0.357065998
0.645818921,0.357519511
0.650238965,0.359111643
0.654243609,0.360931693
0.658720429,0.362068377
0.662775975,0.363205255
0.666856043,0.364114409
0.67050405,0.365023757
0.674632144,0.366160634
0.67739862,0.367070369
0.681569162,0.368207247
0.684830252,0.368889064
0.688577511,0.370253859
0.693287874,0.370707372
0.696130385,0.371389383
0.700416252,0.372526261
0.705208074,0.373207498
0.709548879,0.373888928
0.713430914,0.375025999
0.717822815,0.375935153
0.721256884,0.376389247
0.725697448,0.377526125
0.731161404,0.378662616
0.735662454,0.37957177
0.739181868,0.380025863
0.743225531,0.38093521
0.747291315,0.381844558
0.749843465,0.382299038
0.754459523,0.383208192
0.76065884,0.384572214
0.764819992,0.385481561
0.77162814,0.385934494
0.779559922,0.386842487
0.784893722,0.387751448
0.791340992,0.388204574
0.796212509,0.389113728
0.803301719,0.390249832
0.809899109,0.39024751
0.815439945,0.390928747
0.821018689,0.391609983
0.825508376,0.391836159
