BRU_LE3CPX_0,
W,R
0.25,0.139618
0.251,0.140455
0.252,0.141478
0.253,0.141709
0.254,0.142494
0.255,0.143778
0.256,0.144546
0.257,0.144538
0.258,0.144754
0.259,0.146347
0.26,0.146659
0.261,0.147771
0.262,0.147715
0.263,0.147383
0.264,0.147644
0.265,0.148564
0.266,0.149127
0.267,0.149921
0.268,0.149905
0.269,0.150109
0.27,0.149256
0.271,0.149581
0.272,0.150513
0.273,0.150221
0.274,0.149166
0.275,0.149689
0.276,0.148879
0.277,0.148721
0.278,0.150006
0.279,0.149408
0.28,0.150499
0.281,0.150555
0.282,0.148769
0.283,0.148754
0.284,0.149355
0.285,0.149629
0.286,0.149942
0.287,0.151185
0.288,0.149008
0.289,0.151279
0.29,0.152224
0.291,0.152012
0.292,0.152395
0.293,0.153347
0.294,0.153446
0.295,0.155908
0.296,0.156537
0.297,0.159211
0.298,0.160273
0.299,0.162088
0.3,0.162984
0.301,0.16672
0.302,0.167862
0.303,0.171857
0.304,0.174317
0.305,0.175021
0.306,0.17845
0.307,0.18207
0.308,0.184141
0.309,0.188644
0.31,0.190921
0.311,0.197569
0.312,0.199548
0.313,0.203116
0.314,0.206646
0.315,0.209648
0.316,0.21438
0.317,0.220212
0.318,0.226326
0.319,0.23032
0.32,0.235242
0.321,0.238409
0.322,0.245432
0.323,0.249816
0.324,0.257806
0.325,0.2634
0.326,0.271176
0.327,0.277357
0.328,0.281912
0.329,0.28898
0.33,0.29583
0.331,0.30478
0.332,0.314054
0.333,0.31971
0.334,0.328274
0.335,0.33588
0.336,0.342852
0.337,0.352523
0.338,0.362301
0.339,0.370375
0.34,0.376377
0.341,0.38655
0.342,0.394226
0.343,0.403522
0.344,0.412292
0.345,0.419358
0.346,0.427733
0.347,0.437562
0.348,0.445802
0.349,0.453554
0.35,0.459447
0.351,0.467091
0.352,0.477195
0.353,0.486211
0.354,0.490002
0.355,0.500155
0.356,0.507245
0.357,0.512041
0.358,0.519096
0.359,0.527203
0.36,0.532847
0.361,0.538501
0.362,0.544294
0.363,0.549132
0.364,0.553081
0.365,0.559501
0.366,0.56338
0.367,0.566144
0.368,0.570127
0.369,0.574901
0.37,0.576043
0.371,0.581077
0.372,0.583343
0.373,0.58447
0.374,0.589055
0.375,0.591096
0.376,0.593095
0.377,0.596844
0.378,0.600115
0.379,0.599514
0.38,0.601128
0.381,0.60518
0.382,0.606986
0.383,0.607131
0.384,0.609891
0.385,0.61247
0.386,0.614507
0.387,0.615315
0.388,0.616702
0.389,0.618352
0.39,0.621625
0.391,0.624217
0.392,0.624068
0.393,0.624624
0.394,0.627073
0.395,0.62947
0.396,0.630437
0.397,0.631874
0.398,0.633326
0.399,0.633729
0.4,0.634676
0.401,0.635742
0.402,0.639064
0.403,0.641135
0.404,0.641285
0.405,0.643974
0.406,0.64596
0.407,0.6473
0.408,0.64896
0.409,0.650304
0.41,0.652189
0.411,0.6532
0.412,0.654242
0.413,0.655374
0.414,0.655255
0.415,0.655506
0.416,0.656766
0.417,0.657241
0.418,0.658411
0.419,0.660686
0.42,0.662556
0.421,0.663699
0.422,0.663938
0.423,0.663538
0.424,0.665022
0.425,0.66705
0.426,0.669673
0.427,0.669004
0.428,0.668886
0.429,0.669377
0.43,0.669017
0.431,0.670108
0.432,0.670555
0.433,0.670173
0.434,0.670715
0.435,0.671575
0.436,0.672228
0.437,0.67213
0.438,0.672072
0.439,0.673183
0.44,0.672846
0.441,0.673047
0.442,0.672905
0.443,0.672427
0.444,0.672483
0.445,0.672394
0.446,0.672792
0.447,0.672376
0.448,0.671185
0.449,0.671737
0.45,0.671289
0.451,0.672502
0.452,0.673519
0.453,0.674573
0.454,0.67609
0.455,0.677428
0.456,0.680336
0.457,0.68125
0.458,0.680662
0.459,0.681743
0.46,0.683106
0.461,0.685827
0.462,0.687355
0.463,0.686689
0.464,0.686516
0.465,0.689016
0.466,0.688009
0.467,0.689825
0.468,0.689723
0.469,0.69229
0.47,0.69279
0.471,0.693089
0.472,0.694077
0.473,0.694621
0.474,0.695461
0.475,0.694773
0.476,0.696039
0.477,0.697096
0.478,0.696876
0.479,0.696791
0.48,0.69976
0.481,0.699722
0.482,0.700123
0.483,0.700515
0.484,0.701285
0.485,0.700251
0.486,0.700433
0.487,0.700885
0.488,0.7024
0.489,0.702668
0.49,0.704034
0.491,0.703747
0.492,0.703835
0.493,0.70507
0.494,0.706397
0.495,0.707643
0.496,0.70732
0.497,0.705831
0.498,0.707631
0.499,0.708071
0.5,0.709406
0.501,0.709573
0.502,0.709526
0.503,0.710725
0.504,0.710355
0.505,0.710933
0.506,0.710659
0.507,0.712372
0.508,0.712843
0.509,0.71421
0.51,0.714362
0.511,0.713681
0.512,0.715093
0.513,0.714855
0.514,0.716175
0.515,0.715278
0.516,0.716965
0.517,0.716446
0.518,0.715884
0.519,0.716939
0.52,0.717222
0.521,0.717523
0.522,0.718691
0.523,0.719298
0.524,0.71979
0.525,0.719593
0.526,0.719554
0.527,0.718962
0.528,0.719859
0.529,0.71999
0.53,0.721013
0.531,0.720143
0.532,0.719427
0.533,0.718726
0.534,0.720966
0.535,0.720435
0.536,0.721135
0.537,0.720029
0.538,0.720534
0.539,0.720358
0.54,0.720788
0.541,0.721326
0.542,0.720527
