OC-LP-B1_1,
W,R
0.25,0.105796116
0.255,0.10945504
0.26,0.113139487
0.265,0.11645606
0.27,0.120326132
0.275,0.12376492
0.28,0.12681606
0.285,0.130472716
0.29,0.134294007
0.295,0.138553129
0.3,0.14325992
0.305,0.1482489
0.31,0.153828812
0.315,0.15993635
0.32,0.16632956
0.325,0.17309475
0.33,0.17979221
0.335,0.186055654
0.34,0.192731284
0.345,0.199584591
0.35,0.205554401
0.355,0.211666446
0.36,0.217347573
0.365,0.222829656
0.37,0.228203139
0.375,0.233045699
0.38,0.237438514
0.385,0.242292587
0.39,0.246467657
0.395,0.249493453
0.4,0.255833211
0.405,0.258831189
0.41,0.262587232
0.415,0.265534105
0.42,0.269295157
0.425,0.272053241
0.43,0.274965364
0.435,0.277398935
0.44,0.279949156
0.445,0.282920026
0.45,0.285937036
0.455,0.288624522
0.46,0.291553036
0.465,0.293975999
0.47,0.296023537
0.475,0.298376649
0.48,0.300359582
0.485,0.302298746
0.49,0.304605182
0.495,0.306766691
0.5,0.309093365
0.505,0.311504248
0.51,0.31386453
0.515,0.31639509
0.52,0.318669006
0.525,0.320958813
0.53,0.323130946
0.535,0.325391748
0.54,0.32712527
0.545,0.328978656
0.55,0.330705779
0.555,0.332298844
0.56,0.333676128
0.565,0.334854539
0.57,0.33589195
0.575,0.336827593
0.58,0.337734204
0.585,0.3384374
0.59,0.339126498
0.595,0.33987151
0.6,0.340321266
0.605,0.341209562
0.61,0.341932157
0.615,0.342573652
0.62,0.343176966
0.625,0.34391197
0.63,0.34453451
0.635,0.345312555
0.64,0.345938737
0.645,0.346422755
0.65,0.346944527
0.655,0.34736766
0.66,0.347810398
0.665,0.348304219
0.67,0.348754116
0.675,0.349230208
0.68,0.349444537
0.685,0.349583817
0.69,0.349825322
0.695,0.349852895
0.7,0.350199535
0.705,0.35045728
0.71,0.350617869
0.715,0.350631184
0.72,0.350585257
0.725,0.350358167
0.73,0.350181807
0.735,0.349632944
0.74,0.349156061
0.745,0.348551765
0.75,0.347838682
0.755,0.346915498
0.76,0.345843183
0.765,0.344640191
0.77,0.343158759
0.775,0.34180232
0.78,0.340317373
0.785,0.338574052
0.79,0.336724764
0.795,0.334785666
0.8,0.332669068
0.805,0.3305081
0.81,0.3282455
0.815,0.325939691
0.82,0.323529903
0.825,0.321159325
