Brown University Keck/NASA Relab Spectrum OC-TXH-011-D15/C1OC11D15,,
W,R,Standard Deviation
0.3,0.09603,0.10759
0.305,0.1041,0.06704
0.31,0.10758,0.04834
0.315,0.11255,0.03586
0.32,0.11451,0.02695
0.325,0.11649,0.02087
0.33,0.12018,0.01702
0.335,0.1256,0.01384
0.34,0.12885,0.01138
0.345,0.13368,0.00964
0.35,0.13857,0.00815
0.355,0.14367,0.00682
0.36,0.14798,0.00581
0.365,0.15276,0.00493
0.37,0.15691,0.00433
0.375,0.16145,0.0039
0.38,0.16491,0.00365
0.385,0.16852,0.00347
0.39,0.17184,0.0037
0.395,0.17567,0.00435
0.4,0.17889,0.00302
0.405,0.18154,0.00248
0.41,0.18484,0.00219
0.415,0.18729,0.00192
0.42,0.19023,0.00186
0.425,0.19204,0.00174
0.43,0.19488,0.00162
0.435,0.19737,0.00161
0.44,0.19956,0.00168
0.445,0.20136,0.00171
0.45,0.20323,0.00166
0.455,0.20476,0.00156
0.46,0.20704,0.00159
0.465,0.20862,0.00165
0.47,0.21095,0.00163
0.475,0.21287,0.00155
0.48,0.21528,0.00171
0.485,0.21667,0.00159
0.49,0.21875,0.00172
0.495,0.2204,0.00167
0.5,0.22277,0.00169
0.505,0.22387,0.00161
0.51,0.22661,0.00164
0.515,0.2285,0.00167
0.52,0.23044,0.0017
0.525,0.23215,0.00165
0.53,0.23376,0.00174
0.535,0.2353,0.00175
0.54,0.23717,0.00167
0.545,0.23852,0.00169
0.55,0.23997,0.00167
0.555,0.24125,0.00172
0.56,0.2427,0.0017
0.565,0.24368,0.00172
0.57,0.24521,0.00173
0.575,0.24597,0.00182
0.58,0.24723,0.00162
0.585,0.24823,0.00178
0.59,0.24928,0.00171
0.595,0.25009,0.00174
0.6,0.25108,0.00182
0.605,0.25194,0.00178
0.61,0.25285,0.00184
0.615,0.25367,0.00175
0.62,0.25486,0.00175
0.625,0.25522,0.0018
0.63,0.25642,0.00173
0.635,0.25672,0.0017
0.64,0.25793,0.00183
0.645,0.25865,0.00176
0.65,0.25975,0.00188
0.655,0.26009,0.00182
0.66,0.26124,0.0018
0.665,0.2618,0.00187
0.67,0.26236,0.00181
0.675,0.26332,0.00184
0.68,0.26396,0.0018
0.685,0.26458,0.00179
0.69,0.26486,0.00192
0.695,0.26503,0.0019
0.7,0.26559,0.00196
0.705,0.26612,0.00191
0.71,0.26685,0.00202
0.715,0.26685,0.00197
0.72,0.2672,0.00193
0.725,0.26764,0.00196
0.73,0.26804,0.00198
0.735,0.26767,0.00206
0.74,0.26809,0.00198
0.745,0.26766,0.00204
0.75,0.26773,0.00216
0.755,0.26715,0.0021
0.76,0.26689,0.0021
0.765,0.26626,0.00213
0.77,0.26566,0.0021
0.775,0.26475,0.00217
0.78,0.26388,0.00213
0.785,0.26301,0.00223
0.79,0.26168,0.00222
0.795,0.26029,0.00235
0.8,0.25958,0.00395
0.805,0.25797,0.00398
0.81,0.25609,0.00408
0.815,0.25486,0.00401
0.82,0.25332,0.00406
0.825,0.25054,0.00413
0.83,0.24897,0.0039
0.835,0.24708,0.00381
0.84,0.2454,0.00395
0.845,0.24368,0.0038
0.85,0.24226,0.00378
0.855,0.23999,0.00497
0.86,0.23842,0.00482
0.865,0.23672,0.00447
0.87,0.23505,0.00453
0.875,0.23334,0.00443
0.88,0.23246,0.00401
0.885,0.23089,0.00353
0.89,0.23051,0.00358
0.895,0.22844,0.00331
0.9,0.22755,0.00301
0.905,0.22765,0.00344
0.91,0.22661,0.00322
0.915,0.22641,0.00293
0.92,0.22613,0.00322
0.925,0.22595,0.00311
0.93,0.2256,0.00301
0.935,0.225,0.0029
0.94,0.22536,0.00274
0.945,0.2253,0.00272
0.95,0.22509,0.00272
0.955,0.22524,0.00264
0.96,0.22635,0.00283
0.965,0.22689,0.00282
0.97,0.22754,0.00296
0.975,0.22802,0.00269
0.98,0.22873,0.00259
0.985,0.22863,0.00266
0.99,0.23061,0.00258
0.995,0.23101,0.00272
1,0.23144,0.00252
1.005,0.23202,0.00252
1.01,0.23303,0.00258
1.015,0.23354,0.00261
1.02,0.23406,0.00243
1.025,0.23477,0.00256
1.03,0.23511,0.00273
1.035,0.23641,0.00257
1.04,0.23661,0.00274
1.045,0.23694,0.00251
1.05,0.23788,0.00271
1.055,0.23912,0.00268
1.06,0.23957,0.00265
1.065,0.24008,0.00251
1.07,0.24085,0.0026
1.075,0.24261,0.00266
1.08,0.24277,0.00276
1.085,0.24335,0.00265
1.09,0.24422,0.00272
1.095,0.24557,0.00246
1.1,0.24687,0.00252
1.105,0.24805,0.00253
1.11,0.24904,0.00246
1.115,0.25063,0.00259
1.12,0.25151,0.00265
1.125,0.25263,0.0027
1.13,0.25404,0.00269
1.135,0.25483,0.00258
1.14,0.25598,0.00262
1.145,0.25675,0.00269
1.15,0.25688,0.00287
1.155,0.25813,0.00263
1.16,0.25919,0.00263
1.165,0.25948,0.00283
1.17,0.26086,0.00266
1.175,0.26104,0.00269
1.18,0.26183,0.00291
1.185,0.26258,0.00263
1.19,0.26302,0.00285
1.195,0.26367,0.00258
1.2,0.26407,0.0029
1.205,0.26482,0.00292
1.21,0.26509,0.00287
1.215,0.26666,0.00302
1.22,0.26722,0.00282
1.225,0.26723,0.00282
1.23,0.26757,0.00277
1.235,0.26731,0.00276
1.24,0.26805,0.00273
1.245,0.26831,0.00265
1.25,0.26908,0.00273
1.255,0.26919,0.00255
1.26,0.27008,0.00255
1.265,0.27052,0.00257
1.27,0.27075,0.00247
1.275,0.2715,0.00255
1.28,0.27171,0.00264
1.285,0.2724,0.00262
1.29,0.27291,0.00251
1.295,0.27369,0.00267
1.3,0.27438,0.00257
1.305,0.27506,0.00261
1.31,0.27559,0.00261
1.315,0.27672,0.00255
1.32,0.27724,0.00245
1.325,0.27806,0.00263
1.33,0.27883,0.00267
1.335,0.27963,0.00265
1.34,0.28017,0.0026
1.345,0.28052,0.00287
1.35,0.28176,0.00273
1.355,0.28206,0.00282
