KC-OPX-hevn_1,
W,R
0.54088,0.30316
0.54133,0.30342
0.54179,0.30346
0.54224,0.30354
0.54269,0.30343
0.54314,0.30282
0.54359,0.30249
0.54404,0.30224
0.54449,0.30236
0.54494,0.30173
0.54539,0.30193
0.54584,0.30222
0.54629,0.30223
0.54675,0.30277
0.5472,0.30306
0.54765,0.30339
0.5481,0.30371
0.54855,0.30401
0.549,0.30415
0.54945,0.30421
0.5499,0.30425
0.55035,0.30386
0.5508,0.30395
0.55125,0.30383
0.5517,0.30422
0.55215,0.30412
0.5526,0.30456
0.55305,0.30461
0.5535,0.30487
0.55395,0.30472
0.5544,0.30481
0.55485,0.30515
0.5553,0.30541
0.55575,0.30587
0.5562,0.30597
0.55665,0.30582
0.5571,0.30615
0.55755,0.30621
0.558,0.30649
0.55845,0.30642
0.5589,0.30653
0.55935,0.30676
0.5598,0.30669
0.56025,0.30713
0.5607,0.30699
0.56115,0.30708
0.5616,0.30734
0.56205,0.30772
0.5625,0.30769
0.56295,0.30754
0.5634,0.30766
0.56385,0.30779
0.5643,0.30791
0.56475,0.30778
0.5652,0.30766
0.56565,0.30792
0.5661,0.30781
0.56655,0.30786
0.567,0.3076
0.56745,0.30797
0.56789,0.30774
0.56834,0.30812
0.56879,0.30828
0.56924,0.30836
0.56969,0.30858
0.57014,0.30888
0.57059,0.30905
0.57104,0.30929
0.57149,0.30917
0.57194,0.30946
0.57239,0.30945
0.57284,0.30911
0.57328,0.30903
0.57373,0.30902
0.57418,0.30914
0.57463,0.30942
0.57508,0.30954
0.57553,0.30964
0.57598,0.30971
0.57643,0.30983
0.57688,0.31032
0.57732,0.31022
0.57777,0.31042
0.57822,0.31079
0.57867,0.31112
0.57912,0.31107
0.57957,0.3109
0.58002,0.31099
0.58046,0.31111
0.58091,0.31109
0.58136,0.31123
0.58181,0.31125
0.58226,0.31142
0.58271,0.3112
0.58316,0.31132
0.5836,0.31141
0.58405,0.31144
0.5845,0.31141
0.58495,0.31189
0.5854,0.31206
0.58584,0.31164
0.58629,0.31211
0.58674,0.3119
0.58719,0.31192
0.58764,0.31223
0.58809,0.31241
0.58853,0.31279
0.58898,0.31337
0.58943,0.31344
0.58988,0.31364
0.59032,0.31391
0.59077,0.31432
0.59122,0.31431
0.59167,0.31428
0.59212,0.31409
0.59256,0.31382
0.59301,0.31364
0.59346,0.31373
0.59391,0.3136
0.59435,0.31354
0.5948,0.31357
0.59525,0.31364
0.5957,0.31345
0.59615,0.31356
0.59659,0.3138
0.59704,0.31388
0.59749,0.31388
0.59793,0.31408
0.59838,0.31411
0.59883,0.31423
0.59928,0.31409
0.59972,0.31404
0.60017,0.31404
0.60062,0.31401
0.60107,0.31438
0.60151,0.31433
0.60196,0.3149
0.60241,0.31473
0.60285,0.31485
0.6033,0.31506
