KC-OL-Im_9,
W,R
0.50012,0.35743
0.50031,0.34652
0.5005,0.33659
0.5007,0.34238
0.50089,0.35546
0.50108,0.35307
0.50128,0.34873
0.50147,0.35606
0.50166,0.35629
0.50186,0.35778
0.50205,0.37126
0.50225,0.38261
0.50244,0.3847
0.50264,0.37239
0.50283,0.36099
0.50303,0.36728
0.50322,0.37573
0.50342,0.37534
0.50361,0.37437
0.50381,0.37451
0.50401,0.36523
0.5042,0.35564
0.5044,0.35895
0.50459,0.36595
0.50479,0.37309
0.50499,0.3687
0.50518,0.3519
0.50538,0.35356
0.50558,0.36679
0.50577,0.36219
0.50597,0.3552
0.50617,0.35848
0.50637,0.36053
0.50657,0.35961
0.50676,0.3577
0.50696,0.36093
0.50716,0.36961
0.50736,0.37036
0.50756,0.36236
0.50776,0.3569
0.50795,0.35971
0.50815,0.362
0.50835,0.35537
0.50855,0.34637
0.50875,0.34287
0.50895,0.35127
0.50915,0.36221
0.50935,0.35965
0.50955,0.35514
0.50975,0.35814
0.50995,0.35849
0.51015,0.3554
0.51035,0.35795
0.51056,0.36392
0.51076,0.36404
0.51096,0.36333
0.51116,0.36931
0.51136,0.36933
0.51156,0.36158
0.51177,0.36386
0.51197,0.36777
0.51217,0.36763
0.51237,0.37456
0.51257,0.37239
0.51278,0.35999
0.51298,0.35943
0.51318,0.36525
0.51339,0.36674
0.51359,0.36366
0.51379,0.36175
0.514,0.36197
0.5142,0.36138
0.51441,0.368
0.51461,0.37265
0.51481,0.3687
0.51502,0.37031
0.51522,0.37573
0.51543,0.37978
0.51563,0.38082
0.51584,0.37581
0.51604,0.37231
0.51625,0.37324
0.51645,0.37339
0.51666,0.37384
0.51687,0.37477
0.51707,0.37555
0.51728,0.37664
0.51749,0.37504
0.51769,0.37736
0.5179,0.38478
0.51811,0.38453
0.51831,0.37625
0.51852,0.36899
0.51873,0.36393
0.51894,0.36233
0.51914,0.36818
0.51935,0.37988
0.51956,0.38796
0.51977,0.38415
0.51998,0.37861
0.52018,0.38165
0.52039,0.38865
0.5206,0.39496
0.52081,0.38906
0.52102,0.37408
0.52123,0.37077
0.52144,0.37507
0.52165,0.37775
0.52186,0.37921
0.52207,0.37889
0.52228,0.37827
0.52249,0.38198
0.5227,0.388
0.52291,0.38643
0.52312,0.38393
0.52333,0.38802
0.52355,0.38794
0.52376,0.37909
0.52397,0.37311
0.52418,0.37938
0.52439,0.38787
0.52461,0.39081
0.52482,0.39231
0.52503,0.38695
0.52524,0.38016
0.52546,0.38461
0.52567,0.38941
0.52588,0.38805
0.5261,0.38993
0.52631,0.39567
0.52652,0.39815
0.52674,0.39367
0.52695,0.38483
0.52717,0.38216
0.52738,0.38811
0.5276,0.38979
0.52781,0.3872
0.52802,0.38718
0.52824,0.38858
0.52846,0.39146
0.52867,0.3884
0.52889,0.38164
0.5291,0.38078
0.52932,0.38209
0.52953,0.38371
0.52975,0.3871
0.52997,0.39002
0.53018,0.38745
0.5304,0.38317
0.53062,0.3833
0.53084,0.38481
0.53105,0.38559
0.53127,0.38526
0.53149,0.38543
0.53171,0.38716
0.53192,0.38952
0.53214,0.39255
0.53236,0.39161
0.53258,0.389
0.5328,0.39075
0.53302,0.39185
0.53324,0.38797
0.53346,0.38438
0.53368,0.38561
0.5339,0.38966
0.53412,0.3952
0.53434,0.39697
0.53456,0.39221
0.53478,0.39254
0.535,0.39706
0.53522,0.3947
0.53544,0.39058
0.53566,0.38952
0.53588,0.39003
0.5361,0.39245
0.53633,0.39468
0.53655,0.39548
0.53677,0.39438
0.53699,0.3929
0.53722,0.39382
0.53744,0.39608
0.53766,0.39718
0.53788,0.39777
0.53811,0.39779
0.53833,0.39427
0.53855,0.3936
0.53878,0.40045
0.539,0.40616
0.53923,0.4079
0.53945,0.40729
0.53968,0.40387
0.5399,0.40052
0.54013,0.39855
0.54035,0.39853
0.54058,0.40091
0.5408,0.40327
0.54103,0.40258
0.54125,0.3974
0.54148,0.39355
0.54171,0.39642
0.54193,0.3985
0.54216,0.39762
0.54239,0.40007
0.54261,0.40436
0.54284,0.40455
0.54307,0.40094
0.54329,0.40238
0.54352,0.4064
0.54375,0.40432
0.54398,0.40322
0.54421,0.40697
0.54444,0.40918
0.54466,0.40985
0.54489,0.4135
0.54512,0.41362
0.54535,0.40682
0.54558,0.40408
0.54581,0.40576
0.54604,0.40773
0.54627,0.411
0.5465,0.41065
0.54673,0.40643
0.54696,0.40656
0.54719,0.4076
0.54742,0.40214
0.54766,0.40202
0.54789,0.40824
0.54812,0.40814
0.54835,0.40547
0.54858,0.4067
0.54881,0.40858
0.54905,0.40756
0.54928,0.41043
0.54951,0.41492
0.54975,0.41366
0.54998,0.4144
0.55021,0.41502
0.55045,0.4125
0.55068,0.41086
0.55091,0.41254
0.55115,0.41821
0.55138,0.41793
0.55162,0.41512
0.55185,0.41631
0.55209,0.41688
0.55232,0.41898
0.55256,0.42264
0.55279,0.42357
0.55303,0.41886
0.55327,0.41425
0.5535,0.41402
0.55374,0.4135
0.55397,0.4126
0.55421,0.4123
0.55445,0.41308
0.55469,0.41374
0.55492,0.41587
0.55516,0.41975
0.5554,0.42067
0.55564,0.41924
0.55588,0.41534
0.55611,0.41336
0.55635,0.41637
0.55659,0.42009
0.55683,0.42052
0.55707,0.41862
0.55731,0.42026
0.55755,0.41897
0.55779,0.41438
0.55803,0.41675
0.55827,0.41904
0.55851,0.41767
0.55875,0.42035
0.55899,0.42231
0.55923,0.42132
0.55947,0.42144
0.55972,0.41869
0.55996,0.41821
0.5602,0.42217
0.56044,0.42203
0.56068,0.41895
0.56093,0.41921
0.56117,0.42455
0.56141,0.42605
0.56166,0.423
0.5619,0.4211
0.56214,0.41907
0.56239,0.42146
0.56263,0.42553
0.56287,0.42757
0.56312,0.42815
0.56336,0.42538
0.56361,0.42441
0.56385,0.42655
0.5641,0.42687
0.56435,0.4238
0.56459,0.42138
0.56484,0.42334
0.56508,0.42455
0.56533,0.42261
0.56558,0.42304
0.56582,0.42283
0.56607,0.41987
0.56632,0.41946
0.56657,0.42292
0.56681,0.4282
0.56706,0.42801
0.56731,0.42336
0.56756,0.42333
0.56781,0.42552
0.56805,0.42633
0.5683,0.42884
0.56855,0.43033
0.5688,0.42748
0.56905,0.42607
0.5693,0.42735
0.56955,0.42939
0.5698,0.42944
