TJ_OPX_0,
W,R
0.508716136,0.562377423
0.510129036,0.564571424
0.511128305,0.56600711
0.511942327,0.568520075
0.512697679,0.569418745
0.513760513,0.571152743
0.516320746,0.572809412
0.516325094,0.576481617
0.516329443,0.580153822
0.516499648,0.574882412
0.516504584,0.579049695
0.518339495,0.582121024
0.518800414,0.583875844
0.52110278,0.585631363
0.523814039,0.589131149
0.524043271,0.586766718
0.524394521,0.591842651
0.527140361,0.593090877
0.531829229,0.596382585
0.531872908,0.593844759
0.533851009,0.597640103
0.534387749,0.599247015
0.536799223,0.599748076
0.538674939,0.600467097
0.542109042,0.600790738
0.543251472,0.602747369
0.545909345,0.604299439
0.550052264,0.604735986
0.551137458,0.605137692
0.551489918,0.606917623
0.555173111,0.608092795
0.557544109,0.609308045
0.560292429,0.610368627
0.563332152,0.611527761
0.566600228,0.612463083
0.567573567,0.613576328
0.570357135,0.614162176
0.57187541,0.615917345
0.575939201,0.617015397
0.577783643,0.617996923
0.580546188,0.618771615
0.581057011,0.617241924
0.582777161,0.619369439
0.584812299,0.619852168
0.586371296,0.621046095
0.587786133,0.62162536
0.590609987,0.622263824
0.592530678,0.622723601
0.596168922,0.623382802
0.599229964,0.624306799
0.603068345,0.625139719
0.60616055,0.626078977
0.608451484,0.626492736
0.611669699,0.627335822
0.613297639,0.628871661
0.617256838,0.629372133
0.622043951,0.630409772
0.626059072,0.631051903
0.629242824,0.632166689
0.633153489,0.633045235
0.634987827,0.633417151
0.638218459,0.635020784
0.640639442,0.635533303
0.642984276,0.635500538
0.645033537,0.636777527
0.647236097,0.638480405
0.651345804,0.639192087
0.655817459,0.639911086
0.65830106,0.640948829
0.660637716,0.642704173
0.6630688,0.643906779
0.665334937,0.64555687
0.668811712,0.646203706
0.6717791,0.646607407
0.674177805,0.647728414
0.675838247,0.648642777
0.677503014,0.649709453
0.680689814,0.650567829
0.683779333,0.651691342
0.686728131,0.65260607
0.68884213,0.653215928
0.690398905,0.653691999
0.693090395,0.654892585
0.696078618,0.655350373
0.697792999,0.656264736
0.700246286,0.656693763
0.702527756,0.657789201
0.704690883,0.658703685
0.705992054,0.659313301
0.709066432,0.659940015
0.711219316,0.660837887
0.713847692,0.661752493
0.715605837,0.662666857
0.717997539,0.663104663
0.720461208,0.664039008
0.722679554,0.664953493
0.725796109,0.66586822
0.728237907,0.665710644
0.731618129,0.666631363
0.734320609,0.666784404
0.738621107,0.666415239
0.741575693,0.666938659
0.74522994,0.66693963
0.749304913,0.666193663
0.752128157,0.665722946
0.753515339,0.665418685
0.75536828,0.664657605
0.757151166,0.663651409
0.759087841,0.663135447
0.761890459,0.662526923
0.764233965,0.662070591
0.766352758,0.660710203
0.767996646,0.660243806
0.76941202,0.659330292
0.771330002,0.657807168
0.772249248,0.6567417
0.774148257,0.655980621
0.775478155,0.654592202
0.777481339,0.653849089
0.778435466,0.652783141
0.780349686,0.652022062
0.782210548,0.650595287
0.782746417,0.649585661
0.784187878,0.648062896
0.784668223,0.647149139
0.786185078,0.645874884
0.787078493,0.644865051
0.787560334,0.643798982
0.788527656,0.643189973
0.789177942,0.64162637
0.790949228,0.640601259
0.792406901,0.639687746
0.793525732,0.638039188
0.794351871,0.636946598
0.79483872,0.636185154
0.796660789,0.634808428
0.796790494,0.633900945
0.798258654,0.632835119
0.798747619,0.631921362
0.799237441,0.631312232
0.800003069,0.630127195
0.800708432,0.629332527
0.801689943,0.627657328
0.801691623,0.628571205
0.803167411,0.626743814
0.803558,0.625583719
0.804151655,0.624916301
0.805138512,0.623850353
0.806126297,0.622632092
0.806127424,0.623241344
0.807385715,0.621433756
0.808106353,0.620652509
0.809095519,0.618215744
0.809596212,0.620043621
0.809934819,0.619158486
0.810088726,0.617302109
0.810647607,0.615961221
0.811081452,0.615474596
0.812072557,0.612123954
0.812077096,0.614560961
0.812404703,0.613474039
0.813311653,0.611126801
0.814566436,0.60953524
0.814568143,0.610449118
0.815065389,0.608621484
0.815718164,0.607516384
0.816562088,0.604814024
0.816563514,0.605575589
0.816565511,0.60664178
0.817322941,0.603232535
0.818567491,0.602682128
0.820075204,0.601311675
0.821080455,0.599636475
0.821081315,0.600093414
0.822442024,0.598378299
0.823091779,0.594762946
0.823093792,0.595829137
0.823095229,0.596590702
0.823096955,0.597504579
0.824602,0.593686557
0.825113218,0.59263105
0.826126087,0.591717415
0.827140778,0.591108406
0.827644543,0.58867152
0.827858648,0.589831522
0.82866023,0.587605572
0.829167816,0.586691815
0.830307736,0.585976291
0.831712451,0.583189224
0.831716228,0.585169293
0.832225396,0.584103223
0.832763485,0.581815044
0.833243212,0.58120952
0.834264604,0.57953432
0.834265769,0.580143572
0.835227317,0.578082221
0.835286372,0.577402181
0.835794222,0.574508356
0.835795682,0.575269921
0.836311437,0.576336233
0.83722478,0.573807198
0.83836095,0.571919643
0.838363,0.572985833
0.840114325,0.571032303
0.840420476,0.570092372
