YY_OL_6,
W,R
0.5,0.229140134
0.503,0.226592223
0.506,0.226860391
0.509,0.227071943
0.512,0.22681109
0.515,0.228149039
0.518,0.229707701
0.521,0.231467546
0.524,0.232934456
0.527,0.23293133
0.53,0.232638551
0.533,0.234066261
0.536,0.23454664
0.539,0.233766335
0.542,0.233665278
0.545,0.233995485
0.548,0.235433401
0.551,0.236140882
0.554,0.236260566
0.557,0.237436013
0.56,0.236764859
0.563,0.237953842
0.566,0.238470461
0.569,0.23933197
0.572,0.239769895
0.575,0.240359065
0.578,0.239947053
0.581,0.240019392
0.584,0.24005636
0.587,0.239772282
0.59,0.24022809
0.593,0.241307078
0.596,0.241980647
0.599,0.242065644
0.602,0.24293613
0.605,0.243290934
0.608,0.244109659
0.611,0.244620952
0.614,0.244790935
0.617,0.245391456
0.62,0.245872895
0.623,0.246481802
0.626,0.246926755
0.629,0.246635111
0.632,0.246170502
0.635,0.247410967
0.638,0.248021075
0.641,0.248169746
0.644,0.248652731
0.647,0.24877344
0.65,0.249851071
0.653,0.249901961
0.656,0.249922472
0.659,0.249844907
0.662,0.250429138
0.665,0.251051952
0.668,0.250713582
0.671,0.251661504
0.674,0.251738068
0.677,0.252404289
0.68,0.252933213
0.683,0.252885436
0.686,0.253271014
0.689,0.253755475
0.692,0.253643817
0.695,0.254507883
0.698,0.254946373
0.701,0.255253287
0.704,0.2550981
0.707,0.255950435
0.71,0.255166155
0.713,0.255731879
0.716,0.256435385
0.719,0.256795228
0.722,0.255962363
0.725,0.256753822
0.728,0.257068509
0.731,0.257481809
0.734,0.257805924
0.737,0.258234941
0.74,0.25820641
0.743,0.258225217
0.746,0.258191628
0.749,0.258604501
0.752,0.259005828
0.755,0.258903545
0.758,0.259452501
0.761,0.26011116
0.764,0.259706092
0.767,0.259684577
0.77,0.260140115
0.773,0.260520178
0.776,0.260480338
0.779,0.260477669
0.782,0.260499405
0.785,0.260399291
0.788,0.261146856
0.791,0.261231394
0.794,0.261196866
0.797,0.261605869
0.8,0.262058837
0.803,0.261960546
0.806,0.262800112
0.809,0.262725295
0.812,0.262752002
0.815,0.262744563
0.818,0.262745904
0.821,0.262800983
0.824,0.263350955
0.827,0.263441422
0.83,0.26419194
0.833,0.264245964
0.836,0.26426105
0.839,0.264267083
0.842,0.264218522
0.845,0.264629717
0.848,0.264685002
0.851,0.265055526
0.854,0.265005221
0.857,0.265009264
0.86,0.265004147
0.863,0.265197153
0.866,0.265837749
0.869,0.265779261
0.872,0.265732723
0.875,0.266522479
0.878,0.266210571
0.881,0.266570055
0.884,0.266517356
0.887,0.266522972
0.89,0.266503183
0.893,0.266697662
0.896,0.266887546
0.899,0.267242089
0.902,0.267272313
0.905,0.267281077
0.908,0.267277233
0.911,0.267278223
0.914,0.267277932
0.917,0.267275916
0.92,0.267295356
0.923,0.267196588
0.926,0.267935154
0.929,0.268026961
0.932,0.268038674
0.935,0.268031633
0.938,0.268033866
0.941,0.268032577
0.944,0.268027516
0.947,0.268091324
0.95,0.267589964
0.953,0.26724468
0.956,0.26727774
0.959,0.267279098
0.962,0.267279435
0.965,0.267270173
0.968,0.267295235
0.971,0.266855546
0.974,0.266494065
0.977,0.26652848
0.98,0.266527029
0.983,0.266518333
0.986,0.266413269
0.989,0.2656864
0.992,0.265783769
0.995,0.265767257
0.998,0.265769931
1.001,0.265701698
1.004,0.265170306
1.007,0.264994385
1.01,0.265013658
1.013,0.265013477
1.016,0.265004567
1.019,0.265052599
1.022,0.26470248
1.025,0.264634962
1.028,0.264632227
1.031,0.264636227
1.034,0.264631745
1.037,0.264641313
1.04,0.264659002
1.043,0.26505218
1.046,0.265000481
1.049,0.265021198
1.052,0.265005394
1.055,0.265473367
1.058,0.265792947
1.061,0.265782767
1.064,0.265709395
1.067,0.266543495
1.07,0.266459509
1.073,0.266892466
1.076,0.26729977
1.079,0.267607156
1.082,0.268029161
1.085,0.268283781
1.088,0.268773649
1.091,0.269412574
1.094,0.269542746
1.097,0.270381967
1.1,0.270201755
1.103,0.270835362
