OC-LP-B1-3,
1.33,0.311156004
1.34,0.311233521
1.35,0.311420432
1.36,0.311765804
1.37,0.312452692
1.38,0.313141662
1.39,0.313668493
1.4,0.314207136
1.41,0.31464791
1.42,0.315099491
1.43,0.315286162
1.44,0.315507394
1.45,0.315415442
1.46,0.315452099
1.47,0.315305305
1.48,0.315128282
1.49,0.314771146
1.5,0.3143621
1.51,0.313890552
1.52,0.313020505
1.53,0.312366276
1.54,0.31161987
1.55,0.31106534
1.56,0.310097376
1.57,0.309121723
1.58,0.308104357
1.59,0.306928468
1.6,0.305647835
1.61,0.304364317
1.62,0.303226861
1.63,0.301957181
1.64,0.300707805
1.65,0.299330706
1.66,0.298061383
1.67,0.296706096
1.68,0.295339982
1.69,0.293922226
1.7,0.292516334
1.71,0.291100453
1.72,0.289728554
1.73,0.288258732
1.74,0.286816996
1.75,0.285377397
1.76,0.283980254
1.77,0.282678566
1.78,0.281410793
1.79,0.280142674
1.8,0.278762306
1.81,0.277408451
1.82,0.27608303
1.83,0.274751124
1.84,0.273523603
1.85,0.272459399
1.86,0.27166752
1.87,0.270898933
1.88,0.269864754
1.89,0.26921943
1.9,0.268648507
1.91,0.26859835
1.92,0.268272302
1.93,0.268071912
1.94,0.267890888
1.95,0.267829928
1.96,0.267890346
1.97,0.267985595
1.98,0.268150284
1.99,0.268341184
2,0.268452946
2.01,0.268565327
2.02,0.268574999
2.03,0.268686547
2.04,0.26865822
2.05,0.268755843
2.06,0.268873646
2.07,0.269163615
2.08,0.269451203
2.09,0.269696493
2.1,0.269877146
2.11,0.269858443
2.12,0.269559299
2.13,0.2691507
2.14,0.268578791
2.15,0.268183549
2.16,0.267820232
2.17,0.268039091
2.18,0.268082365
2.19,0.268008145
2.2,0.267801168
2.21,0.26795218
2.22,0.268254871
2.23,0.268353495
2.24,0.268569342
2.25,0.268867491
2.26,0.269285834
2.27,0.269494929
2.28,0.269647639
2.29,0.269628114
2.3,0.269479958
2.31,0.269363589
2.32,0.269260011
2.33,0.269236706
2.34,0.269290579
2.35,0.269392799
2.36,0.269260109
2.37,0.26913132
2.38,0.268915377
2.39,0.268729887
2.4,0.268629779
2.41,0.268655659
2.42,0.26889644
2.43,0.268901524
2.44,0.268831085
2.45,0.268868748
2.46,0.268866822
2.47,0.269024057
2.48,0.269158277
2.49,0.269733291
2.5,0.270612696
