OC-LP-B1-3,
W,R
0.25,0.099199906
0.255,0.10285883
0.26,0.106543277
0.265,0.10985985
0.27,0.113729922
0.275,0.11716871
0.28,0.12021985
0.285,0.123876506
0.29,0.127697797
0.295,0.131956919
0.3,0.13666371
0.305,0.14165269
0.31,0.147232602
0.315,0.15334014
0.32,0.15973335
0.325,0.16649854
0.33,0.173196
0.335,0.179459444
0.34,0.186135074
0.345,0.192988381
0.35,0.198958191
0.355,0.205070236
0.36,0.210751363
0.365,0.216233446
0.37,0.221606929
0.375,0.226449489
0.38,0.230842304
0.385,0.235696377
0.39,0.239871447
0.395,0.242897243
0.4,0.250182918
0.405,0.252859606
0.41,0.255536293
0.415,0.258639684
0.42,0.26188134
0.425,0.265175712
0.43,0.268127116
0.435,0.271646348
0.44,0.274451733
0.445,0.277508952
0.45,0.28008511
0.455,0.282757145
0.46,0.285163861
0.465,0.287700502
0.47,0.290292093
0.475,0.292496376
0.48,0.294639103
0.485,0.296813846
0.49,0.298979212
0.495,0.301331654
0.5,0.303712691
0.505,0.306135136
0.51,0.308567068
0.515,0.310985561
0.52,0.313410567
0.525,0.315659132
0.53,0.317817274
0.535,0.319975277
0.54,0.321813762
0.545,0.324451736
0.55,0.325538644
0.555,0.32770531
0.56,0.32828722
0.565,0.329518786
0.57,0.330522461
0.575,0.331363892
0.58,0.332218633
0.585,0.333052002
0.59,0.333821256
0.595,0.334568996
0.6,0.334934393
0.605,0.335529334
0.61,0.336311507
0.615,0.337034168
0.62,0.337684747
0.625,0.338428814
0.63,0.339218971
0.635,0.339926703
0.64,0.34064004
0.645,0.341112212
0.65,0.341604179
0.655,0.341996913
0.66,0.342352175
0.665,0.342966223
0.67,0.34333581
0.675,0.34305384
0.68,0.343860276
0.685,0.344316592
0.69,0.344390957
0.695,0.344673679
0.7,0.344947509
0.705,0.345109481
0.71,0.3450907
0.715,0.345199315
0.72,0.345106984
0.725,0.344872619
0.73,0.344479708
0.735,0.343676047
0.74,0.343638267
0.745,0.342978114
0.75,0.342011871
0.755,0.341147523
0.76,0.340087833
0.765,0.33890869
0.77,0.337723692
0.775,0.336122078
0.78,0.334546772
0.785,0.332804458
0.79,0.33093213
0.795,0.328841165
0.8,0.326813889
0.805,0.324677597
0.81,0.322356043
0.815,0.320012809
0.82,0.317574487
0.825,0.315021365
0.83,0.312455868
0.835,0.31017464
0.84,0.307732024
0.845,0.305305869
0.85,0.302965492
0.855,0.299430228
0.86,0.29740995
0.865,0.295895165
0.87,0.29427448
0.875,0.29286752
0.88,0.291322987
0.885,0.290132657
0.89,0.289122842
0.895,0.288496189
0.9,0.287954321
0.905,0.287792655
0.91,0.28794556
0.915,0.287977554
0.92,0.28777707
0.925,0.287606117
0.93,0.287677842
0.935,0.287698544
0.94,0.287751101
0.945,0.288008088
0.95,0.288194631
0.955,0.288558179
0.96,0.288989264
0.965,0.289861162
0.97,0.290289797
0.975,0.290694294
0.98,0.291206994
0.985,0.291643812
0.99,0.291962086
0.995,0.292259131
1,0.292600626
1.005,0.292994214
1.01,0.293376104
1.015,0.293551916
1.02,0.293782775
1.025,0.294160441
1.03,0.294220951
1.035,0.294372444
1.04,0.29460315
1.045,0.294543864
1.05,0.294715471
1.055,0.295162601
1.06,0.295464161
1.065,0.295444603
1.07,0.295973859
1.075,0.296506069
1.08,0.297234357
1.085,0.298309589
1.09,0.298949979
1.095,0.298909873
1.1,0.299201236
1.11,0.301616937
1.12,0.302893431
1.13,0.303692583
1.14,0.304688537
1.15,0.30544017
1.16,0.306127563
1.17,0.306771382
1.18,0.307251579
1.19,0.307484511
1.2,0.307561691
1.21,0.307745914
1.22,0.307989578
1.23,0.308153816
1.24,0.308301345
1.25,0.308525155
1.26,0.308856667
1.27,0.309178462
1.28,0.309469232
1.29,0.30971602
1.3,0.310069631
1.31,0.310458188
1.32,0.310799271
