EK-OL_5,
W,R
0.248570845,0.045673172
0.254708071,0.048608646
0.262181843,0.05080356
0.265584592,0.053651503
0.272155875,0.054909745
0.278344903,0.054227693
0.288553151,0.056510138
0.289446492,0.058409196
0.29535865,0.059929158
0.300462774,0.063347247
0.306737108,0.068314951
0.31152171,0.071322325
0.318327208,0.074741345
0.323241788,0.07841151
0.329386144,0.081577989
0.333639581,0.084426397
0.33769094,0.088209064
0.342997142,0.092969762
0.348101266,0.097526285
0.352321462,0.101662209
0.357458827,0.104361999
0.363413638,0.108918987
0.365420414,0.114580781
0.366816388,0.118597532
0.371920512,0.122584838
0.377024636,0.125433711
0.382791639,0.12892956
0.387232884,0.133977541
0.390635634,0.137963917
0.396333941,0.141032447
0.399142507,0.143660734
0.402545257,0.14764711
0.407992008,0.151688104
0.409350755,0.155619864
0.41445488,0.160745604
0.420697992,0.165604857
0.42721519,0.169290828
0.431468627,0.17327767
0.435892776,0.175806675
0.4399755,0.180682136
0.445079624,0.184669442
0.449777665,0.187865924
0.454437185,0.19093594
0.456989247,0.195491069
0.460780785,0.198051679
0.463794746,0.201756172
0.46889887,0.204605045
0.471450932,0.20802174
0.476237548,0.21044986
0.477405744,0.214855595
0.483360555,0.219412583
0.490646396,0.223792251
0.496971553,0.227389055
0.500374302,0.231944649
0.505382717,0.234799188
0.509731863,0.239918797
0.515686675,0.243337352
0.520790799,0.246186224
0.523655755,0.249961399
0.528446985,0.252451793
0.533551109,0.256439099
0.540946372,0.261157978
0.543759358,0.264413712
0.548863482,0.267262585
0.55509324,0.271715395
0.557370355,0.276374701
0.564175854,0.282070588
0.572383857,0.284314348
0.580338914,0.287202371
0.584592351,0.290619996
0.589674474,0.293072706
0.596501974,0.296318671
0.604382725,0.300753967
0.609262284,0.304863896
0.61691847,0.308852597
0.622683833,0.311066644
0.631380155,0.313414233
0.640629397,0.317470804
0.64924459,0.32139303
0.656176846,0.325276641
0.658602151,0.327659528
0.667959711,0.331079942
0.674555683,0.335429387
0.680720022,0.337917515
0.685824146,0.340197172
0.6918463,0.341558291
0.698584456,0.343619445
0.704539268,0.345899566
0.709136917,0.347304729
0.713896829,0.34931998
0.721553015,0.351601031
0.726427533,0.350851988
0.7360147,0.351608933
0.74405498,0.352292453
0.751327072,0.351617301
0.759998276,0.351474766
0.767490132,0.3504877
0.779766466,0.351107427
0.788757316,0.352206971
