Brown University Keck/NASA Relab Spectrum OC-TXH-013-P15/C1OC13P15,
W,R
0.2,0.091744
0.205,0.08837
0.21,0.086061
0.215,0.085394
0.22,0.085458
0.225,0.085462
0.23,0.085324
0.235,0.085505
0.24,0.08621
0.245,0.087516
0.25,0.088432
0.255,0.089318
0.26,0.089123
0.265,0.087427
0.27,0.088052
0.275,0.089142
0.28,0.090093
0.285,0.090669
0.29,0.091153
0.295,0.091904
0.3,0.092949
0.305,0.094293
0.31,0.095863
0.315,0.09798
0.32,0.100646
0.325,0.10306
0.33,0.105821
0.335,0.108835
0.34,0.111868
0.345,0.115034
0.35,0.118239
0.355,0.121611
0.36,0.124793
0.365,0.127771
0.37,0.130561
0.375,0.133306
0.38,0.135639
0.385,0.137919
0.39,0.140539
0.395,0.142475
0.4,0.144201
0.405,0.146082
0.41,0.148159
0.415,0.149866
0.42,0.15144
0.425,0.152836
0.43,0.154276
0.435,0.155728
0.44,0.156937
0.445,0.158094
0.45,0.159156
0.455,0.160202
0.46,0.161371
0.465,0.162604
0.47,0.163742
0.475,0.165055
0.48,0.166115
0.485,0.167122
0.49,0.168127
0.495,0.16903
0.5,0.170052
0.505,0.171035
0.51,0.172055
0.515,0.173029
0.52,0.174074
0.525,0.174767
0.53,0.175702
0.535,0.176523
0.54,0.177301
0.545,0.177998
0.55,0.178635
0.555,0.179307
0.56,0.180055
0.565,0.180658
0.57,0.181354
0.575,0.182066
0.58,0.182584
0.585,0.183124
0.59,0.18363
0.595,0.184081
0.6,0.18447
0.605,0.185029
0.61,0.185374
0.615,0.185767
0.62,0.186315
0.625,0.186651
0.63,0.187042
0.635,0.187379
0.64,0.187762
0.645,0.188216
0.65,0.188578
0.655,0.189002
0.66,0.189374
0.665,0.189185
0.67,0.190265
0.675,0.190637
0.68,0.190939
0.685,0.191145
0.69,0.191287
0.695,0.191508
0.7,0.19184
0.705,0.19209
0.71,0.192335
0.715,0.192558
0.72,0.192789
0.725,0.192845
0.73,0.192692
0.735,0.192953
0.74,0.192962
0.745,0.192985
0.75,0.192958
0.755,0.192847
0.76,0.19231
0.765,0.1923
0.77,0.192114
0.775,0.191998
0.78,0.191678
0.785,0.191389
0.79,0.191175
0.795,0.190582
0.8,0.189929
0.805,0.189538
0.81,0.189248
0.815,0.18847
0.82,0.187782
0.825,0.187082
0.83,0.186308
0.835,0.185469
0.84,0.184781
0.845,0.184126
0.85,0.183536
0.855,0.182768
0.86,0.182191
0.865,0.181709
0.87,0.18145
0.875,0.180534
0.88,0.180004
0.885,0.179421
0.89,0.178769
0.895,0.178539
0.9,0.178309
0.905,0.177966
0.91,0.177571
0.915,0.177348
0.92,0.177085
0.925,0.176954
0.93,0.176841
0.935,0.1768
0.94,0.176697
0.945,0.176665
0.95,0.176636
0.955,0.176688
0.96,0.176651
0.965,0.176825
0.97,0.177115
0.975,0.177312
0.98,0.177464
0.985,0.177543
0.99,0.177698
0.995,0.177769
1,0.177619
1.005,0.177702
1.01,0.177777
1.015,0.177923
1.02,0.178025
1.025,0.178309
1.03,0.178574
1.035,0.178682
1.04,0.178814
1.045,0.179004
1.05,0.179335
1.055,0.179711
1.06,0.179805
1.065,0.180128
1.07,0.180408
1.075,0.180619
1.08,0.180984
1.085,0.181118
1.09,0.181442
1.095,0.181728
1.1,0.182005
1.105,0.18244
1.11,0.182922
1.115,0.183505
1.12,0.183875
1.125,0.184257
1.13,0.184562
1.135,0.184868
1.14,0.185197
1.145,0.185508
1.15,0.185796
1.155,0.186012
1.16,0.186248
1.165,0.18632
1.17,0.186346
1.175,0.186484
1.18,0.18658
1.185,0.186839
1.19,0.187043
1.195,0.187215
1.2,0.18736
1.205,0.187399
1.21,0.18736
1.215,0.187533
1.22,0.187738
1.225,0.187911
1.23,0.187874
1.235,0.187906
1.24,0.187925
1.245,0.188022
1.25,0.188039
1.255,0.187876
1.26,0.187941
1.265,0.188027
1.27,0.18813
1.275,0.188262
1.28,0.188252
1.285,0.188326
1.29,0.188562
1.295,0.188733
1.3,0.188805
1.305,0.188839
1.31,0.188993
1.315,0.189092
1.32,0.189018
1.325,0.188962
1.33,0.188905
1.335,0.189004
1.34,0.189077
1.345,0.189097
1.35,0.18922
1.355,0.189565
1.36,0.18981
1.365,0.190021
1.37,0.190182
1.375,0.190168
1.38,0.190527
1.385,0.190613
1.39,0.190723
1.395,0.190609
1.4,0.190445
1.405,0.190668
1.41,0.19097
1.415,0.190961
1.42,0.190945
1.425,0.190838
1.43,0.190741
1.435,0.19098
1.44,0.191014
1.445,0.191043
1.45,0.191034
1.455,0.191066
1.46,0.190919
1.465,0.191012
1.47,0.191209
1.475,0.191226
1.48,0.191222
1.485,0.191229
1.49,0.191301
1.495,0.191243
1.5,0.191242
1.505,0.190967
1.51,0.19084
1.515,0.190663
1.52,0.190708
1.525,0.190813
1.53,0.190823
1.535,0.190687
1.54,0.190627
1.545,0.190599
1.55,0.190415
1.555,0.190265
1.56,0.190273
1.565,0.190146
1.57,0.189924
1.575,0.189961
1.58,0.189804
1.585,0.189537
1.59,0.189477
1.595,0.189183
1.6,0.188866
1.605,0.188689
1.61,0.188492
1.615,0.188347
1.62,0.188237
1.625,0.188137
1.63,0.187872
1.635,0.187865
1.64,0.188455
1.645,0.188391
1.65,0.188043
1.655,0.187616
1.66,0.187296
1.665,0.187153
1.67,0.186839
1.675,0.18631
1.68,0.186221
1.685,0.186074
1.69,0.185984
1.695,0.185718
1.7,0.185691
1.705,0.185283
1.71,0.184954
1.715,0.184958
1.72,0.184828
1.725,0.184419
1.73,0.184064
1.735,0.183819
1.74,0.183396
1.745,0.183072
1.75,0.182921
1.755,0.182719
1.76,0.182482
1.765,0.182167
1.77,0.181931
1.775,0.181543
1.78,0.181264
1.785,0.181004
1.79,0.180742
1.795,0.180301
1.8,0.18007
1.805,0.180109
1.81,0.179807
1.815,0.179581
1.82,0.179286
1.825,0.179192
1.83,0.178888
1.835,0.178988
1.84,0.178778
1.845,0.178719
1.85,0.178376
1.855,0.178125
1.86,0.177926
1.865,0.17786
1.87,0.177876
1.875,0.177441
1.88,0.177432
1.885,0.177412
1.89,0.177271
1.895,0.176741
1.9,0.176154
1.905,0.176108
1.91,0.175783
1.915,0.175468
1.92,0.175408
1.925,0.17514
1.93,0.174727
1.935,0.174678
1.94,0.174666
1.945,0.174277
1.95,0.173965
1.955,0.173757
1.96,0.173562
1.965,0.173391
1.97,0.173405
1.975,0.173278
1.98,0.173109
1.985,0.172881
1.99,0.172679
1.995,0.172655
2,0.172565
2.005,0.172755
2.01,0.173092
2.015,0.17311
2.02,0.172998
2.025,0.173003
2.03,0.172683
2.035,0.172472
2.04,0.172189
2.045,0.171952
2.05,0.171664
2.055,0.171846
2.06,0.171961
2.065,0.171667
2.07,0.171708
2.075,0.171676
2.08,0.171534
2.085,0.171317
2.09,0.171325
2.095,0.171066
2.1,0.17112
2.105,0.171253
2.11,0.170704
2.115,0.170843
2.12,0.170973
2.125,0.170757
2.13,0.170761
2.135,0.1706
2.14,0.170483
2.145,0.170378
2.15,0.170527
2.155,0.170865
2.16,0.170841
2.165,0.170688
2.17,0.170249
2.175,0.170312
2.18,0.170244
2.185,0.170192
2.19,0.169997
2.195,0.170132
2.2,0.170328
2.205,0.170584
2.21,0.170403
2.215,0.170175
2.22,0.1699
2.225,0.17001
2.23,0.170109
2.235,0.170019
2.24,0.170273
2.245,0.170071
2.25,0.169988
2.255,0.16979
2.26,0.169416
2.265,0.169447
2.27,0.169566
2.275,0.169485
2.28,0.169779
2.285,0.16955
2.29,0.169773
2.295,0.169381
2.3,0.169417
2.305,0.169348
2.31,0.169188
2.315,0.169113
2.32,0.169134
2.325,0.169267
2.33,0.169316
2.335,0.169253
2.34,0.168947
2.345,0.168497
2.35,0.168521
2.355,0.168049
2.36,0.167815
2.365,0.167983
2.37,0.168001
2.375,0.168669
2.38,0.168419
2.385,0.168444
2.39,0.168589
2.395,0.168355
2.4,0.168017
2.405,0.167597
2.41,0.16715
2.415,0.167109
2.42,0.167
2.425,0.166592
2.43,0.166514
2.435,0.166875
2.44,0.166836
2.445,0.166563
2.45,0.166451
2.455,0.166676
2.46,0.166361
2.465,0.166021
2.47,0.165775
2.475,0.165543
2.48,0.165621
2.485,0.165678
2.49,0.165415
2.495,0.165327
2.5,0.165045
