Brown University Keck/NASA Relab Spectrum PO-CMP-081-RK/TKP81R,
W,R
2.055,0.83917
2.06,0.84023
2.065,0.84042
2.07,0.8398
2.075,0.83987
2.08,0.84039
2.085,0.83964
2.09,0.8396
2.095,0.83934
2.1,0.84138
2.105,0.84166
2.11,0.84053
2.115,0.84078
2.12,0.84105
2.125,0.84009
2.13,0.83907
2.135,0.83931
2.14,0.83869
2.145,0.83968
2.15,0.84
2.155,0.83937
2.16,0.83893
2.165,0.83913
2.17,0.83872
2.175,0.8382
2.18,0.83834
2.185,0.83847
2.19,0.83795
2.195,0.83825
2.2,0.83838
2.205,0.83972
2.21,0.83976
2.215,0.83942
2.22,0.8393
2.225,0.83934
2.23,0.83953
2.235,0.83937
2.24,0.8396
2.245,0.84024
2.25,0.84059
2.255,0.84034
2.26,0.84096
2.265,0.84048
2.27,0.84046
2.275,0.84146
2.28,0.84082
2.285,0.84029
2.29,0.83838
2.295,0.83681
2.3,0.83812
2.305,0.84159
2.31,0.84224
2.315,0.84452
2.32,0.84517
2.325,0.8444
2.33,0.84462
2.335,0.84463
2.34,0.84551
2.345,0.84553
2.35,0.84466
2.355,0.84541
2.36,0.84615
2.365,0.84637
2.37,0.84559
2.375,0.84567
2.38,0.8455
2.385,0.84571
2.39,0.84497
2.395,0.84562
2.4,0.84603
2.405,0.84485
2.41,0.84577
2.415,0.84481
2.42,0.84666
2.425,0.84753
2.43,0.84786
2.435,0.84661
2.44,0.84737
2.445,0.8464
2.45,0.8453
2.455,0.84696
2.46,0.84618
2.465,0.84581
2.47,0.84486
2.475,0.84511
2.48,0.84464
2.485,0.84408
2.49,0.84516
2.495,0.84409
2.5,0.84369
2.505,0.84432
2.51,0.84353
2.515,0.84233
2.52,0.84415
2.525,0.841
2.53,0.83902
2.535,0.84438
2.54,0.84272
2.545,0.83685
2.55,0.84576
2.555,0.85061
2.56,0.84802
2.565,0.84544
2.57,0.84746
2.575,0.84306
2.58,0.84111
2.585,0.83751
2.59,0.844
2.595,0.84148
2.6,0.85449
