EK-OL_0,
W,R
0.253948332,0.185699175
0.26303253,0.193677431
0.264296504,0.199131899
0.264296504,0.185923951
0.264733905,0.203924263
0.26643528,0.209048143
0.270112438,0.215745133
0.272390091,0.221004949
0.274091466,0.225559613
0.274775665,0.228965068
0.277494215,0.233530507
0.278344903,0.236946272
0.279491288,0.241179996
0.280046277,0.244916237
0.281747652,0.248901684
0.284445074,0.253750959
0.286001089,0.258011476
0.288553151,0.263135821
0.290875468,0.266901741
0.292806588,0.270537964
0.294507962,0.275661844
0.294948052,0.279680721
0.29535865,0.288185078
0.296591375,0.293868716
0.297060025,0.283632273
0.298761399,0.298432839
0.302164149,0.302988432
0.302164149,0.308111383
0.304828404,0.312836017
0.307268273,0.316083207
0.311452731,0.320314797
0.312372397,0.335439366
0.312372397,0.341131533
0.312800052,0.327753131
0.313024605,0.345558411
0.314073772,0.331455778
0.314073772,0.349101498
0.314924459,0.354224913
0.315775146,0.357640679
0.317390923,0.362564597
0.317476521,0.366749076
0.319177896,0.37130374
0.320412414,0.376432233
0.321729958,0.380412603
0.322455851,0.390198539
0.322580645,0.386105235
0.323431333,0.394074735
0.32428202,0.398628934
0.325983395,0.407737332
0.326123558,0.403296683
0.328535457,0.413430894
0.328900535,0.418823663
0.329386144,0.42367726
0.329386144,0.428230994
0.330236831,0.432215976
0.332044284,0.435443527
0.333639581,0.439617654
0.334490268,0.443602636
0.334490268,0.447587153
0.335188032,0.451695268
0.336191643,0.455557117
0.33704233,0.458972883
0.337893018,0.464665515
0.33922251,0.469025572
0.339594392,0.473204696
0.339594392,0.479466081
0.342104279,0.485461232
0.342997142,0.491421492
0.343847829,0.496544908
0.345176579,0.500904974
0.346399891,0.506222987
0.347250579,0.511346403
0.348706151,0.516229446
0.349802641,0.521593699
0.349802641,0.526147433
0.350749587,0.530298139
0.351504015,0.535825048
0.354056077,0.54151861
0.354679273,0.54510411
0.354906765,0.550057326
0.356608139,0.555750423
0.357430053,0.559554461
0.359160201,0.565428503
0.360377317,0.572637603
0.361712264,0.577383449
0.363324581,0.591777879
0.364222795,0.608907382
0.364264326,0.596738214
0.364267706,0.582552769
0.365115013,0.58763121
