KC-OL-hevn_4,
W,R
0.54088,0.62128
0.54133,0.62217
0.54179,0.62215
0.54224,0.62242
0.54269,0.62293
0.54314,0.62336
0.54359,0.62348
0.54404,0.62436
0.54449,0.62559
0.54494,0.6258
0.54539,0.62653
0.54584,0.6272
0.54629,0.62711
0.54675,0.62692
0.5472,0.62838
0.54765,0.62799
0.5481,0.62814
0.54855,0.62897
0.549,0.62949
0.54945,0.62976
0.5499,0.63019
0.55035,0.6307
0.5508,0.63096
0.55125,0.63186
0.5517,0.63208
0.55215,0.6321
0.5526,0.63258
0.55305,0.63216
0.5535,0.63321
0.55395,0.63339
0.5544,0.63342
0.55485,0.63419
0.5553,0.63487
0.55575,0.6351
0.5562,0.63479
0.55665,0.63556
0.5571,0.63594
0.55755,0.63568
0.558,0.63621
0.55845,0.63619
0.5589,0.63664
0.55935,0.63715
0.5598,0.63775
0.56025,0.63831
0.5607,0.63924
0.56115,0.63919
0.5616,0.63965
0.56205,0.63952
0.5625,0.64
0.56295,0.63975
0.5634,0.63996
0.56385,0.64003
0.5643,0.63973
0.56475,0.64067
0.5652,0.6407
0.56565,0.64091
0.5661,0.64076
0.56655,0.64104
0.567,0.64101
0.56745,0.64113
0.56789,0.64153
0.56834,0.64133
0.56879,0.64161
0.56924,0.64193
0.56969,0.64201
0.57014,0.64245
0.57059,0.64213
0.57104,0.64263
0.57149,0.64241
0.57194,0.6426
0.57239,0.64261
0.57284,0.6432
0.57328,0.64277
0.57373,0.64348
0.57418,0.64322
0.57463,0.64425
0.57508,0.64387
0.57553,0.6444
0.57598,0.64516
0.57643,0.64554
0.57688,0.64588
0.57732,0.64629
0.57777,0.64675
0.57822,0.64694
0.57867,0.64702
0.57912,0.64684
0.57957,0.64704
0.58002,0.64671
0.58046,0.64683
0.58091,0.64709
0.58136,0.64748
0.58181,0.64828
0.58226,0.6481
0.58271,0.64836
0.58316,0.64853
0.5836,0.64866
0.58405,0.64859
0.5845,0.64814
0.58495,0.64814
0.5854,0.64816
0.58584,0.64873
0.58629,0.64909
0.58674,0.64923
0.58719,0.64954
0.58764,0.64982
0.58809,0.6498
0.58853,0.65097
0.58898,0.65075
0.58943,0.65097
0.58988,0.65161
0.59032,0.65173
0.59077,0.6516
0.59122,0.65178
0.59167,0.65156
0.59212,0.65167
0.59256,0.65086
0.59301,0.65189
0.59346,0.65209
0.59391,0.65196
0.59435,0.6519
0.5948,0.6522
0.59525,0.6523
0.5957,0.65227
0.59615,0.65237
0.59659,0.65262
0.59704,0.65255
0.59749,0.65242
0.59793,0.65271
0.59838,0.65272
0.59883,0.65182
0.59928,0.65255
0.59972,0.65202
0.60017,0.65231
0.60062,0.65138
0.60107,0.65201
0.60151,0.65224
0.60196,0.65237
0.60241,0.65271
0.60285,0.65325
0.6033,0.6537
0.60375,0.65391
0.6042,0.6544
0.60464,0.65421
0.60509,0.65391
0.60554,0.65401
0.60598,0.65394
0.60643,0.65332
0.60688,0.65381
0.60732,0.65413
0.60777,0.65445
0.60822,0.65481
0.60866,0.65461
0.60911,0.65484
0.60956,0.65482
0.61,0.65456
0.61045,0.65438
0.6109,0.65413
0.61134,0.65447
0.61179,0.65419
0.61224,0.65449
0.61268,0.65514
0.61313,0.65552
0.61358,0.65591
0.61402,0.65638
0.61447,0.657
0.61492,0.65751
0.61536,0.657
0.61581,0.6572
0.61625,0.65667
0.6167,0.65669
0.61715,0.65692
0.61759,0.65667
0.61804,0.65736
0.61848,0.65727
0.61893,0.65732
0.61938,0.6576
0.61982,0.65799
0.62027,0.65784
0.62071,0.65777
0.62116,0.65746
0.62161,0.65713
0.62205,0.65674
0.6225,0.657
0.62294,0.65668
0.62339,0.65659
0.62384,0.65628
0.62428,0.65597
0.62473,0.65588
0.62517,0.65604
0.62562,0.65621
0.62606,0.65645
0.62651,0.65633
0.62696,0.65704
0.6274,0.65766
0.62785,0.65738
0.62829,0.65759
0.62874,0.65744
0.62918,0.65686
0.62963,0.65413
0.63007,0.65104
0.63052,0.6486
0.63096,0.64783
0.63141,0.64819
0.63185,0.64772
0.6323,0.64872
0.63274,0.65067
0.63319,0.65478
0.63364,0.65807
0.63408,0.65883
0.63453,0.65932
0.63497,0.65905
0.63542,0.65935
0.63586,0.65929
0.63631,0.65952
0.63675,0.65932
0.6372,0.65983
0.63764,0.66012
0.63809,0.65946
0.63853,0.65972
0.63897,0.66042
0.63942,0.66045
0.63986,0.66113
0.64031,0.66079
0.64075,0.66114
0.6412,0.66129
0.64164,0.66115
0.64209,0.66078
0.64253,0.6615
0.64298,0.66189
0.64342,0.66248
0.64387,0.6625
0.64431,0.66281
0.64475,0.66313
0.6452,0.66366
0.64564,0.66413
0.64609,0.66448
0.64653,0.66511
0.64698,0.66585
0.64742,0.66552
0.64786,0.66563
0.64831,0.66556
0.64875,0.6655
0.6492,0.66571
0.64964,0.66575
0.65009,0.66601
0.65053,0.66625
0.65097,0.66719
0.65142,0.66711
0.65186,0.66778
0.65231,0.66914
0.65275,0.66932
0.65319,0.66957
0.65364,0.66996
0.65408,0.66961
0.65452,0.66974
0.65497,0.6698
0.65541,0.66928
0.65586,0.669
0.6563,0.66864
0.65674,0.66846
0.65719,0.66838
0.65763,0.6683
0.65807,0.66826
0.65852,0.66869
0.65896,0.66852
0.6594,0.66868
0.65985,0.66913
0.66029,0.66929
0.66073,0.66999
0.66118,0.66992
0.66162,0.67001
0.66207,0.67049
0.66251,0.67112
0.66295,0.67159
0.66339,0.67212
0.66384,0.67265
0.66428,0.6731
0.66472,0.67353
0.66517,0.67355
0.66561,0.67298
0.66605,0.67284
0.6665,0.67244
0.66694,0.67232
0.66738,0.67215
0.66783,0.6718
0.66827,0.67171
0.66871,0.67163
0.66915,0.67188
0.6696,0.67152
0.67004,0.67203
0.67048,0.67197
0.67093,0.67188
0.67137,0.67156
0.67181,0.67177
0.67225,0.67127
0.6727,0.67156
0.67314,0.67179
0.67358,0.67174
0.67402,0.6716
0.67447,0.67185
0.67491,0.67222
0.67535,0.6723
0.67579,0.6719
0.67624,0.67234
0.67668,0.67195
0.67712,0.67193
0.67756,0.67242
0.67801,0.67261
0.67845,0.67252
0.67889,0.67224
0.67933,0.67321
0.67978,0.67359
0.68022,0.67431
0.68066,0.67416
0.6811,0.67413
0.68154,0.67333
0.68199,0.67223
0.68243,0.67184
0.68287,0.67161
0.68331,0.67136
0.68375,0.67109
0.6842,0.67119
0.68464,0.67084
0.68508,0.67087
0.68552,0.67074
0.68596,0.67103
0.6864,0.67149
0.68685,0.67121
0.68729,0.6716
0.68773,0.67101
0.68817,0.67173
0.68861,0.67114
0.68905,0.67093
0.6895,0.67093
0.68994,0.6711
0.69038,0.67122
0.69082,0.67098
0.69126,0.67087
0.6917,0.67067
0.69215,0.67026
0.69259,0.66981
0.69303,0.66908
0.69347,0.66892
0.69391,0.66873
0.69435,0.66838
0.69479,0.66827
0.69523,0.66752
0.69568,0.6672
0.69612,0.66743
0.69656,0.6674
0.697,0.66697
0.69744,0.6667
0.69788,0.66658
0.69832,0.66643
0.69876,0.6667
0.6992,0.66655
0.69965,0.66725
0.70009,0.66755
0.70053,0.66707
0.70097,0.66683
0.70141,0.66668
0.70185,0.66623
0.70229,0.66603
0.70273,0.6656
0.70317,0.666
0.70361,0.66566
0.70405,0.66557
0.70449,0.66497
0.70493,0.66533
0.70538,0.66495
0.70582,0.66466
0.70626,0.66434
0.7067,0.66428
0.70714,0.66426
0.70758,0.66451
0.70802,0.66441
0.70846,0.66483
0.7089,0.66483
0.70934,0.66519
0.70978,0.66461
0.71022,0.66471
0.71066,0.66423
0.7111,0.66363
0.71154,0.66376
0.71198,0.66486
0.71242,0.66408
0.71286,0.66419
0.7133,0.6642
0.71374,0.66382
0.71418,0.6636
0.71462,0.66257
0.71506,0.66198
0.7155,0.66117
0.71594,0.66066
0.71638,0.65964
0.71682,0.65928
0.71726,0.65877
0.7177,0.65829
