KC_OL_arm_1,
W,R
0.5703,0.5198
0.57056,0.51876
0.57081,0.51813
0.57106,0.51864
0.57131,0.52196
0.57156,0.527
0.57181,0.52443
0.57207,0.52006
0.57232,0.51712
0.57257,0.51517
0.57282,0.51635
0.57308,0.51635
0.57333,0.51526
0.57358,0.51825
0.57384,0.5227
0.57409,0.52282
0.57435,0.5223
0.5746,0.52244
0.57486,0.52296
0.57511,0.52308
0.57537,0.52209
0.57562,0.52261
0.57588,0.52154
0.57613,0.5204
0.57639,0.52113
0.57665,0.52379
0.5769,0.52564
0.57716,0.52285
0.57742,0.52048
0.57767,0.51899
0.57793,0.5179
0.57819,0.51905
0.57845,0.52171
0.57871,0.52384
0.57896,0.52535
0.57922,0.52587
0.57948,0.52422
0.57974,0.52452
0.58,0.52561
0.58026,0.52534
0.58052,0.52387
0.58078,0.52229
0.58104,0.52351
0.5813,0.52569
0.58156,0.52558
0.58182,0.52338
0.58208,0.52375
0.58235,0.52442
0.58261,0.52464
0.58287,0.52552
0.58313,0.52393
0.58339,0.52507
0.58366,0.52711
0.58392,0.52546
0.58418,0.52478
0.58445,0.52683
0.58471,0.52889
0.58497,0.52933
0.58524,0.52832
0.5855,0.5264
0.58577,0.52539
0.58603,0.52426
0.5863,0.52505
0.58656,0.52744
0.58683,0.52734
0.58709,0.52687
0.58736,0.52608
0.58763,0.52552
0.58789,0.52431
0.58816,0.52248
0.58843,0.52337
0.58869,0.52629
0.58896,0.52947
0.58923,0.52884
0.5895,0.52584
0.58976,0.52437
0.59003,0.52406
0.5903,0.5252
0.59057,0.52657
0.59084,0.52688
0.59111,0.52512
0.59138,0.52358
0.59165,0.52592
0.59192,0.52902
0.59219,0.53054
0.59246,0.53037
0.59273,0.52654
0.593,0.52347
0.59327,0.52602
0.59354,0.53032
0.59382,0.53185
0.59409,0.53048
0.59436,0.529
0.59463,0.52941
0.59491,0.52992
0.59518,0.52796
0.59545,0.52606
0.59573,0.52753
0.596,0.52836
0.59627,0.52634
0.59655,0.52597
0.59682,0.52802
0.5971,0.52885
0.59737,0.52836
0.59765,0.52839
0.59792,0.52843
0.5982,0.52876
0.59848,0.52794
0.59875,0.52734
0.59903,0.52943
0.59931,0.53051
0.59958,0.53205
0.59986,0.5341
0.60014,0.53371
0.60042,0.53295
0.6007,0.53271
0.60097,0.53168
0.60125,0.52942
0.60153,0.53026
0.60181,0.53118
0.60209,0.52986
0.60237,0.53001
0.60265,0.53
0.60293,0.53077
0.60321,0.52975
0.60349,0.52933
0.60377,0.53115
0.60405,0.5301
0.60434,0.53002
0.60462,0.53225
0.6049,0.53423
0.60518,0.53364
0.60547,0.53291
0.60575,0.53314
0.60603,0.53299
0.60631,0.53136
0.6066,0.52839
0.60688,0.5298
0.60717,0.53141
0.60745,0.53233
0.60774,0.53309
0.60802,0.53318
0.60831,0.53318
0.60859,0.53152
0.60888,0.53326
0.60916,0.53355
0.60945,0.53445
0.60974,0.53647
0.61002,0.53613
0.61031,0.53555
0.6106,0.53423
0.61089,0.5353
0.61117,0.53312
0.61146,0.53304
0.61175,0.53422
0.61204,0.53355
0.61233,0.53422
0.61262,0.53343
0.61291,0.5356
0.6132,0.53447
0.61349,0.53515
0.61378,0.53598
0.61407,0.53439
0.61436,0.53471
0.61465,0.53301
0.61494,0.53505
0.61524,0.53346
0.61553,0.5327
0.61582,0.53226
0.61611,0.53296
0.61641,0.53716
0.6167,0.53498
0.61699,0.53459
0.61729,0.53313
0.61758,0.53499
0.61787,0.53513
0.61817,0.5336
0.61846,0.53537
0.61876,0.53324
0.61905,0.53545
0.61935,0.53477
0.61965,0.53611
0.61994,0.5361
0.62024,0.53531
0.62054,0.53793
0.62083,0.53698
0.62113,0.54028
0.62143,0.53741
0.62173,0.53661
0.62203,0.53569
0.62232,0.53426
0.62262,0.53712
0.62292,0.53535
0.62322,0.53646
0.62352,0.5335
0.62382,0.53381
0.62412,0.53388
0.62442,0.53471
0.62472,0.53662
0.62502,0.53338
0.62533,0.53687
0.62563,0.5359
0.62593,0.5371
0.62623,0.53654
0.62654,0.53538
0.62684,0.53766
0.62714,0.53542
0.62744,0.53664
0.62775,0.53355
0.62805,0.53511
0.62836,0.53501
0.62866,0.53424
