KC-OL-Im_8,
W,R
0.50012,0.3677
0.50031,0.35712
0.5005,0.35397
0.5007,0.35231
0.50089,0.34873
0.50108,0.35117
0.50128,0.36134
0.50147,0.36594
0.50166,0.35738
0.50186,0.35585
0.50205,0.36542
0.50225,0.3674
0.50244,0.37239
0.50264,0.38402
0.50283,0.38368
0.50303,0.37331
0.50322,0.36503
0.50342,0.36087
0.50361,0.35944
0.50381,0.36631
0.50401,0.36525
0.5042,0.35389
0.5044,0.35924
0.50459,0.36712
0.50479,0.36351
0.50499,0.35842
0.50518,0.36194
0.50538,0.37544
0.50558,0.38266
0.50577,0.378
0.50597,0.37009
0.50617,0.36519
0.50637,0.36303
0.50657,0.36562
0.50676,0.36477
0.50696,0.36255
0.50716,0.37301
0.50736,0.37938
0.50756,0.37502
0.50776,0.36917
0.50795,0.36632
0.50815,0.36783
0.50835,0.36717
0.50855,0.36715
0.50875,0.36433
0.50895,0.36428
0.50915,0.37225
0.50935,0.37553
0.50955,0.37103
0.50975,0.3646
0.50995,0.36659
0.51015,0.3762
0.51035,0.38269
0.51056,0.38132
0.51076,0.37107
0.51096,0.36355
0.51116,0.36779
0.51136,0.37417
0.51156,0.3754
0.51177,0.38142
0.51197,0.38846
0.51217,0.38376
0.51237,0.37868
0.51257,0.38199
0.51278,0.38531
0.51298,0.38149
0.51318,0.3768
0.51339,0.37694
0.51359,0.37538
0.51379,0.37661
0.514,0.38129
0.5142,0.38038
0.51441,0.37794
0.51461,0.37585
0.51481,0.37597
0.51502,0.38491
0.51522,0.38644
0.51543,0.37644
0.51563,0.37762
0.51584,0.38462
0.51604,0.38598
0.51625,0.38932
0.51645,0.39028
0.51666,0.38597
0.51687,0.38385
0.51707,0.38817
0.51728,0.39707
0.51749,0.40145
0.51769,0.40195
0.5179,0.40594
0.51811,0.40623
0.51831,0.39886
0.51852,0.39044
0.51873,0.38111
0.51894,0.37436
0.51914,0.37902
0.51935,0.39103
0.51956,0.39719
0.51977,0.3929
0.51998,0.38659
0.52018,0.39122
0.52039,0.40419
0.5206,0.40615
0.52081,0.40019
0.52102,0.40016
0.52123,0.39753
0.52144,0.39079
0.52165,0.39032
0.52186,0.39492
0.52207,0.39491
0.52228,0.39251
0.52249,0.39692
0.5227,0.39888
0.52291,0.39532
0.52312,0.39083
0.52333,0.38651
0.52355,0.39141
0.52376,0.39661
0.52397,0.3976
0.52418,0.398
0.52439,0.39121
0.52461,0.39015
0.52482,0.39298
0.52503,0.39109
0.52524,0.39583
0.52546,0.404
0.52567,0.40457
0.52588,0.39622
0.5261,0.38978
0.52631,0.38941
0.52652,0.39399
0.52674,0.40115
0.52695,0.39951
0.52717,0.39961
0.52738,0.40546
0.5276,0.40495
0.52781,0.40438
0.52802,0.40505
0.52824,0.40391
0.52846,0.39956
0.52867,0.39482
0.52889,0.39634
0.5291,0.39781
0.52932,0.39672
0.52953,0.39751
0.52975,0.3966
0.52997,0.39136
0.53018,0.38794
0.5304,0.38991
0.53062,0.39543
0.53084,0.39961
0.53105,0.39609
0.53127,0.39265
0.53149,0.39584
0.53171,0.40041
0.53192,0.40505
0.53214,0.40589
0.53236,0.40245
0.53258,0.40109
0.5328,0.40034
0.53302,0.3992
0.53324,0.40251
0.53346,0.40444
0.53368,0.40281
0.5339,0.40418
0.53412,0.40506
0.53434,0.40577
0.53456,0.40457
0.53478,0.40125
0.535,0.40361
0.53522,0.40516
0.53544,0.40266
0.53566,0.40135
0.53588,0.40457
0.5361,0.40971
0.53633,0.40849
0.53655,0.40484
0.53677,0.40341
0.53699,0.4027
0.53722,0.40256
0.53744,0.40229
0.53766,0.40289
0.53788,0.40366
0.53811,0.40357
0.53833,0.40434
0.53855,0.4071
0.53878,0.40828
0.539,0.40823
0.53923,0.4133
0.53945,0.41613
0.53968,0.41138
0.5399,0.41084
0.54013,0.41232
0.54035,0.40804
0.54058,0.40605
0.5408,0.40899
0.54103,0.41094
0.54125,0.41017
0.54148,0.41035
0.54171,0.41414
0.54193,0.41868
0.54216,0.4224
0.54239,0.42349
0.54261,0.42157
0.54284,0.41773
0.54307,0.41499
0.54329,0.418
0.54352,0.42049
0.54375,0.42052
0.54398,0.42107
0.54421,0.41845
0.54444,0.41681
0.54466,0.42096
0.54489,0.42482
0.54512,0.42099
0.54535,0.41671
0.54558,0.41963
0.54581,0.42356
0.54604,0.4235
0.54627,0.42039
0.5465,0.41893
0.54673,0.4182
0.54696,0.41544
0.54719,0.41555
0.54742,0.41742
0.54766,0.41955
0.54789,0.42342
0.54812,0.42625
0.54835,0.42605
0.54858,0.42298
0.54881,0.42095
0.54905,0.42153
0.54928,0.42455
0.54951,0.42822
0.54975,0.42643
0.54998,0.42487
0.55021,0.42713
0.55045,0.42647
0.55068,0.42668
0.55091,0.43103
0.55115,0.43539
0.55138,0.43411
0.55162,0.42775
0.55185,0.42442
0.55209,0.42473
0.55232,0.4254
0.55256,0.42655
0.55279,0.42991
0.55303,0.43208
0.55327,0.43006
0.5535,0.42916
0.55374,0.43002
0.55397,0.43113
0.55421,0.43099
0.55445,0.42921
0.55469,0.42974
0.55492,0.43052
0.55516,0.42884
0.5554,0.42837
0.55564,0.43153
0.55588,0.43315
0.55611,0.4317
0.55635,0.43221
0.55659,0.43323
0.55683,0.43153
0.55707,0.42915
0.55731,0.43027
0.55755,0.43194
0.55779,0.42934
0.55803,0.42781
0.55827,0.4302
0.55851,0.43055
0.55875,0.42903
0.55899,0.43017
0.55923,0.43139
0.55947,0.43156
0.55972,0.43274
0.55996,0.43478
0.5602,0.4371
0.56044,0.43746
0.56068,0.43436
0.56093,0.43389
0.56117,0.43717
0.56141,0.43683
0.56166,0.43637
0.5619,0.43782
0.56214,0.43848
0.56239,0.4394
0.56263,0.43713
0.56287,0.43327
0.56312,0.43128
0.56336,0.43282
0.56361,0.43596
0.56385,0.43545
0.5641,0.43563
0.56435,0.44005
0.56459,0.44191
0.56484,0.43914
0.56508,0.43915
0.56533,0.44099
0.56558,0.43975
0.56582,0.43586
0.56607,0.43249
0.56632,0.43368
0.56657,0.43625
0.56681,0.43689
0.56706,0.4363
0.56731,0.43648
0.56756,0.43867
0.56781,0.44157
0.56805,0.44413
0.5683,0.44578
0.56855,0.44545
0.5688,0.44267
0.56905,0.44153
0.5693,0.44031
0.56955,0.43935
0.5698,0.44055
0.57005,0.44022
0.5703,0.44182
0.57056,0.44391
0.57081,0.44655
0.57106,0.44838
0.57131,0.44734
0.57156,0.4476
0.57181,0.44488
0.57207,0.44244
0.57232,0.44221
0.57257,0.44167
0.57282,0.44257
0.57308,0.44291
0.57333,0.44173
0.57358,0.44135
0.57384,0.4437
0.57409,0.44449
0.57435,0.4472
0.5746,0.4506
0.57486,0.44748
0.57511,0.44433
0.57537,0.44367
