YY_OL_2,
W,R
0.5,0.556899306
0.503,0.558141838
0.506,0.558212248
0.509,0.558737891
0.512,0.562205019
0.515,0.565081727
0.518,0.569873513
0.521,0.573517485
0.524,0.573401932
0.527,0.572748955
0.53,0.574905829
0.533,0.578483812
0.536,0.580270405
0.539,0.580961795
0.542,0.583380937
0.545,0.583534917
0.548,0.586768361
0.551,0.589239731
0.554,0.59219602
0.557,0.593689603
0.56,0.595355422
0.563,0.596395179
0.566,0.597586832
0.569,0.597680939
0.572,0.598366281
0.575,0.600721294
0.578,0.601928717
0.581,0.603218294
0.584,0.603744276
0.587,0.604223775
0.59,0.605848578
0.593,0.607315072
0.596,0.608907067
0.599,0.611086245
0.602,0.611038023
0.605,0.611580031
0.608,0.612240344
0.611,0.614330763
0.614,0.614358932
0.617,0.615602476
0.62,0.616752055
0.623,0.617284832
0.626,0.617749988
0.629,0.618936193
0.632,0.62050349
0.635,0.620926319
0.638,0.622219029
0.641,0.622372332
0.644,0.623706307
0.647,0.624846729
0.65,0.625876425
0.653,0.627198934
0.656,0.628242482
0.659,0.629071029
0.662,0.629480383
0.665,0.630855467
0.668,0.631792214
0.671,0.6325729
0.674,0.63321417
0.677,0.634169272
0.68,0.635084689
0.683,0.636033782
0.686,0.636649378
0.689,0.636505608
0.692,0.637229312
0.695,0.638099744
0.698,0.638296835
0.701,0.638922966
0.704,0.638797512
0.707,0.639211128
0.71,0.639741665
0.713,0.640440312
0.716,0.640253432
0.719,0.64102043
0.722,0.641099805
0.725,0.641059936
0.728,0.6415053
0.731,0.641827505
0.734,0.642582136
0.737,0.642623045
0.74,0.642357155
0.743,0.641789073
0.746,0.64187909
0.749,0.641867722
0.752,0.642196978
0.755,0.641797804
0.758,0.641919517
0.761,0.641490811
0.764,0.641888349
0.767,0.641830952
0.77,0.641948349
0.773,0.64123768
0.776,0.64111242
0.779,0.640308929
0.782,0.640091637
0.785,0.639347932
0.788,0.638589276
0.791,0.63811102
0.794,0.638924366
0.797,0.638797104
0.8,0.638919705
0.803,0.638119452
0.806,0.638099565
0.809,0.638066668
0.812,0.638142881
0.815,0.637521463
0.818,0.636569528
0.821,0.636439568
0.824,0.635707401
0.827,0.636062622
0.83,0.636536951
0.833,0.636510386
0.836,0.635744668
0.839,0.63581441
0.842,0.635893272
0.845,0.635073277
0.848,0.634962763
0.851,0.634221236
0.854,0.634323801
0.857,0.63431003
0.86,0.634315993
0.863,0.634124171
0.866,0.6334762
0.869,0.633565225
0.872,0.633552073
0.875,0.633553948
0.878,0.633537286
0.881,0.633631834
0.884,0.632929477
0.887,0.632800882
0.89,0.632645609
0.893,0.63195767
0.896,0.632084441
0.899,0.631723232
0.902,0.631287994
0.905,0.631063384
0.908,0.630540045
0.911,0.629935131
0.914,0.629783065
0.917,0.628853067
0.92,0.628081791
0.923,0.627692064
0.926,0.626888898
0.929,0.625961
0.932,0.625034541
0.935,0.624158743
0.938,0.622926387
