RB_LE6OPX_0,
W,R
0.25,0.223352
0.251,0.225451
0.252,0.228197
0.253,0.230894
0.254,0.230713
0.255,0.233723
0.256,0.23668
0.257,0.238714
0.258,0.240441
0.259,0.24313
0.26,0.24548
0.261,0.248072
0.262,0.250185
0.263,0.251373
0.264,0.253926
0.265,0.256351
0.266,0.258115
0.267,0.262156
0.268,0.264063
0.269,0.266836
0.27,0.26972
0.271,0.273317
0.272,0.274783
0.273,0.276524
0.274,0.277413
0.275,0.281003
0.276,0.284109
0.277,0.284875
0.278,0.287815
0.279,0.288735
0.28,0.291818
0.281,0.294263
0.282,0.297421
0.283,0.296459
0.284,0.298324
0.285,0.298134
0.286,0.302085
0.287,0.304752
0.288,0.303268
0.289,0.30656
0.29,0.308414
0.291,0.307759
0.292,0.310257
0.293,0.311987
0.294,0.31285
0.295,0.313474
0.296,0.315303
0.297,0.320077
0.298,0.322823
0.299,0.323737
0.3,0.325016
0.301,0.325928
0.302,0.328755
0.303,0.329042
0.304,0.334559
0.305,0.33353
0.306,0.335439
0.307,0.339019
0.308,0.340929
0.309,0.344171
0.31,0.343715
0.311,0.349552
0.312,0.348382
0.313,0.349543
0.314,0.35309
0.315,0.355634
0.316,0.356699
0.317,0.358728
0.318,0.358823
0.319,0.364558
0.32,0.36159
0.321,0.362245
0.322,0.367417
0.323,0.369677
0.324,0.373394
0.325,0.375358
0.326,0.380939
0.327,0.38149
0.328,0.382883
0.329,0.38598
0.33,0.387676
0.331,0.390368
0.332,0.395268
0.333,0.396718
0.334,0.399
0.335,0.401399
0.336,0.403036
0.337,0.407009
0.338,0.409458
0.339,0.411585
0.34,0.412545
0.341,0.418924
0.342,0.419898
0.343,0.421428
0.344,0.422798
0.345,0.425629
0.346,0.429733
0.347,0.433258
0.348,0.436138
0.349,0.438391
0.35,0.439142
0.351,0.443047
0.352,0.447302
0.353,0.449241
0.354,0.451341
0.355,0.454595
0.356,0.457921
0.357,0.460876
0.358,0.463735
0.359,0.465174
0.36,0.467991
0.361,0.471705
0.362,0.473652
0.363,0.475341
0.364,0.478126
0.365,0.480779
0.366,0.481489
0.367,0.483574
0.368,0.488884
0.369,0.491469
0.37,0.490009
0.371,0.492662
0.372,0.495652
0.373,0.49742
0.374,0.497842
0.375,0.500313
0.376,0.504045
0.377,0.505133
0.378,0.50755
0.379,0.508544
0.38,0.508849
0.381,0.511506
0.382,0.513269
0.383,0.513789
0.384,0.515493
0.385,0.517939
0.386,0.520279
0.387,0.52052
0.388,0.521816
0.389,0.523968
0.39,0.526297
0.391,0.527789
0.392,0.527853
0.393,0.528988
0.394,0.531523
0.395,0.533806
0.396,0.534511
0.397,0.535324
0.398,0.537284
0.399,0.538462
0.4,0.540181
0.401,0.540859
0.402,0.542307
0.403,0.545832
0.404,0.546927
0.405,0.548368
0.406,0.551075
0.407,0.551895
0.408,0.552818
0.409,0.554967
0.41,0.557095
0.411,0.557752
0.412,0.558129
0.413,0.560267
0.414,0.561198
0.415,0.561411
0.416,0.562439
0.417,0.563714
0.418,0.564066
0.419,0.56436
0.42,0.566062
0.421,0.567287
0.422,0.567459
0.423,0.565638
0.424,0.566682
0.425,0.567729
0.426,0.568915
0.427,0.569386
0.428,0.569693
0.429,0.57133
0.43,0.572952
0.431,0.57444
0.432,0.577261
0.433,0.578908
0.434,0.580295
0.435,0.583096
0.436,0.583836
0.437,0.583591
0.438,0.583168
0.439,0.585455
0.44,0.58635
0.441,0.586855
0.442,0.587307
0.443,0.58836
0.444,0.58847
0.445,0.587566
0.446,0.589698
0.447,0.590123
0.448,0.590266
0.449,0.590958
0.45,0.591349
0.451,0.59202
0.452,0.593329
0.453,0.592498
0.454,0.593529
0.455,0.594102
0.456,0.595783
0.457,0.596295
0.458,0.596032
0.459,0.597781
0.46,0.597387
0.461,0.598722
0.462,0.599624
0.463,0.599524
0.464,0.600423
0.465,0.600542
0.466,0.600643
0.467,0.601188
0.468,0.601073
0.469,0.603027
0.47,0.602451
0.471,0.604329
0.472,0.605047
0.473,0.606165
0.474,0.606414
0.475,0.607331
0.476,0.608284
0.477,0.608393
0.478,0.608533
0.479,0.60848
0.48,0.609478
0.481,0.610831
0.482,0.611691
0.483,0.613108
0.484,0.613195
0.485,0.613546
0.486,0.614085
0.487,0.6141
0.488,0.615871
0.489,0.617052
0.49,0.616886
0.491,0.618776
0.492,0.617979
0.493,0.619987
0.494,0.622693
0.495,0.62159
0.496,0.62209
0.497,0.621849
0.498,0.622516
0.499,0.624388
0.5,0.623031
0.501,0.623724
0.502,0.62357
0.503,0.622446
0.504,0.617643
0.505,0.609306
0.506,0.607807
0.507,0.617128
0.508,0.624829
0.509,0.629607
0.51,0.630645
0.511,0.632321
0.512,0.633774
0.513,0.635256
0.514,0.636864
0.515,0.635797
0.516,0.637448
0.517,0.638528
0.518,0.637906
0.519,0.638777
0.52,0.639694
0.521,0.640282
0.522,0.64068
0.523,0.641477
0.524,0.640385
0.525,0.641403
0.526,0.640195
0.527,0.642009
0.528,0.642972
0.529,0.641961
0.53,0.64285
0.531,0.641954
0.532,0.641195
0.533,0.641425
0.534,0.642735
0.535,0.642064
0.536,0.643721
0.537,0.643573
0.538,0.641596
0.539,0.64142
0.54,0.640102
0.541,0.640633
0.542,0.640587
0.543,0.64026
0.544,0.638411
0.545,0.637511
0.546,0.639141
0.547,0.63747
0.548,0.638109
0.549,0.637683
0.55,0.639372
0.551,0.639392
0.552,0.64026
0.553,0.639896
0.554,0.641839
0.555,0.642295
0.556,0.644581
0.557,0.643875
0.558,0.644983
0.559,0.645337
0.56,0.645864
0.561,0.647538
0.562,0.64598
0.563,0.64679
0.564,0.64809
0.565,0.648728
0.566,0.648527
0.567,0.648524
0.568,0.648928
0.569,0.648996
0.57,0.648482
0.571,0.648471
0.572,0.649604
0.573,0.648959
0.574,0.649402
0.575,0.650012
0.576,0.650429
0.577,0.651242
0.578,0.650757
0.579,0.650862
0.58,0.651963
0.581,0.651053
0.582,0.651011
0.583,0.65151
0.584,0.651925
0.585,0.652385
0.586,0.652613
0.587,0.652722
0.588,0.65363
0.589,0.654066
0.59,0.653515
0.591,0.652702
0.592,0.651958
0.593,0.653055
0.594,0.653668
0.595,0.653435
0.596,0.653845
0.597,0.654379
0.598,0.654726
0.599,0.654789
0.6,0.65455
0.601,0.653633
0.602,0.654008
0.603,0.654418
0.604,0.654185
0.605,0.654224
0.606,0.654299
0.607,0.654664
0.608,0.655668
0.609,0.656166
0.61,0.656177
0.611,0.655628
0.612,0.654937
0.613,0.655162
0.614,0.655951
0.615,0.65635
0.616,0.656917
0.617,0.656451
0.618,0.655853
0.619,0.655803
0.62,0.656281
0.621,0.656224
0.622,0.655567
0.623,0.655581
0.624,0.655506
0.625,0.657023
0.626,0.657432
0.627,0.657888
0.628,0.657958
0.629,0.657427
0.63,0.659398
0.631,0.659366
0.632,0.659275
0.633,0.659885
0.634,0.659197
0.635,0.657377
0.636,0.659431
0.637,0.659287
0.638,0.65831
0.639,0.658773
0.64,0.660664
0.641,0.659589
0.642,0.658478
0.643,0.659758
0.644,0.659135
0.645,0.659496
0.646,0.659999
0.647,0.658611
0.648,0.6589
0.649,0.661909
0.65,0.660217
0.651,0.659699
0.652,0.660504
0.653,0.66123
0.654,0.661598
0.655,0.659917
0.656,0.660616
0.657,0.660373
0.658,0.659427
0.659,0.662653
0.66,0.662513
0.661,0.661444
0.662,0.663573
0.663,0.660779
0.664,0.661813
0.665,0.663215
0.666,0.663999
0.667,0.661615
0.668,0.661794
0.669,0.661197
0.67,0.661863
0.671,0.661558
0.672,0.66216
0.673,0.661298
0.674,0.662296
0.675,0.662032
0.676,0.662815
0.677,0.661389
0.678,0.663136
0.679,0.662106
0.68,0.662989
0.681,0.662731
0.682,0.660148
0.683,0.661494
0.684,0.664054
0.685,0.663609
0.686,0.661072
0.687,0.657684
0.688,0.659535
0.689,0.660684
0.69,0.6605
0.691,0.659194
0.692,0.660037
0.693,0.661491
0.694,0.662074
0.695,0.661014
0.696,0.658271
0.697,0.661701
0.698,0.662241
0.699,0.662318
0.7,0.663918
0.701,0.659161
0.702,0.661842
0.703,0.658802
0.704,0.659154
0.705,0.656464
0.706,0.660117
0.707,0.656957
0.708,0.657786
0.709,0.657909
0.71,0.656013
0.711,0.654493
0.712,0.65744
0.713,0.654358
0.714,0.651759
0.715,0.654148
0.716,0.653104
0.717,0.654374
0.718,0.651349
0.719,0.649676
0.72,0.650896
0.721,0.648222
0.722,0.644918
0.723,0.643511
0.724,0.647654
0.725,0.645384
0.726,0.641662
0.727,0.641318
0.728,0.639411
0.729,0.639161
0.73,0.639189
0.731,0.639878
0.732,0.638468
0.733,0.635907
0.734,0.632091
0.735,0.635812
0.736,0.632181
0.737,0.629724
0.738,0.629294
0.739,0.625259
0.74,0.626904
0.741,0.62616
0.742,0.62263
0.743,0.620108
0.744,0.621451
0.745,0.619225
0.746,0.615416
0.747,0.613251
0.748,0.610985
0.749,0.612934
0.75,0.611053
0.751,0.606841
0.752,0.603783
0.753,0.602712
0.754,0.599336
0.755,0.599055
0.756,0.595348
0.757,0.593869
0.758,0.589888
0.759,0.587588
0.76,0.58738
0.761,0.584738
0.762,0.58046
0.763,0.580055
0.764,0.575164
0.765,0.575189
0.766,0.573834
0.767,0.572387
0.768,0.566911
0.769,0.566325
0.77,0.563963
0.771,0.560838
0.772,0.555168
0.773,0.551616
0.774,0.54774
0.775,0.545833
0.776,0.544809
0.777,0.542609
0.778,0.540066
0.779,0.53706
0.78,0.533007
0.781,0.530637
0.782,0.529284
0.783,0.526853
0.784,0.523337
0.785,0.521224
0.786,0.518483
0.787,0.515046
0.788,0.511456
0.789,0.50921
0.79,0.503753
0.791,0.50316
0.792,0.50026
0.793,0.494346
0.794,0.491156
0.795,0.490005
0.796,0.488809
0.797,0.484443
0.798,0.481106
0.799,0.47865
0.8,0.475272
0.801,0.471594
0.802,0.468018
0.803,0.468678
0.804,0.467761
0.805,0.464525
0.806,0.461437
0.807,0.459054
0.808,0.455762
0.809,0.450936
0.81,0.447324
0.811,0.445938
0.812,0.443181
0.813,0.439408
0.814,0.438653
0.815,0.436023
0.816,0.433748
0.817,0.431243
0.818,0.425541
0.819,0.421747
0.82,0.420746
0.821,0.418475
0.822,0.417798
0.823,0.415497
0.824,0.412594
0.825,0.410648
0.826,0.408895
0.827,0.405618
0.828,0.404596
0.829,0.401463
0.83,0.39777
0.831,0.399383
0.832,0.398898
0.833,0.391913
0.834,0.38847
0.835,0.391162
0.836,0.392769
0.837,0.391181
0.838,0.386884
0.839,0.388858
0.84,0.379942
0.841,0.382958
0.842,0.374981
0.843,0.377605
0.844,0.379004
0.845,0.374414
0.846,0.368859
0.847,0.363952
0.848,0.368615
0.849,0.363594
0.85,0.359501
0.851,0.349361
0.852,0.34922
0.853,0.348345
0.854,0.341757
0.855,0.33866
0.856,0.336908
0.857,0.340116
0.858,0.342272
0.859,0.343213
0.86,0.346522
0.861,0.3435
0.862,0.342765
0.863,0.339258
0.864,0.340515
0.865,0.33655
0.866,0.332956
0.867,0.331332
0.868,0.333576
0.869,0.335174
0.87,0.330456
0.871,0.328751
0.872,0.32822
0.873,0.328598
0.874,0.326485
0.875,0.324358
0.876,0.326102
0.877,0.323311
0.878,0.320739
0.879,0.321504
0.88,0.320784
0.881,0.317508
0.882,0.320765
0.883,0.317275
0.884,0.316774
0.885,0.316715
0.886,0.31611
0.887,0.31486
0.888,0.313661
0.889,0.313274
0.89,0.31112
0.891,0.312161
0.892,0.313015
0.893,0.308394
0.894,0.30956
0.895,0.30927
0.896,0.310255
0.897,0.306478
0.898,0.307779
0.899,0.308488
0.9,0.306806
0.901,0.306059
0.902,0.30552
0.903,0.307696
0.904,0.305305
0.905,0.307444
0.906,0.304942
0.907,0.305499
0.908,0.305357
0.909,0.302859
0.91,0.303372
0.911,0.303101
0.912,0.304114
0.913,0.303073
0.914,0.304442
0.915,0.304021
0.916,0.304473
0.917,0.305412
0.918,0.306302
0.919,0.305959
0.92,0.305732
0.921,0.303668
0.922,0.30543
0.923,0.305905
0.924,0.30716
0.925,0.305396
0.926,0.306715
0.927,0.307146
0.928,0.307191
0.929,0.307472
0.93,0.30937
0.931,0.310707
0.932,0.310176
0.933,0.311066
0.934,0.3104
0.935,0.311968
0.936,0.31292
0.937,0.313181
0.938,0.314835
0.939,0.316328
0.94,0.317005
0.941,0.316119
0.942,0.317692
0.943,0.318206
0.944,0.319078
0.945,0.320653
0.946,0.321098
0.947,0.322401
0.948,0.324166
0.949,0.325732
0.95,0.325821
0.951,0.326925
0.952,0.327869
0.953,0.329045
0.954,0.329886
0.955,0.331368
0.956,0.333212
0.957,0.334652
0.958,0.336357
