Brown University Keck/NASA Relab Spectrum OC-TXH-019-P15/C1OC19P15,
W,R
0.25,0.129258
0.255,0.129387
0.26,0.129653
0.265,0.129118
0.27,0.130789
0.275,0.132915
0.28,0.134235
0.285,0.134931
0.29,0.134681
0.295,0.135246
0.3,0.136632
0.305,0.138509
0.31,0.140536
0.315,0.14347
0.32,0.147221
0.325,0.150721
0.33,0.154438
0.335,0.158312
0.34,0.162159
0.345,0.165961
0.35,0.169827
0.355,0.173758
0.36,0.177562
0.365,0.180793
0.37,0.183834
0.375,0.18658
0.38,0.189567
0.385,0.19199
0.39,0.194031
0.395,0.196807
0.4,0.199145
0.405,0.201514
0.41,0.203939
0.415,0.205965
0.42,0.207907
0.425,0.209626
0.43,0.211541
0.435,0.213359
0.44,0.214972
0.445,0.216389
0.45,0.217724
0.455,0.219519
0.46,0.22122
0.465,0.222684
0.47,0.224004
0.475,0.225497
0.48,0.226878
0.485,0.228101
0.49,0.229196
0.495,0.230338
0.5,0.231457
0.505,0.232499
0.51,0.233702
0.515,0.235112
0.52,0.235928
0.525,0.237177
0.53,0.237918
0.535,0.238881
0.54,0.239599
0.545,0.240275
0.55,0.241261
0.555,0.242046
0.56,0.242597
0.565,0.243383
0.57,0.243846
0.575,0.244421
0.58,0.245232
0.585,0.245599
0.59,0.246123
0.595,0.246718
0.6,0.246951
0.605,0.247254
0.61,0.247863
0.615,0.248287
0.62,0.248697
0.625,0.249288
0.63,0.249607
0.635,0.250031
0.64,0.250587
0.645,0.25101
0.65,0.251481
0.655,0.251835
0.66,0.252158
0.665,0.253374
0.67,0.252921
0.675,0.253245
0.68,0.253409
0.685,0.253732
0.69,0.253862
0.695,0.254109
0.7,0.255117
0.705,0.254487
0.71,0.254534
0.715,0.254829
0.72,0.255157
0.725,0.25513
0.73,0.255002
0.735,0.254024
0.74,0.254203
0.745,0.253963
0.75,0.253669
0.755,0.253473
0.76,0.253191
0.765,0.252741
0.77,0.252118
0.775,0.251606
0.78,0.250906
0.785,0.250067
0.79,0.249218
0.795,0.248273
0.8,0.247094
0.805,0.24587
0.81,0.244655
0.815,0.24327
0.82,0.241672
0.825,0.2403
0.83,0.238666
0.835,0.237223
0.84,0.235704
0.845,0.234305
0.85,0.233073
0.855,0.231805
0.86,0.230959
0.865,0.230136
0.87,0.229834
0.875,0.229715
0.88,0.229339
0.885,0.22902
0.89,0.228927
0.895,0.228357
0.9,0.227787
0.905,0.227136
0.91,0.226684
0.915,0.226367
0.92,0.226127
0.925,0.226047
0.93,0.225962
0.935,0.226013
0.94,0.226313
0.945,0.226424
0.95,0.226884
0.955,0.22743
0.96,0.228009
0.965,0.228483
0.97,0.229149
0.975,0.23
0.98,0.230957
0.985,0.231881
0.99,0.232585
0.995,0.233199
1,0.233654
1.005,0.234181
1.01,0.234581
1.015,0.23512
1.02,0.235426
1.025,0.235903
1.03,0.23621
1.035,0.236503
1.04,0.236948
1.045,0.237208
1.05,0.237526
1.055,0.237967
1.06,0.238269
1.065,0.238702
1.07,0.239225
1.075,0.239531
1.08,0.239989
1.085,0.240683
1.09,0.241055
1.095,0.241332
1.1,0.241807
1.105,0.242234
1.11,0.242775
1.115,0.24311
1.12,0.243426
1.125,0.243852
1.13,0.244355
1.135,0.244517
1.14,0.245082
1.145,0.245364
1.15,0.24555
1.155,0.245773
1.16,0.246028
1.165,0.246155
1.17,0.246245
1.175,0.246398
1.18,0.246697
1.185,0.246584
1.19,0.246925
1.195,0.247247
1.2,0.247343
1.205,0.247388
1.21,0.247321
1.215,0.247319
1.22,0.247476
1.225,0.247359
1.23,0.247522
1.235,0.247812
1.24,0.247727
1.245,0.247605
1.25,0.247624
1.255,0.247757
1.26,0.24797
1.265,0.248059
1.27,0.248168
1.275,0.248003
1.28,0.248048
1.285,0.247932
1.29,0.248086
1.295,0.248329
1.3,0.248046
1.305,0.247821
1.31,0.247743
1.315,0.247844
1.32,0.247957
1.325,0.247937
1.33,0.248042
1.335,0.248069
1.34,0.248077
1.345,0.247686
1.35,0.246982
1.355,0.246351
1.36,0.245742
1.365,0.246191
1.37,0.246808
1.375,0.24736
1.38,0.24648
1.385,0.247212
1.39,0.248074
1.395,0.247485
1.4,0.247287
1.405,0.247315
1.41,0.247592
1.415,0.247721
1.42,0.248113
1.425,0.248462
1.43,0.24818
1.435,0.248312
1.44,0.248144
1.445,0.248087
1.45,0.248041
1.455,0.248174
1.46,0.248252
1.465,0.248278
1.47,0.248
1.475,0.247953
1.48,0.247788
1.485,0.247805
1.49,0.247561
1.495,0.247454
1.5,0.247224
1.505,0.247006
1.51,0.246833
1.515,0.246477
1.52,0.246178
1.525,0.246111
1.53,0.246039
1.535,0.245797
1.54,0.245408
1.545,0.245176
1.55,0.24475
1.555,0.244083
1.56,0.243594
1.565,0.243237
1.57,0.24294
1.575,0.242868
1.58,0.242566
1.585,0.242279
1.59,0.241646
1.595,0.240814
1.6,0.240441
1.605,0.240124
1.61,0.239788
1.615,0.239448
1.62,0.238996
1.625,0.238336
1.63,0.237377
1.635,0.237035
1.64,0.236742
1.645,0.236628
1.65,0.236265
1.655,0.235572
1.66,0.234951
1.665,0.234303
1.67,0.233727
1.675,0.233093
1.68,0.232824
1.685,0.232397
1.69,0.231815
1.695,0.231114
1.7,0.230548
1.705,0.230414
1.71,0.230094
1.715,0.229596
1.72,0.229365
1.725,0.229218
1.73,0.228763
1.735,0.227912
1.74,0.227211
