KC-OL-hevn_3,
W,R
0.69876,0.69993
0.6992,0.69948
0.69965,0.69892
0.70009,0.69865
0.70053,0.69861
0.70097,0.69866
0.70141,0.69767
0.70185,0.69758
0.70229,0.69725
0.70273,0.6969
0.70317,0.69731
0.70361,0.69739
0.70405,0.6972
0.70449,0.69713
0.70493,0.6975
0.70538,0.69692
0.70582,0.69655
0.70626,0.69634
0.7067,0.69521
0.70714,0.69469
0.70758,0.69454
0.70802,0.69443
0.70846,0.69436
0.7089,0.6943
0.70934,0.69428
0.70978,0.6944
0.71022,0.69452
0.71066,0.6943
0.7111,0.69425
0.71154,0.69396
0.71198,0.69349
0.71242,0.69325
0.71286,0.69345
0.7133,0.69338
0.71374,0.69347
0.71418,0.69302
0.71462,0.69238
0.71506,0.69154
0.7155,0.69068
0.71594,0.68966
0.71638,0.68941
0.71682,0.68808
0.71726,0.68729
0.7177,0.68727
0.71814,0.68713
0.71858,0.68647
0.71902,0.6863
0.71946,0.68597
0.7199,0.68607
0.72034,0.68572
0.72078,0.68497
0.72122,0.68486
0.72166,0.68459
0.7221,0.68502
0.72254,0.68489
0.72298,0.68544
0.72342,0.68625
0.72386,0.68708
0.72429,0.68663
0.72473,0.68638
0.72517,0.68644
0.72561,0.68602
0.72605,0.6853
0.72649,0.68489
0.72693,0.68406
0.72737,0.68362
0.72781,0.68287
0.72825,0.68195
0.72869,0.68192
0.72913,0.6805
0.72957,0.6803
0.73,0.6792
0.73044,0.67893
0.73088,0.67886
0.73132,0.67834
0.73176,0.67819
0.7322,0.67803
0.73264,0.67785
0.73308,0.67734
0.73352,0.67681
0.73395,0.6761
0.73439,0.67519
0.73483,0.67474
0.73527,0.6747
0.73571,0.67467
0.73615,0.67508
0.73659,0.67617
0.73703,0.67659
0.73746,0.67701
0.7379,0.67666
0.73834,0.67656
0.73878,0.67624
0.73922,0.67573
0.73966,0.67578
0.74009,0.67524
0.74053,0.67423
0.74097,0.67398
0.74141,0.67313
0.74185,0.67306
0.74229,0.67203
0.74272,0.67141
0.74316,0.67065
0.7436,0.67045
0.74404,0.67002
0.74448,0.6698
0.74492,0.66982
0.74535,0.66905
0.74579,0.66851
0.74623,0.66827
0.74667,0.6678
0.74711,0.66708
0.74754,0.66682
0.74798,0.66609
0.74842,0.66574
0.74886,0.66508
0.74929,0.66465
0.74973,0.66405
0.75017,0.66364
0.75061,0.66304
0.75105,0.66241
0.75148,0.66202
0.75192,0.66192
0.75236,0.66148
0.7528,0.66104
0.75323,0.6611
0.75367,0.66131
0.75411,0.66144
0.75455,0.66152
0.75498,0.66075
0.75542,0.66021
0.75586,0.65999
0.7563,0.65973
0.75673,0.65948
0.75717,0.65878
0.75761,0.65892
0.75805,0.65821
0.75848,0.65725
0.75892,0.65739
0.75936,0.6569
0.75979,0.65676
0.76023,0.65671
0.76067,0.65656
0.76111,0.65617
0.76154,0.65506
0.76198,0.65451
0.76242,0.65441
0.76285,0.65338
0.76329,0.65341
0.76373,0.65252
0.76416,0.65185
0.7646,0.65115
0.76504,0.65029
0.76548,0.64983
0.76591,0.64963
0.76635,0.64857
0.76679,0.64775
0.76722,0.64783
0.76766,0.64759
0.7681,0.64714
0.76853,0.64665
0.76897,0.64622
0.76941,0.64609
0.76984,0.64578
0.77028,0.64485
0.77072,0.64389
0.77115,0.6432
0.77159,0.64265
0.77202,0.64234
0.77246,0.64227
0.7729,0.64123
0.77333,0.64083
0.77377,0.64013
0.77421,0.63908
0.77464,0.63832
0.77508,0.637
0.77551,0.63666
0.77595,0.63599
0.77639,0.63601
0.77682,0.63543
0.77726,0.63511
0.7777,0.63509
0.77813,0.63508
0.77857,0.63439
0.779,0.63457
0.77944,0.63379
0.77988,0.63347
0.78031,0.63323
0.78075,0.63315
0.78118,0.63243
0.78162,0.63147
0.78205,0.63154
0.78249,0.63133
0.78293,0.63101
0.78336,0.63079
0.7838,0.63109
0.78423,0.6311
0.78467,0.63099
0.7851,0.63074
0.78554,0.63111
0.78598,0.63152
0.78641,0.63163
0.78685,0.63075
0.78728,0.63054
0.78772,0.62938
0.78815,0.62905
0.78859,0.62822
0.78902,0.62741
0.78946,0.62665
0.78989,0.62604
0.79033,0.62605
0.79076,0.62649
0.7912,0.62578
0.79163,0.62603
0.79207,0.62561
0.79251,0.6251
0.79294,0.62451
0.79338,0.62402
0.79381,0.62328
0.79425,0.62207
0.79468,0.62146
0.79512,0.62069
0.79555,0.6207
0.79599,0.62051
0.79642,0.62066
0.79686,0.62
0.79729,0.6197
0.79772,0.6192
0.79816,0.61895
0.79859,0.61836
0.79903,0.61729
0.79946,0.61683
0.7999,0.61628
0.80033,0.61551
0.80077,0.61512
0.8012,0.61501
0.80164,0.61474
0.80207,0.6147
0.80251,0.61438
0.80294,0.61467
0.80337,0.61429
0.80381,0.61382
0.80424,0.61292
0.80468,0.61218
0.80511,0.61156
0.80555,0.61137
0.80598,0.61153
0.80642,0.61145
0.80685,0.61214
0.80728,0.61266
0.80772,0.61299
0.80815,0.61315
0.80859,0.6134
0.80902,0.61317
0.80945,0.61275
0.80989,0.6126
0.81032,0.61222
0.81076,0.61108
0.81119,0.61081
0.81162,0.61011
0.81206,0.6094
0.81249,0.60885
0.81293,0.60813
0.81336,0.60752
0.81379,0.60727
0.81423,0.60715
0.81466,0.60629
0.8151,0.60626
0.81553,0.6054
0.81596,0.60485
0.8164,0.60417
0.81683,0.60428
0.81726,0.60358
0.8177,0.60337
0.81813,0.60275
0.81856,0.60217
0.819,0.60134
0.81943,0.60124
0.81986,0.6011
0.8203,0.60115
0.82073,0.60111
0.82116,0.60089
0.8216,0.60098
0.82203,0.59976
0.82246,0.59903
0.8229,0.59864
0.82333,0.59794
0.82376,0.59729
0.8242,0.59677
0.82463,0.59646
0.82506,0.59629
0.8255,0.59619
0.82593,0.59608
0.82636,0.59624
0.8268,0.59596
0.82723,0.59619
0.82766,0.59609
0.82809,0.59577
0.82853,0.59587
0.82896,0.59568
0.82939,0.59574
0.82983,0.595
0.83026,0.5944
0.83069,0.59455
0.83112,0.5949
0.83156,0.59456
0.83199,0.59442
0.83242,0.59462
0.83286,0.59477
0.83329,0.59481
0.83372,0.59511
0.83415,0.59428
0.83459,0.59411
0.83502,0.59359
0.83545,0.59379
0.83588,0.59369
0.83632,0.59381
0.83675,0.59416
