MJL_OLV_1,
W,R
0.669770743,0.705973554
0.675527361,0.708648128
0.682121834,0.711225397
0.688787075,0.709717616
0.694501604,0.708594098
0.702056551,0.708103775
0.706871815,0.708590514
0.714053063,0.709173629
0.720272877,0.70858663
0.721637155,0.707829768
0.727328396,0.705949792
0.731631356,0.703327916
0.731645695,0.699386346
0.732396822,0.701655003
0.737798273,0.697486771
0.744030245,0.69544119
0.747582577,0.694137293
0.749820612,0.692846502
0.753106639,0.6895998
0.756429135,0.687554464
0.759673632,0.684497433
0.765140785,0.681713778
0.768828025,0.679667737
0.770377805,0.678299071
0.771649793,0.67588371
0.773552405,0.673736499
0.775455993,0.671320955
0.777987278,0.669978559
0.781236474,0.669153297
0.784941721,0.668098216
0.788737184,0.666487122
0.791268468,0.665144726
0.793625804,0.663894285
0.795069788,0.661923634
0.796732696,0.659951818
0.800136262,0.658165512
0.802665594,0.657359781
0.803935629,0.655481086
0.806034253,0.653379845
0.807106324,0.651991845
0.809012841,0.648771302
0.809141145,0.649437378
0.812176703,0.647160391
0.814708964,0.645549662
0.818440313,0.643522333
0.81914286,0.642060055
0.8235709,0.640180444
0.827365386,0.638837682
0.829896671,0.637495286
0.830839202,0.635635607
0.83306639,0.634274378
0.83496705,0.632663832
0.839397042,0.630247556
0.841298678,0.628368678
0.843240482,0.627091952
0.845732574,0.624879071
0.848263859,0.623536675
0.850795144,0.622194279
0.85332838,0.620315218
0.855639371,0.619205226
0.859652199,0.618166725
0.86218446,0.616555996
0.864717697,0.614676935
0.868031091,0.613289285
0.870412843,0.611723627
0.872314479,0.609844749
0.875477364,0.60850217
0.876115799,0.606623658
0.877384858,0.605013295
0.879913214,0.604475897
0.880439541,0.602774845
0.884974806,0.602059438
0.887506091,0.600717042
0.890037376,0.599374646
0.892826481,0.598172761
0.895101897,0.596153189
0.89826283,0.595347275
0.900162514,0.594005063
0.902063174,0.592394517
0.904593482,0.591320454
0.90522537,0.590286035
0.90902445,0.588635845
0.910921205,0.58809863
0.914084091,0.586756051
0.915983774,0.585413838
0.91761948,0.583713165
0.920419624,0.581387566
0.922951884,0.579776837
0.926747347,0.578165742
0.93001837,0.575826439
0.931815773,0.573870954
0.934979635,0.572260042
0.937512872,0.570380981
0.939414508,0.568502102
0.942422039,0.566625856
0.943214851,0.565549344
0.944486839,0.563133983
0.947016171,0.562328252
0.949549408,0.560449191
0.951447139,0.559643644
0.953347799,0.558033098
0.954828099,0.556768344
0.956516542,0.555080522
0.959048802,0.553469794
0.960948486,0.552127581
0.963482699,0.549980187
0.966016912,0.547832792
0.967234158,0.546910833
0.971079481,0.545148
0.973613695,0.543000606
0.976145955,0.541389878
0.977416967,0.539242849
0.979635438,0.538367178
0.981531972,0.536603054
0.983640562,0.535708002
0.986804261,0.534141812
0.989444066,0.531904943
0.991555911,0.530115448
0.992041497,0.528509667
0.995251638,0.526983831
0.999468819,0.525193726
1.00157985,0.523627841
1.004440387,0.52062294
1.004745175,0.521614431
1.007914569,0.518482967
1.011077454,0.517140388
1.013713192,0.516021572
1.015297889,0.51445584
1.016834497,0.514050071
1.020566924,0.51288904
1.023205916,0.510875782
1.025316947,0.509309897
1.029223826,0.508791058
1.032692945,0.507295266
1.036382165,0.505952535
1.039544237,0.504833566
1.041608377,0.504845903
1.044810018,0.504161209
1.04849517,0.503936531
1.052180322,0.503711852
1.056392622,0.503263411
1.059024292,0.503262648
1.062180669,0.503708954
1.066348798,0.504838733
1.068488543,0.50594323
1.072168001,0.507283826
1.076899313,0.508847728
1.078699889,0.510090576
1.081628185,0.511082461
1.084254161,0.512646973
1.087408098,0.513764111
1.089506926,0.515552386
1.091050981,0.515342419
1.094240678,0.516445456
1.097392988,0.518009815
1.101070005,0.520021243
1.103399682,0.52125119
1.105272543,0.522256129
1.107372998,0.523597183
1.111050015,0.525608611
1.114203139,0.526949359
1.115743603,0.528473818
1.118402422,0.530078688
1.121028398,0.5316432
1.123127227,0.533431475
1.126806684,0.534772071
1.128085135,0.536353374
1.131532302,0.537901247
1.135738093,0.53924169
1.137310588,0.541030118
1.140429057,0.543576002
1.140990045,0.542370714
1.144140728,0.544382294
1.147293851,0.545723043
1.150972496,0.54728725
1.152780148,0.548827845
1.156227701,0.549521831
1.157803449,0.550415815
1.160959013,0.551085732
1.165136019,0.552765831
1.16621666,0.552649481
1.168842636,0.554213993
1.171998199,0.55488391
1.176203991,0.556224353
1.1774895,0.557360745
1.18198309,0.559129614
1.1840868,0.559576225
1.188295032,0.560245836
1.189845371,0.561298731
1.195130053,0.562256349
1.199335845,0.563596793
1.202201243,0.565236717
1.207747428,0.56627768
1.211954033,0.567394513
1.214559504,0.568517774
1.219840909,0.569628331
1.224573848,0.570745011
1.226915375,0.57245576
1.232459911,0.57320244
1.236141809,0.573872205
1.239276026,0.575079889
1.242448869,0.576330091
1.244550952,0.577223924
1.247704889,0.578341062
1.251631897,0.579017875
1.254540724,0.580127964
1.257169953,0.580798033
1.260323077,0.582138782
1.263985378,0.583612789
1.268736287,0.584372447
1.272942892,0.58548928
1.276346029,0.586236918
1.280829768,0.587723099
1.283984519,0.588616626
1.285556199,0.590628664
1.28869712,0.591488761
1.2918657,0.592415719
1.294494117,0.593309399
1.298172761,0.594873605
1.301050602,0.596083675
1.305005342,0.59755495
1.308158465,0.598895699
1.310257293,0.600683973
1.313399303,0.601992446
1.317092315,0.602694486
1.31919277,0.60403554
1.321818746,0.605600052
1.325750394,0.607244289
1.327074765,0.607611022
1.329700741,0.609175534
1.332327531,0.610516435
1.33495432,0.611857336
1.337054097,0.613384732
1.338094316,0.614466917
1.340116244,0.615619948
1.34186459,0.61729652
1.344055615,0.617854911
1.347121152,0.619158416
1.349750788,0.61971668
1.350443017,0.620375688
1.352814969,0.62139287
1.355001927,0.623069314
1.35675095,0.624559544
1.359377875,0.625863176
1.360688965,0.62716719
1.362784549,0.628255244
1.365943493,0.629588114
1.36813045,0.631264558
1.369880152,0.632568445
1.371192597,0.633499774
1.372941621,0.634990003
1.37512608,0.636134801
1.37863476,0.637410799
1.381261685,0.638714432
1.383450676,0.63983185
1.3851997,0.641322079
1.387389369,0.642253154
